config_id,fold,epoch,train_loss,train_acc,val_acc,f1_score
ELU,0,1,0.6083,0.8431,0.8846,0.3775
ELU,0,2,0.5522,0.9255,0.9078,0.4288
ELU,0,3,0.5261,0.9359,0.933,0.4798
ELU,0,4,0.5076,0.9417,0.9392,0.5051
ELU,0,5,0.4934,0.9452,0.9347,0.4985
ELU,0,6,0.482,0.9474,0.9401,0.5141
ELU,0,7,0.4728,0.9492,0.9414,0.5214
ELU,0,8,0.463,0.9507,0.9394,0.5191
ELU,0,9,0.4574,0.9517,0.942,0.5286
ELU,0,10,0.4497,0.9529,0.9483,0.5439
ELU,0,11,0.4436,0.9538,0.9392,0.526
ELU,0,12,0.4378,0.9548,0.9417,0.5313
ELU,0,13,0.4327,0.9556,0.9445,0.5437
ELU,0,14,0.4281,0.9559,0.9427,0.5378
ELU,0,15,0.4233,0.9566,0.9452,0.545
ELU,0,16,0.421,0.9569,0.9469,0.5486
ELU,0,17,0.416,0.9575,0.9486,0.5567
ELU,0,18,0.4128,0.9579,0.9451,0.5495
ELU,0,19,0.4098,0.9583,0.947,0.5577
ELU,0,20,0.406,0.9588,0.9444,0.5499
ELU,0,21,0.403,0.9591,0.9447,0.5519
ELU,0,22,0.4007,0.9594,0.9493,0.5673
ELU,0,23,0.3994,0.9595,0.9475,0.562
ELU,0,24,0.3959,0.96,0.9484,0.564
ELU,0,25,0.3942,0.9601,0.9479,0.5624
ELU,0,26,0.3916,0.9605,0.9479,0.5653
ELU,0,27,0.3898,0.9607,0.9476,0.5634
ELU,1,1,0.5976,0.8583,0.8971,0.3099
ELU,1,2,0.5367,0.9301,0.9161,0.3375
ELU,1,3,0.5081,0.9401,0.9169,0.3417
ELU,1,4,0.4893,0.9451,0.9238,0.3619
ELU,1,5,0.4743,0.9485,0.9248,0.3658
ELU,1,6,0.4624,0.9508,0.9339,0.3775
ELU,1,7,0.4524,0.9528,0.9316,0.3832
ELU,1,8,0.443,0.9542,0.932,0.3831
ELU,1,9,0.4372,0.9551,0.9332,0.3935
ELU,1,10,0.4299,0.9565,0.9325,0.3977
ELU,1,11,0.4244,0.9571,0.9329,0.3955
ELU,1,12,0.4189,0.9581,0.9356,0.4048
ELU,1,13,0.4137,0.9587,0.9344,0.4093
ELU,1,14,0.4109,0.9591,0.932,0.403
ELU,1,15,0.4074,0.9596,0.9364,0.4061
ELU,1,16,0.4029,0.96,0.9332,0.4121
ELU,1,17,0.4002,0.9604,0.9365,0.4158
ELU,1,18,0.3971,0.9609,0.9352,0.4141
ELU,1,19,0.3933,0.9612,0.9369,0.4192
ELU,1,20,0.3906,0.9617,0.9346,0.4144
ELU,1,21,0.3885,0.9617,0.9357,0.4161
ELU,1,22,0.3859,0.9622,0.9371,0.4237
ELU,1,23,0.3832,0.9623,0.9404,0.4289
ELU,1,24,0.3806,0.9628,0.9375,0.4268
ELU,1,25,0.3803,0.9629,0.9366,0.4281
ELU,1,26,0.3772,0.9631,0.9363,0.4283
ELU,1,27,0.3758,0.9633,0.9372,0.4282
ELU,1,28,0.3747,0.9633,0.9386,0.4325
ELU,1,29,0.372,0.9634,0.9378,0.4349
ELU,1,30,0.3705,0.9637,0.9391,0.4367
ELU,1,31,0.3688,0.9638,0.9415,0.4354
ELU,1,32,0.3676,0.9639,0.939,0.438
ELU,1,33,0.3649,0.9642,0.9382,0.4359
ELU,1,34,0.3648,0.9644,0.9394,0.4429
ELU,1,35,0.3621,0.9646,0.9398,0.4436
ELU,1,36,0.3605,0.9648,0.9398,0.4426
ELU,1,37,0.3603,0.9647,0.9411,0.4457
ELU,1,38,0.36,0.9649,0.9402,0.4446
ELU,1,39,0.3581,0.9651,0.9396,0.4467
ELU,1,40,0.3572,0.9651,0.9406,0.4486
ELU,1,41,0.3558,0.9653,0.9389,0.4488
ELU,1,42,0.3545,0.9655,0.9399,0.4448
ELU,1,43,0.3533,0.9656,0.9394,0.4499
ELU,1,44,0.3517,0.9657,0.9406,0.4512
ELU,1,45,0.3517,0.9656,0.9408,0.4498
ELU,1,46,0.3505,0.9658,0.9422,0.4503
ELU,1,47,0.3489,0.9659,0.9406,0.4535
ELU,1,48,0.3492,0.9659,0.9418,0.4574
ELU,1,49,0.3471,0.9662,0.9417,0.4594
ELU,1,50,0.3457,0.9663,0.9416,0.4568
ELU,2,1,0.5973,0.8491,0.9327,0.3855
ELU,2,2,0.5361,0.9285,0.9333,0.4034
ELU,2,3,0.5092,0.9378,0.9365,0.4145
ELU,2,4,0.49,0.9426,0.9373,0.4264
ELU,2,5,0.4751,0.9461,0.943,0.4392
ELU,2,6,0.4635,0.9478,0.9391,0.4405
ELU,2,7,0.4527,0.9497,0.9422,0.4531
ELU,2,8,0.4439,0.9514,0.9419,0.458
ELU,2,9,0.4373,0.9525,0.9442,0.4576
ELU,2,10,0.4302,0.9538,0.9476,0.4673
ELU,2,11,0.4239,0.9547,0.945,0.465
ELU,2,12,0.4192,0.9554,0.9446,0.4659
ELU,2,13,0.4141,0.9562,0.9466,0.4741
ELU,2,14,0.4099,0.9568,0.9467,0.4767
ELU,2,15,0.4047,0.9574,0.9494,0.4784
ELU,2,16,0.4022,0.9578,0.9472,0.4803
ELU,2,17,0.3985,0.9583,0.9499,0.483
ELU,2,18,0.3949,0.9588,0.9457,0.4785
ELU,2,19,0.392,0.9592,0.9469,0.4865
ELU,2,20,0.3891,0.9596,0.9494,0.4863
ELU,2,21,0.3861,0.96,0.95,0.4895
ELU,2,22,0.3841,0.9602,0.9492,0.4877
ELU,2,23,0.3815,0.9606,0.9482,0.4868
ELU,2,24,0.3796,0.9608,0.9486,0.4873
ELU,2,25,0.3771,0.9612,0.9496,0.4941
ELU,2,26,0.3754,0.9615,0.948,0.4923
ELU,2,27,0.3729,0.9616,0.9494,0.4951
ELU,2,28,0.3716,0.9618,0.9491,0.496
ELU,2,29,0.3698,0.962,0.9461,0.4897
ELU,2,30,0.368,0.9623,0.9499,0.498
ELU,2,31,0.366,0.9626,0.9491,0.4949
ELU,2,32,0.3644,0.9627,0.9482,0.4967
ELU,2,33,0.3633,0.9629,0.9515,0.5028
ELU,2,34,0.3619,0.9632,0.9478,0.4951
ELU,2,35,0.3605,0.963,0.9497,0.4967
ELU,2,36,0.3585,0.9635,0.9505,0.502
ELU,2,37,0.3574,0.9635,0.9502,0.502
ELU,2,38,0.3569,0.9635,0.95,0.5026
ELU,3,1,0.6011,0.8462,0.8812,0.3496
ELU,3,2,0.5414,0.9289,0.9089,0.3801
ELU,3,3,0.5146,0.9384,0.914,0.4023
ELU,3,4,0.4935,0.9436,0.9118,0.4074
ELU,3,5,0.479,0.9466,0.9194,0.4111
ELU,3,6,0.4659,0.9491,0.9233,0.4322
ELU,3,7,0.4561,0.951,0.9235,0.4389
ELU,3,8,0.4469,0.9524,0.9217,0.4298
ELU,3,9,0.4402,0.9534,0.9221,0.4365
ELU,3,10,0.4318,0.9547,0.9241,0.4362
ELU,3,11,0.427,0.9554,0.9249,0.4441
ELU,3,12,0.4217,0.9563,0.9228,0.4424
ELU,3,13,0.4171,0.9568,0.9309,0.4514
ELU,3,14,0.4125,0.9578,0.9295,0.4587
ELU,3,15,0.409,0.9581,0.9296,0.4586
ELU,3,16,0.4037,0.9588,0.9294,0.4599
ELU,3,17,0.4011,0.9589,0.9295,0.4656
ELU,3,18,0.3963,0.9598,0.9297,0.4582
ELU,3,19,0.3947,0.96,0.9298,0.4657
ELU,3,20,0.3915,0.9603,0.9327,0.459
ELU,3,21,0.3887,0.9607,0.9318,0.4645
ELU,3,22,0.3864,0.9609,0.9325,0.4594
ELU,3,23,0.3833,0.9612,0.9346,0.4793
ELU,3,24,0.3808,0.9614,0.9337,0.4809
ELU,3,25,0.3786,0.9619,0.9289,0.4761
ELU,3,26,0.377,0.9621,0.9326,0.4815
ELU,3,27,0.3747,0.9623,0.9324,0.4669
ELU,3,28,0.373,0.9625,0.9318,0.4788
ELU,3,29,0.3713,0.9627,0.9311,0.478
ELU,3,30,0.369,0.963,0.9343,0.4811
ELU,3,31,0.3682,0.9631,0.932,0.4809
ELU,4,1,0.6001,0.8436,0.9003,0.3423
ELU,4,2,0.5396,0.9249,0.9195,0.3814
ELU,4,3,0.5105,0.9361,0.9296,0.4034
ELU,4,4,0.4903,0.9421,0.9398,0.4314
ELU,4,5,0.4753,0.9457,0.9375,0.4316
ELU,4,6,0.4628,0.9483,0.9427,0.4504
ELU,4,7,0.4532,0.9503,0.9419,0.4551
ELU,4,8,0.4436,0.9519,0.9461,0.4648
ELU,4,9,0.435,0.9532,0.9503,0.4755
