config_id,fold,epoch,train_loss,train_acc,val_acc,f1_score
SiLU,0,1,0.6036,0.8512,0.9247,0.4324
SiLU,0,2,0.5362,0.9312,0.9346,0.4818
SiLU,0,3,0.5013,0.9419,0.9479,0.5019
SiLU,0,4,0.4765,0.9474,0.9466,0.5286
SiLU,0,5,0.4597,0.9509,0.9491,0.5384
SiLU,0,6,0.4454,0.9532,0.9513,0.5493
SiLU,0,7,0.4339,0.9551,0.9531,0.5599
SiLU,0,8,0.424,0.9564,0.9523,0.5664
SiLU,0,9,0.4159,0.9576,0.9526,0.5662
SiLU,0,10,0.4083,0.9586,0.953,0.5697
SiLU,0,11,0.4016,0.9594,0.9535,0.5759
SiLU,0,12,0.3957,0.9602,0.9532,0.5806
SiLU,0,13,0.3894,0.961,0.9549,0.5821
SiLU,0,14,0.3843,0.9616,0.9551,0.5824
SiLU,0,15,0.3798,0.962,0.9528,0.5833
SiLU,0,16,0.376,0.9624,0.9536,0.5868
SiLU,0,17,0.3715,0.963,0.9544,0.5891
SiLU,0,18,0.3692,0.9633,0.956,0.5908
SiLU,0,19,0.3644,0.9637,0.9542,0.5889
SiLU,0,20,0.3618,0.964,0.9553,0.5947
SiLU,0,21,0.358,0.9644,0.9553,0.5939
SiLU,0,22,0.3556,0.9647,0.9555,0.5975
SiLU,0,23,0.3532,0.965,0.9549,0.5941
SiLU,0,24,0.3504,0.9654,0.9573,0.5992
SiLU,0,25,0.3485,0.9654,0.9566,0.5987
SiLU,0,26,0.3466,0.9657,0.9557,0.6
SiLU,0,27,0.3448,0.9658,0.9569,0.6024
SiLU,0,28,0.343,0.9661,0.9566,0.6064
SiLU,0,29,0.34,0.9665,0.957,0.6013
SiLU,0,30,0.3394,0.9665,0.9562,0.6012
SiLU,0,31,0.337,0.9668,0.9571,0.608
SiLU,0,32,0.3355,0.9669,0.9581,0.6068
SiLU,0,33,0.3342,0.9671,0.9572,0.6074
SiLU,0,34,0.3323,0.9673,0.9568,0.6095
SiLU,0,35,0.331,0.9675,0.9576,0.6134
SiLU,0,36,0.3299,0.9676,0.9575,0.609
SiLU,0,37,0.3282,0.9676,0.9573,0.6132
SiLU,0,38,0.3272,0.9677,0.9565,0.6113
SiLU,0,39,0.325,0.968,0.957,0.6106
SiLU,0,40,0.3251,0.9679,0.9572,0.6122
SiLU,1,1,0.5922,0.8597,0.9096,0.3182
SiLU,1,2,0.5203,0.9354,0.9238,0.3522
SiLU,1,3,0.484,0.9455,0.9326,0.3683
SiLU,1,4,0.4613,0.9504,0.932,0.3772
SiLU,1,5,0.4442,0.9533,0.938,0.3875
SiLU,1,6,0.4317,0.9552,0.9383,0.3907
SiLU,1,7,0.421,0.9572,0.9396,0.4032
SiLU,1,8,0.4112,0.9585,0.9394,0.4092
SiLU,1,9,0.4037,0.9594,0.9405,0.4086
SiLU,1,10,0.3966,0.9603,0.9413,0.4123
SiLU,1,11,0.3903,0.9608,0.9406,0.4166
SiLU,1,12,0.3848,0.9616,0.9434,0.4208
SiLU,1,13,0.3792,0.9622,0.9424,0.423
SiLU,1,14,0.3747,0.9629,0.944,0.4262
SiLU,1,15,0.3707,0.9632,0.9438,0.4307
SiLU,1,16,0.3668,0.9637,0.943,0.436
SiLU,1,17,0.3629,0.9641,0.9435,0.4366
SiLU,1,18,0.3586,0.9644,0.9433,0.4374
SiLU,1,19,0.3559,0.9648,0.9427,0.4457
SiLU,1,20,0.3526,0.965,0.9433,0.4471
SiLU,1,21,0.3488,0.9655,0.9444,0.4426
SiLU,1,22,0.3465,0.9658,0.9435,0.4485
SiLU,1,23,0.3442,0.966,0.9445,0.4489
SiLU,1,24,0.3415,0.9663,0.9451,0.4545
SiLU,1,25,0.3384,0.9667,0.9452,0.4485
SiLU,1,26,0.3371,0.9667,0.9453,0.4522
SiLU,1,27,0.3345,0.967,0.9453,0.4603
SiLU,1,28,0.3326,0.9673,0.946,0.4601
SiLU,1,29,0.3312,0.9674,0.9447,0.4547
SiLU,1,30,0.3296,0.9675,0.9443,0.4593
SiLU,1,31,0.327,0.9678,0.9445,0.4628
SiLU,1,32,0.3258,0.9679,0.945,0.4581
SiLU,1,33,0.3247,0.968,0.9452,0.4619
SiLU,1,34,0.3224,0.9684,0.9458,0.4632
SiLU,1,35,0.3221,0.9684,0.946,0.4625
SiLU,1,36,0.3202,0.9685,0.9455,0.4653
SiLU,1,37,0.3192,0.9687,0.9452,0.4694
SiLU,1,38,0.3167,0.9688,0.9456,0.4684
SiLU,1,39,0.3166,0.9689,0.9458,0.4677
SiLU,1,40,0.3145,0.9692,0.945,0.4682
SiLU,1,41,0.3137,0.9693,0.9455,0.4682
SiLU,1,42,0.3134,0.9692,0.9466,0.4736
SiLU,1,43,0.3121,0.9694,0.9458,0.4695
SiLU,1,44,0.311,0.9695,0.9463,0.4682
SiLU,1,45,0.3091,0.9698,0.9454,0.473
SiLU,1,46,0.3086,0.9697,0.9473,0.4729
SiLU,1,47,0.308,0.9698,0.9458,0.4781
SiLU,1,48,0.3064,0.97,0.9465,0.4736
SiLU,1,49,0.3057,0.9701,0.9475,0.4772
SiLU,1,50,0.3043,0.9703,0.9461,0.4749
SiLU,2,1,0.59,0.8572,0.9229,0.3783
SiLU,2,2,0.5203,0.9339,0.9442,0.4175
SiLU,2,3,0.4854,0.9437,0.9429,0.4282
SiLU,2,4,0.4623,0.9489,0.946,0.432
SiLU,2,5,0.4462,0.9516,0.9457,0.4515
SiLU,2,6,0.4323,0.9538,0.9481,0.463
SiLU,2,7,0.4219,0.9553,0.9491,0.4531
SiLU,2,8,0.412,0.9568,0.95,0.4701
SiLU,2,9,0.4026,0.9582,0.9512,0.4762
SiLU,2,10,0.397,0.9588,0.9509,0.4803
SiLU,2,11,0.3895,0.9597,0.9508,0.4823
SiLU,2,12,0.3838,0.9605,0.9516,0.4891
SiLU,2,13,0.3779,0.9612,0.9526,0.4879
SiLU,2,14,0.3725,0.9619,0.952,0.4918
SiLU,2,15,0.368,0.9624,0.9522,0.4945
SiLU,2,16,0.3631,0.9628,0.9524,0.4933
SiLU,2,17,0.3608,0.9631,0.9531,0.4946
SiLU,2,18,0.3573,0.9637,0.9532,0.4999
SiLU,2,19,0.3548,0.9639,0.9531,0.4997
SiLU,2,20,0.352,0.964,0.9535,0.5056
SiLU,2,21,0.3481,0.9646,0.9517,0.5068
SiLU,2,22,0.3459,0.9648,0.9528,0.5096
SiLU,2,23,0.3435,0.9651,0.9538,0.5102
SiLU,2,24,0.3403,0.9654,0.9536,0.5112
SiLU,2,25,0.3387,0.9657,0.954,0.5113
SiLU,2,26,0.3374,0.9657,0.9539,0.5153
SiLU,2,27,0.3343,0.9661,0.9544,0.5156
SiLU,2,28,0.3329,0.9662,0.9541,0.5163
SiLU,2,29,0.331,0.9663,0.9546,0.5163
SiLU,2,30,0.3297,0.9666,0.9552,0.5234
SiLU,2,31,0.3281,0.9667,0.9547,0.525
SiLU,2,32,0.3254,0.967,0.9549,0.5189
SiLU,2,33,0.3248,0.9671,0.954,0.5212
SiLU,2,34,0.3238,0.9673,0.9554,0.5169
SiLU,2,35,0.3216,0.9675,0.9535,0.5199
SiLU,2,36,0.3199,0.9677,0.9549,0.5251
SiLU,2,37,0.319,0.9677,0.9554,0.5279
SiLU,2,38,0.3176,0.9677,0.9548,0.5252
SiLU,2,39,0.3161,0.9679,0.9552,0.5248
SiLU,2,40,0.3158,0.968,0.955,0.526
SiLU,2,41,0.3149,0.9682,0.9555,0.526
SiLU,2,42,0.3125,0.9685,0.9545,0.5248
SiLU,3,1,0.5957,0.8527,0.8912,0.3708
SiLU,3,2,0.5243,0.9342,0.9079,0.406
SiLU,3,3,0.4911,0.9434,0.9151,0.4288
SiLU,3,4,0.4673,0.9484,0.9172,0.4402
SiLU,3,5,0.4511,0.9514,0.924,0.4514
SiLU,3,6,0.4371,0.9536,0.9314,0.4721
SiLU,3,7,0.4251,0.9556,0.9316,0.4731
SiLU,3,8,0.4158,0.9571,0.9301,0.4771
SiLU,3,9,0.4073,0.9583,0.934,0.4894
SiLU,3,10,0.4008,0.9592,0.9345,0.4789
SiLU,3,11,0.3939,0.9601,0.9366,0.4854
SiLU,3,12,0.3878,0.9608,0.935,0.4788
SiLU,3,13,0.3826,0.9612,0.934,0.4953
SiLU,3,14,0.3772,0.962,0.9388,0.4936
SiLU,3,15,0.3732,0.9625,0.9379,0.5026
SiLU,3,16,0.3689,0.9629,0.9384,0.5007
SiLU,3,17,0.3656,0.9633,0.9368,0.505
SiLU,3,18,0.3609,0.9638,0.9372,0.4968
SiLU,3,19,0.3584,0.9642,0.9387,0.5121
SiLU,3,20,0.3551,0.9645,0.9389,0.5008
SiLU,3,21,0.3516,0.965,0.9433,0.5154
SiLU,3,22,0.3491,0.9653,0.9431,0.5185
SiLU,3,23,0.3471,0.9655,0.9387,0.5082
SiLU,3,24,0.3449,0.9658,0.9388,0.5106
SiLU,3,25,0.3424,0.966,0.9416,0.5181
SiLU,3,26,0.34,0.9663,0.9405,0.5071
SiLU,3,27,0.339,0.9663,0.9376,0.5085
