config_id,fold,epoch,train_loss,train_acc,val_acc,f1_score
Tanh,0,1,0.6114,0.8314,0.884,0.3719
Tanh,0,2,0.5552,0.9192,0.9117,0.4263
Tanh,0,3,0.5298,0.9326,0.9289,0.4646
Tanh,0,4,0.5103,0.939,0.9321,0.4743
Tanh,0,5,0.4967,0.9433,0.9344,0.4965
Tanh,0,6,0.4859,0.9458,0.9463,0.5142
Tanh,0,7,0.4766,0.9478,0.9364,0.5017
Tanh,0,8,0.468,0.9494,0.9371,0.5112
Tanh,0,9,0.4618,0.9505,0.9414,0.5266
Tanh,0,10,0.4554,0.9518,0.944,0.5351
Tanh,0,11,0.4494,0.9527,0.9407,0.5295
Tanh,0,12,0.4447,0.9534,0.9435,0.5396
Tanh,0,13,0.4391,0.9542,0.9399,0.5319
Tanh,0,14,0.4359,0.9547,0.9449,0.5461
Tanh,0,15,0.4314,0.9556,0.9487,0.5574
Tanh,0,16,0.4283,0.9561,0.9481,0.5585
Tanh,0,17,0.4245,0.9566,0.9451,0.5496
Tanh,0,18,0.4213,0.9571,0.9512,0.5682
Tanh,0,19,0.4191,0.9573,0.9471,0.5593
Tanh,0,20,0.4162,0.9578,0.9486,0.5634
Tanh,0,21,0.4137,0.9579,0.9491,0.5644
Tanh,0,22,0.4113,0.9581,0.9483,0.5638
Tanh,0,23,0.4098,0.9585,0.9469,0.5605
Tanh,1,1,0.5966,0.8536,0.8799,0.3077
Tanh,1,2,0.5341,0.9288,0.9091,0.3384
Tanh,1,3,0.5069,0.9393,0.915,0.3508
Tanh,1,4,0.4895,0.944,0.9217,0.3649
Tanh,1,5,0.4751,0.9476,0.9149,0.3625
Tanh,1,6,0.4662,0.9496,0.9253,0.3778
Tanh,1,7,0.4567,0.9514,0.927,0.382
Tanh,1,8,0.4493,0.9527,0.9268,0.3815
Tanh,1,9,0.4427,0.9541,0.928,0.3866
Tanh,1,10,0.436,0.9549,0.9273,0.3894
Tanh,1,11,0.4309,0.9559,0.933,0.3983
Tanh,1,12,0.4264,0.9563,0.9358,0.4048
Tanh,1,13,0.423,0.9569,0.9319,0.4026
Tanh,1,14,0.4192,0.9576,0.9334,0.4055
Tanh,1,15,0.4151,0.9581,0.9321,0.4008
Tanh,1,16,0.412,0.9586,0.9362,0.4086
Tanh,1,17,0.409,0.9591,0.9382,0.41
Tanh,1,18,0.4056,0.9594,0.9385,0.412
Tanh,1,19,0.4021,0.9599,0.9364,0.4157
Tanh,1,20,0.4016,0.9601,0.9363,0.4109
Tanh,1,21,0.3978,0.9605,0.9347,0.41
Tanh,1,22,0.3952,0.9608,0.9362,0.4188
Tanh,1,23,0.3935,0.961,0.9354,0.4204
Tanh,1,24,0.3916,0.9615,0.9359,0.4182
Tanh,1,25,0.3888,0.9615,0.9353,0.421
Tanh,1,26,0.3884,0.9616,0.9379,0.423
Tanh,1,27,0.3865,0.9618,0.9369,0.4217
Tanh,1,28,0.3846,0.9622,0.9379,0.4249
Tanh,1,29,0.3836,0.9622,0.9388,0.4217
Tanh,1,30,0.3814,0.9626,0.9378,0.4219
Tanh,1,31,0.38,0.9626,0.9353,0.422
Tanh,1,32,0.3791,0.9625,0.9368,0.4255
Tanh,1,33,0.3779,0.9629,0.9394,0.4299
Tanh,1,34,0.3758,0.9633,0.9384,0.4284
Tanh,1,35,0.3755,0.9633,0.9372,0.4272
Tanh,1,36,0.3746,0.9632,0.938,0.4289
Tanh,1,37,0.3719,0.9636,0.9376,0.4273
Tanh,1,38,0.3719,0.9636,0.939,0.4269
Tanh,2,1,0.5982,0.8467,0.9172,0.3678
Tanh,2,2,0.5373,0.9273,0.9267,0.3905
Tanh,2,3,0.5099,0.9378,0.935,0.41
Tanh,2,4,0.4938,0.9427,0.9406,0.4269
Tanh,2,5,0.4804,0.9457,0.9336,0.4232
Tanh,2,6,0.4689,0.9476,0.9352,0.4265
Tanh,2,7,0.46,0.9493,0.9408,0.4413
Tanh,2,8,0.4522,0.9507,0.944,0.4444
Tanh,2,9,0.4456,0.9518,0.9387,0.4406
Tanh,2,10,0.4403,0.9527,0.943,0.4507
Tanh,2,11,0.4345,0.9534,0.9412,0.4445
Tanh,2,12,0.4302,0.9542,0.9422,0.4516
Tanh,2,13,0.425,0.9549,0.942,0.4556
Tanh,2,14,0.421,0.9555,0.9464,0.4666
Tanh,2,15,0.417,0.9558,0.9446,0.4668
Tanh,2,16,0.4139,0.9563,0.9456,0.4731
Tanh,2,17,0.4105,0.9569,0.9452,0.4665
Tanh,2,18,0.4079,0.9569,0.9459,0.4714
Tanh,2,19,0.4034,0.9578,0.9456,0.4742
Tanh,2,20,0.4015,0.9581,0.9453,0.4764
Tanh,2,21,0.3991,0.9583,0.9469,0.4765
Tanh,2,22,0.3959,0.9588,0.9479,0.4815
Tanh,2,23,0.3944,0.9589,0.9478,0.4883
Tanh,2,24,0.3919,0.9593,0.9469,0.4844
Tanh,2,25,0.3904,0.9596,0.9478,0.4872
Tanh,2,26,0.3877,0.96,0.9469,0.4852
Tanh,2,27,0.3853,0.9602,0.9478,0.49
Tanh,2,28,0.3839,0.9604,0.9482,0.4852
Tanh,2,29,0.3832,0.9605,0.9491,0.4926
Tanh,2,30,0.3807,0.9607,0.9493,0.4958
Tanh,2,31,0.3802,0.9608,0.9492,0.4965
Tanh,2,32,0.3769,0.9612,0.947,0.4907
Tanh,2,33,0.3764,0.9614,0.9498,0.4966
Tanh,2,34,0.3753,0.9614,0.9489,0.4963
Tanh,2,35,0.3734,0.9616,0.95,0.4962
Tanh,2,36,0.3732,0.9614,0.9503,0.5031
Tanh,2,37,0.3705,0.9619,0.9487,0.4982
Tanh,2,38,0.3706,0.962,0.948,0.4957
Tanh,2,39,0.3685,0.9624,0.9503,0.5036
Tanh,2,40,0.3675,0.9623,0.9489,0.5014
Tanh,2,41,0.3665,0.9625,0.9521,0.5073
Tanh,2,42,0.3662,0.9626,0.9507,0.505
Tanh,2,43,0.3652,0.9627,0.9499,0.5037
Tanh,2,44,0.3637,0.9627,0.95,0.5046
Tanh,2,45,0.3624,0.9629,0.9487,0.5027
Tanh,2,46,0.3619,0.963,0.9496,0.4996
Tanh,3,1,0.602,0.8414,0.881,0.341
Tanh,3,2,0.5432,0.925,0.9044,0.3926
Tanh,3,3,0.515,0.9368,0.9024,0.3836
Tanh,3,4,0.4955,0.9428,0.9186,0.4203
Tanh,3,5,0.4818,0.9463,0.9181,0.432
Tanh,3,6,0.4713,0.9486,0.9153,0.426
Tanh,3,7,0.4617,0.95,0.9177,0.4287
Tanh,3,8,0.4543,0.9517,0.9186,0.4403
Tanh,3,9,0.4467,0.9525,0.9237,0.4316
Tanh,3,10,0.4415,0.9537,0.9296,0.4618
Tanh,3,11,0.4367,0.9547,0.9256,0.4498
Tanh,3,12,0.4312,0.9554,0.9282,0.4516
Tanh,3,13,0.4274,0.9559,0.9237,0.4542
Tanh,3,14,0.4225,0.9565,0.9307,0.4728
Tanh,3,15,0.4192,0.9572,0.9283,0.4605
Tanh,3,16,0.4159,0.9576,0.9333,0.4701
Tanh,3,17,0.4126,0.9576,0.9311,0.4736
Tanh,3,18,0.4102,0.9581,0.9272,0.4729
Tanh,3,19,0.4069,0.9589,0.9318,0.4846
Tanh,3,20,0.4035,0.9592,0.931,0.4707
Tanh,3,21,0.4008,0.9595,0.9352,0.4883
Tanh,3,22,0.3985,0.9597,0.9288,0.4743
Tanh,3,23,0.3966,0.9601,0.9296,0.4766
Tanh,3,24,0.3938,0.9604,0.9322,0.4769
Tanh,3,25,0.393,0.9605,0.9313,0.4802
Tanh,3,26,0.3918,0.9607,0.9289,0.4766
Tanh,4,1,0.598,0.8486,0.8981,0.3418
Tanh,4,2,0.5393,0.9242,0.922,0.3793
Tanh,4,3,0.5122,0.9353,0.9227,0.3922
Tanh,4,4,0.4944,0.9411,0.9414,0.4334
Tanh,4,5,0.4819,0.9439,0.9379,0.4288
Tanh,4,6,0.4705,0.946,0.9403,0.4396
Tanh,4,7,0.4617,0.9479,0.9452,0.4507
Tanh,4,8,0.4545,0.9498,0.9446,0.4559
Tanh,4,9,0.4469,0.9509,0.9419,0.4485
Tanh,4,10,0.4402,0.9523,0.9458,0.4609
Tanh,4,11,0.4356,0.9531,0.9469,0.4635
Tanh,4,12,0.4301,0.954,0.9455,0.4661
Tanh,4,13,0.4251,0.9547,0.9461,0.4711
Tanh,4,14,0.4217,0.9552,0.9485,0.4772
Tanh,4,15,0.4172,0.9561,0.9474,0.4769
Tanh,4,16,0.4144,0.9564,0.9473,0.4784
Tanh,4,17,0.4109,0.957,0.9493,0.4792
Tanh,4,18,0.4085,0.9573,0.9469,0.4787
Tanh,4,19,0.4049,0.9576,0.9491,0.4869
Tanh,4,20,0.403,0.958,0.9492,0.4855
Tanh,4,21,0.3995,0.9584,0.9498,0.4886
Tanh,4,22,0.3978,0.9587,0.9475,0.4888
Tanh,4,23,0.3951,0.959,0.9488,0.492
Tanh,4,24,0.3934,0.9589,0.9482,0.4861
Tanh,4,25,0.3905,0.9593,0.9495,0.4922
Tanh,4,26,0.3883,0.9598,0.9498,0.4958
Tanh,4,27,0.3876,0.9599,0.949,0.4972
Tanh,4,28,0.3863,0.9604,0.9504,0.4952
Tanh,4,29,0.3845,0.9603,0.9511,0.5011
Tanh,4,30,0.3816,0.9606,0.9519,0.4964
Tanh,4,31,0.3806,0.9608,0.9488,0.4917
Tanh,4,32,0.3788,0.9611,0.9495,0.4975
Tanh,4,33,0.3776,0.9611,0.95,0.498
Tanh,4,34,0.3762,0.9612,0.9498,0.4957
