config_id,fold,epoch,train_loss,train_acc,val_acc,f1_score
Adam_lr1e-04_bs1024,0,1,0.607,0.8408,0.9073,0.3863
Adam_lr1e-04_bs1024,0,2,0.5315,0.9336,0.9127,0.4099
Adam_lr1e-04_bs1024,0,3,0.4937,0.9449,0.9185,0.4305
Adam_lr1e-04_bs1024,0,4,0.4708,0.9497,0.9231,0.4476
Adam_lr1e-04_bs1024,0,5,0.4533,0.9527,0.9272,0.4583
Adam_lr1e-04_bs1024,0,6,0.4388,0.9551,0.9282,0.4759
Adam_lr1e-04_bs1024,0,7,0.4264,0.9572,0.9275,0.4774
Adam_lr1e-04_bs1024,0,8,0.4167,0.9587,0.9298,0.4855
Adam_lr1e-04_bs1024,0,9,0.4078,0.9599,0.9307,0.49
Adam_lr1e-04_bs1024,0,10,0.3989,0.961,0.9331,0.4942
Adam_lr1e-04_bs1024,0,11,0.3928,0.9617,0.9312,0.4912
Adam_lr1e-04_bs1024,0,12,0.3865,0.9627,0.9328,0.4931
Adam_lr1e-04_bs1024,0,13,0.3809,0.9633,0.9333,0.4998
Adam_lr1e-04_bs1024,0,14,0.3762,0.9636,0.9333,0.5042
Adam_lr1e-04_bs1024,0,15,0.3718,0.9643,0.9343,0.5073
Adam_lr1e-04_bs1024,0,16,0.3674,0.9647,0.934,0.503
Adam_lr1e-04_bs1024,0,17,0.3626,0.9653,0.9318,0.5032
Adam_lr1e-04_bs1024,0,18,0.3597,0.9656,0.9342,0.5096
Adam_lr1e-04_bs1024,0,19,0.3557,0.9661,0.9345,0.5111
Adam_lr1e-04_bs1024,0,20,0.3524,0.9663,0.9342,0.5131
Adam_lr1e-04_bs1024,0,21,0.3499,0.9667,0.9348,0.5156
Adam_lr1e-04_bs1024,0,22,0.3473,0.9668,0.9335,0.5153
Adam_lr1e-04_bs1024,0,23,0.3442,0.9671,0.9355,0.518
Adam_lr1e-04_bs1024,0,24,0.3411,0.9677,0.9347,0.5159
Adam_lr1e-04_bs1024,0,25,0.3395,0.9677,0.9331,0.5144
Adam_lr1e-04_bs1024,0,26,0.3384,0.9676,0.9342,0.5191
Adam_lr1e-04_bs1024,0,27,0.3354,0.9681,0.9347,0.5201
Adam_lr1e-04_bs1024,0,28,0.3338,0.9681,0.9347,0.5211
Adam_lr1e-04_bs1024,0,29,0.3311,0.9686,0.9334,0.5217
Adam_lr1e-04_bs1024,0,30,0.3294,0.9686,0.9349,0.5212
Adam_lr1e-04_bs1024,0,31,0.3278,0.969,0.9351,0.5238
Adam_lr1e-04_bs1024,0,32,0.3248,0.9692,0.9366,0.5266
Adam_lr1e-04_bs1024,0,33,0.3241,0.9693,0.9361,0.5268
Adam_lr1e-04_bs1024,0,34,0.3221,0.9693,0.9342,0.5226
Adam_lr1e-04_bs1024,0,35,0.3212,0.9695,0.9361,0.5307
Adam_lr1e-04_bs1024,0,36,0.3184,0.9699,0.9363,0.5273
Adam_lr1e-04_bs1024,0,37,0.3172,0.9698,0.9345,0.5271
Adam_lr1e-04_bs1024,0,38,0.3161,0.9701,0.936,0.5278
Adam_lr1e-04_bs1024,0,39,0.3156,0.97,0.936,0.5296
Adam_lr1e-04_bs1024,0,40,0.314,0.9702,0.9344,0.5274
Adam_lr1e-04_bs1024,1,1,0.5969,0.832,0.9078,0.3147
Adam_lr1e-04_bs1024,1,2,0.5139,0.9313,0.9286,0.3694
Adam_lr1e-04_bs1024,1,3,0.4762,0.9425,0.9393,0.4082
Adam_lr1e-04_bs1024,1,4,0.4522,0.9482,0.944,0.4335
Adam_lr1e-04_bs1024,1,5,0.4351,0.951,0.9451,0.4478
Adam_lr1e-04_bs1024,1,6,0.4209,0.9534,0.9488,0.4579
