config_id,fold,epoch,train_loss,train_acc,val_acc,f1_score
Adam_lr1e-04_bs512,0,1,0.5906,0.8674,0.9068,0.398
Adam_lr1e-04_bs512,0,2,0.5125,0.9414,0.9198,0.4312
Adam_lr1e-04_bs512,0,3,0.4756,0.9498,0.9238,0.4523
Adam_lr1e-04_bs512,0,4,0.4505,0.9543,0.9284,0.4694
Adam_lr1e-04_bs512,0,5,0.432,0.9571,0.9309,0.4788
Adam_lr1e-04_bs512,0,6,0.4172,0.9591,0.932,0.4919
Adam_lr1e-04_bs512,0,7,0.404,0.9609,0.9329,0.4994
Adam_lr1e-04_bs512,0,8,0.3957,0.9621,0.9329,0.4983
Adam_lr1e-04_bs512,0,9,0.3868,0.9631,0.9333,0.5035
Adam_lr1e-04_bs512,0,10,0.3798,0.9638,0.9329,0.5025
Adam_lr1e-04_bs512,0,11,0.3735,0.9646,0.9354,0.5133
Adam_lr1e-04_bs512,0,12,0.3685,0.9651,0.9358,0.5102
Adam_lr1e-04_bs512,0,13,0.364,0.9657,0.9358,0.5112
Adam_lr1e-04_bs512,0,14,0.3597,0.9662,0.9372,0.5194
Adam_lr1e-04_bs512,0,15,0.3539,0.9667,0.9348,0.5146
Adam_lr1e-04_bs512,0,16,0.3516,0.9672,0.9348,0.5173
Adam_lr1e-04_bs512,0,17,0.3475,0.9675,0.9356,0.5208
Adam_lr1e-04_bs512,0,18,0.3447,0.9678,0.9346,0.5195
Adam_lr1e-04_bs512,0,19,0.3424,0.9681,0.9366,0.5234
Adam_lr1e-04_bs512,0,20,0.3395,0.9683,0.9357,0.5211
Adam_lr1e-04_bs512,0,21,0.3368,0.9686,0.9346,0.5214
Adam_lr1e-04_bs512,0,22,0.3339,0.9689,0.9363,0.5223
Adam_lr1e-04_bs512,0,23,0.3311,0.9693,0.9361,0.526
Adam_lr1e-04_bs512,0,24,0.3296,0.9692,0.9355,0.5277
Adam_lr1e-04_bs512,0,25,0.327,0.9696,0.9356,0.5234
Adam_lr1e-04_bs512,0,26,0.3257,0.9697,0.9362,0.5279
Adam_lr1e-04_bs512,0,27,0.3229,0.97,0.9356,0.5255
Adam_lr1e-04_bs512,0,28,0.3218,0.9701,0.9352,0.5242
Adam_lr1e-04_bs512,0,29,0.3201,0.9702,0.936,0.5271
Adam_lr1e-04_bs512,0,30,0.318,0.9704,0.9365,0.5278
Adam_lr1e-04_bs512,0,31,0.3158,0.9707,0.9342,0.5264
Adam_lr1e-04_bs512,1,1,0.58,0.861,0.9123,0.3282
Adam_lr1e-04_bs512,1,2,0.499,0.9373,0.9395,0.3962
Adam_lr1e-04_bs512,1,3,0.4628,0.9462,0.9439,0.4266
Adam_lr1e-04_bs512,1,4,0.4379,0.9511,0.9464,0.4458
Adam_lr1e-04_bs512,1,5,0.4208,0.9539,0.9493,0.4673
Adam_lr1e-04_bs512,1,6,0.4069,0.9562,0.9466,0.4672
Adam_lr1e-04_bs512,1,7,0.3952,0.9577,0.9493,0.4834
Adam_lr1e-04_bs512,1,8,0.3846,0.9594,0.9519,0.4853
Adam_lr1e-04_bs512,1,9,0.3774,0.9604,0.95,0.4856
Adam_lr1e-04_bs512,1,10,0.3709,0.9612,0.9526,0.4917
Adam_lr1e-04_bs512,1,11,0.3643,0.962,0.9519,0.4975
Adam_lr1e-04_bs512,1,12,0.3587,0.9628,0.9512,0.4985
Adam_lr1e-04_bs512,1,13,0.3544,0.9631,0.9511,0.499
Adam_lr1e-04_bs512,1,14,0.3489,0.9638,0.9502,0.4929
Adam_lr1e-04_bs512,1,15,0.3449,0.9643,0.9528,0.5078
Adam_lr1e-04_bs512,1,16,0.3412,0.9645,0.9513,0.5042
Adam_lr1e-04_bs512,1,17,0.3375,0.9652,0.9498,0.4995
Adam_lr1e-04_bs512,1,18,0.3339,0.9656,0.9535,0.5132
