config_id,fold,epoch,train_loss,train_acc,val_acc,f1_score
spectral_flat,0,1,0.6799,0.7679,0.5339,0.1911
spectral_flat,0,2,0.6765,0.7799,0.543,0.1974
spectral_flat,0,3,0.6753,0.788,0.5703,0.1996
spectral_flat,0,4,0.6744,0.7954,0.6031,0.2129
spectral_flat,0,5,0.6738,0.8,0.5838,0.2045
spectral_flat,0,6,0.6732,0.8025,0.5496,0.2017
spectral_flat,0,7,0.6728,0.8045,0.581,0.2134
spectral_flat,0,8,0.6723,0.8078,0.5978,0.2151
spectral_flat,0,9,0.6718,0.811,0.5858,0.211
spectral_flat,0,10,0.6715,0.8103,0.5992,0.2168
spectral_flat,0,11,0.6712,0.8148,0.6046,0.2153
spectral_flat,0,12,0.6709,0.8161,0.6331,0.2244
spectral_flat,0,13,0.6706,0.8173,0.6104,0.221
spectral_flat,0,14,0.6704,0.8191,0.6261,0.2287
spectral_flat,0,15,0.6703,0.8196,0.6392,0.2308
spectral_flat,0,16,0.67,0.8196,0.649,0.231
spectral_flat,0,17,0.6699,0.8224,0.6514,0.2327
spectral_flat,0,18,0.6697,0.8233,0.6641,0.236
spectral_flat,0,19,0.6696,0.8233,0.6391,0.2301
spectral_flat,0,20,0.6694,0.8245,0.6658,0.2382
spectral_flat,0,21,0.6693,0.8261,0.663,0.2417
spectral_flat,0,22,0.6692,0.8265,0.6594,0.2404
spectral_flat,0,23,0.6691,0.8264,0.6734,0.2419
spectral_flat,0,24,0.669,0.8278,0.6732,0.2425
spectral_flat,0,25,0.6687,0.8284,0.6878,0.2434
spectral_flat,0,26,0.6687,0.8282,0.6846,0.2473
spectral_flat,0,27,0.6686,0.8289,0.667,0.2402
spectral_flat,0,28,0.6685,0.8294,0.6605,0.2409
spectral_flat,0,29,0.6684,0.8319,0.6769,0.2439
spectral_flat,0,30,0.6684,0.8309,0.6844,0.2493
spectral_flat,0,31,0.6683,0.8308,0.691,0.2502
spectral_flat,0,32,0.6683,0.8318,0.6862,0.2445
spectral_flat,0,33,0.6682,0.8324,0.6882,0.2502
spectral_flat,0,34,0.6681,0.8326,0.6876,0.2478
spectral_flat,0,35,0.6681,0.8321,0.6759,0.2451
