config_id,fold,epoch,train_loss,train_acc,val_acc,f1_score
Adam_lr1e-05_bs512,0,1,0.5923,0.8626,0.9083,0.3925
Adam_lr1e-05_bs512,0,2,0.5141,0.9414,0.9198,0.4227
Adam_lr1e-05_bs512,0,3,0.4784,0.9502,0.9264,0.4424
Adam_lr1e-05_bs512,0,4,0.454,0.9543,0.9275,0.4535
Adam_lr1e-05_bs512,0,5,0.4354,0.9572,0.9318,0.4779
Adam_lr1e-05_bs512,0,6,0.4203,0.9592,0.9306,0.4868
Adam_lr1e-05_bs512,0,7,0.4092,0.9607,0.9302,0.4886
Adam_lr1e-05_bs512,0,8,0.3979,0.962,0.9312,0.4943
Adam_lr1e-05_bs512,0,9,0.3897,0.9631,0.934,0.4988
Adam_lr1e-05_bs512,0,10,0.3828,0.9638,0.9349,0.5034
Adam_lr1e-05_bs512,0,11,0.3763,0.9645,0.9337,0.4998
Adam_lr1e-05_bs512,0,12,0.3703,0.9651,0.9316,0.5058
Adam_lr1e-05_bs512,0,13,0.3652,0.9657,0.9317,0.5055
Adam_lr1e-05_bs512,0,14,0.3608,0.9661,0.9325,0.5077
Adam_lr1e-05_bs512,0,15,0.3574,0.9665,0.9354,0.5155
Adam_lr1e-05_bs512,0,16,0.354,0.9671,0.9327,0.5113
Adam_lr1e-05_bs512,0,17,0.3489,0.9674,0.9333,0.5161
Adam_lr1e-05_bs512,0,18,0.3461,0.9677,0.9346,0.5174
Adam_lr1e-05_bs512,0,19,0.3428,0.968,0.9335,0.5211
Adam_lr1e-05_bs512,0,20,0.3389,0.9684,0.9352,0.5202
Adam_lr1e-05_bs512,0,21,0.3369,0.9687,0.9358,0.5298
Adam_lr1e-05_bs512,0,22,0.3348,0.9687,0.9351,0.5265
Adam_lr1e-05_bs512,0,23,0.3315,0.9692,0.9334,0.5241
Adam_lr1e-05_bs512,0,24,0.3301,0.9691,0.9325,0.5214
Adam_lr1e-05_bs512,0,25,0.3282,0.9695,0.9355,0.5309
Adam_lr1e-05_bs512,0,26,0.3265,0.9696,0.9356,0.5309
Adam_lr1e-05_bs512,0,27,0.3244,0.9698,0.9353,0.5324
Adam_lr1e-05_bs512,0,28,0.3227,0.9701,0.9359,0.5332
Adam_lr1e-05_bs512,0,29,0.3214,0.9701,0.9355,0.5334
Adam_lr1e-05_bs512,0,30,0.3192,0.9703,0.935,0.5334
Adam_lr1e-05_bs512,0,31,0.3175,0.9705,0.9347,0.5317
Adam_lr1e-05_bs512,0,32,0.3159,0.9706,0.9324,0.5255
Adam_lr1e-05_bs512,0,33,0.3145,0.9708,0.9331,0.5242
Adam_lr1e-05_bs512,0,34,0.3139,0.9709,0.9362,0.5348
Adam_lr1e-05_bs512,0,35,0.3125,0.971,0.934,0.5306
Adam_lr1e-05_bs512,0,36,0.3111,0.971,0.9337,0.5256
Adam_lr1e-05_bs512,0,37,0.31,0.9711,0.9349,0.5315
Adam_lr1e-05_bs512,0,38,0.3089,0.9713,0.9358,0.5371
Adam_lr1e-05_bs512,0,39,0.3076,0.9715,0.9349,0.5323
Adam_lr1e-05_bs512,0,40,0.3056,0.9716,0.9363,0.5393
Adam_lr1e-05_bs512,0,41,0.3058,0.9717,0.936,0.5369
Adam_lr1e-05_bs512,0,42,0.3049,0.9717,0.9342,0.5335
Adam_lr1e-05_bs512,0,43,0.3036,0.9719,0.9356,0.5289
Adam_lr1e-05_bs512,0,44,0.3027,0.972,0.9356,0.5374
Adam_lr1e-05_bs512,0,45,0.3027,0.9719,0.9354,0.5394
Adam_lr1e-05_bs512,0,46,0.3012,0.9721,0.9336,0.5329
Adam_lr1e-05_bs512,0,47,0.301,0.9721,0.9347,0.536
Adam_lr1e-05_bs512,0,48,0.2986,0.9723,0.9356,0.5364
Adam_lr1e-05_bs512,0,49,0.2987,0.9723,0.935,0.5393
Adam_lr1e-05_bs512,0,50,0.2978,0.9724,0.9333,0.5329
Adam_lr1e-05_bs512,1,1,0.5785,0.8649,0.93,0.3576
Adam_lr1e-05_bs512,1,2,0.4955,0.938,0.9318,0.3894
Adam_lr1e-05_bs512,1,3,0.459,0.9473,0.9459,0.4336
Adam_lr1e-05_bs512,1,4,0.4352,0.9516,0.947,0.4568
Adam_lr1e-05_bs512,1,5,0.4188,0.9545,0.9521,0.4755
Adam_lr1e-05_bs512,1,6,0.4041,0.9569,0.9518,0.4826
Adam_lr1e-05_bs512,1,7,0.3935,0.9582,0.953,0.4968
Adam_lr1e-05_bs512,1,8,0.3842,0.9595,0.9539,0.4967
Adam_lr1e-05_bs512,1,9,0.3757,0.9603,0.9546,0.5062
Adam_lr1e-05_bs512,1,10,0.3681,0.9615,0.9538,0.5004
Adam_lr1e-05_bs512,1,11,0.3626,0.9622,0.9532,0.502
Adam_lr1e-05_bs512,1,12,0.3565,0.9629,0.9534,0.5101
Adam_lr1e-05_bs512,1,13,0.3512,0.9634,0.9542,0.5158
Adam_lr1e-05_bs512,1,14,0.3469,0.964,0.9548,0.5173
Adam_lr1e-05_bs512,1,15,0.3428,0.9645,0.9564,0.5248
Adam_lr1e-05_bs512,1,16,0.3399,0.9647,0.9552,0.5198
Adam_lr1e-05_bs512,1,17,0.3347,0.9653,0.953,0.518
Adam_lr1e-05_bs512,1,18,0.3338,0.9655,0.9556,0.5267
Adam_lr1e-05_bs512,1,19,0.3304,0.9658,0.955,0.5293
Adam_lr1e-05_bs512,1,20,0.3269,0.9663,0.9538,0.5265
Adam_lr1e-05_bs512,1,21,0.3249,0.9664,0.9554,0.5313
Adam_lr1e-05_bs512,1,22,0.3228,0.9668,0.9557,0.5338
Adam_lr1e-05_bs512,1,23,0.3197,0.967,0.9544,0.5261
Adam_lr1e-05_bs512,1,24,0.3176,0.9672,0.9562,0.5347
Adam_lr1e-05_bs512,1,25,0.3163,0.9673,0.9552,0.5322
Adam_lr1e-05_bs512,1,26,0.314,0.9676,0.9536,0.5267
Adam_lr1e-05_bs512,1,27,0.311,0.968,0.9547,0.5265
Adam_lr1e-05_bs512,1,28,0.3099,0.9679,0.9558,0.5381
Adam_lr1e-05_bs512,1,29,0.308,0.9681,0.9565,0.5368
Adam_lr1e-05_bs512,1,30,0.3059,0.9684,0.9543,0.5301
Adam_lr1e-05_bs512,1,31,0.3043,0.9685,0.9552,0.5326
Adam_lr1e-05_bs512,1,32,0.3032,0.9687,0.9548,0.5334
Adam_lr1e-05_bs512,1,33,0.3014,0.9689,0.9547,0.5275
Adam_lr1e-05_bs512,2,1,0.582,0.854,0.923,0.3646
Adam_lr1e-05_bs512,2,2,0.5001,0.9365,0.9407,0.4197
Adam_lr1e-05_bs512,2,3,0.4629,0.9459,0.9484,0.4503
Adam_lr1e-05_bs512,2,4,0.4383,0.9509,0.9497,0.4655
Adam_lr1e-05_bs512,2,5,0.4204,0.9541,0.9456,0.4661
Adam_lr1e-05_bs512,2,6,0.4067,0.9559,0.9514,0.485
Adam_lr1e-05_bs512,2,7,0.3943,0.9578,0.9528,0.4885
Adam_lr1e-05_bs512,2,8,0.3845,0.9593,0.9516,0.4921
Adam_lr1e-05_bs512,2,9,0.3772,0.9603,0.9547,0.4991
Adam_lr1e-05_bs512,2,10,0.3691,0.9614,0.9519,0.4958
Adam_lr1e-05_bs512,2,11,0.3634,0.9621,0.9542,0.5012
Adam_lr1e-05_bs512,2,12,0.3583,0.9627,0.9536,0.5023
Adam_lr1e-05_bs512,2,13,0.3536,0.9635,0.9551,0.5079
Adam_lr1e-05_bs512,2,14,0.349,0.9639,0.9515,0.4973
Adam_lr1e-05_bs512,2,15,0.3445,0.9643,0.9553,0.5092
Adam_lr1e-05_bs512,2,16,0.3414,0.9647,0.9537,0.5082
Adam_lr1e-05_bs512,2,17,0.3392,0.965,0.9541,0.5076
Adam_lr1e-05_bs512,2,18,0.3343,0.9655,0.9554,0.5159
Adam_lr1e-05_bs512,2,19,0.3318,0.9659,0.9545,0.513
Adam_lr1e-05_bs512,2,20,0.3289,0.966,0.9535,0.5121
Adam_lr1e-05_bs512,2,21,0.3265,0.9663,0.955,0.5169
Adam_lr1e-05_bs512,2,22,0.3247,0.9666,0.9554,0.5197
Adam_lr1e-05_bs512,2,23,0.3217,0.967,0.9543,0.5163
Adam_lr1e-05_bs512,2,24,0.3203,0.9671,0.9533,0.5129
Adam_lr1e-05_bs512,2,25,0.3175,0.9674,0.955,0.5221
Adam_lr1e-05_bs512,2,26,0.3159,0.9674,0.9534,0.5134
Adam_lr1e-05_bs512,2,27,0.3138,0.968,0.9545,0.521
Adam_lr1e-05_bs512,2,28,0.3126,0.968,0.9551,0.5235
Adam_lr1e-05_bs512,2,29,0.3118,0.9679,0.9531,0.5151
Adam_lr1e-05_bs512,2,30,0.3095,0.9682,0.9517,0.5118
Adam_lr1e-05_bs512,2,31,0.3083,0.9684,0.9539,0.5217
Adam_lr1e-05_bs512,2,32,0.3064,0.9686,0.9555,0.5259
Adam_lr1e-05_bs512,2,33,0.3047,0.9687,0.9547,0.5254
Adam_lr1e-05_bs512,2,34,0.3034,0.9689,0.9559,0.5271
Adam_lr1e-05_bs512,2,35,0.304,0.9687,0.9544,0.5229
Adam_lr1e-05_bs512,2,36,0.3007,0.9691,0.9545,0.5231
Adam_lr1e-05_bs512,2,37,0.3009,0.9691,0.9546,0.525
Adam_lr1e-05_bs512,2,38,0.2985,0.9693,0.9545,0.5213
Adam_lr1e-05_bs512,2,39,0.2986,0.9694,0.955,0.5261
Adam_lr1e-05_bs512,3,1,0.5904,0.8474,0.8856,0.3749
Adam_lr1e-05_bs512,3,2,0.5097,0.9365,0.9154,0.4446
Adam_lr1e-05_bs512,3,3,0.4719,0.9472,0.9295,0.4852
Adam_lr1e-05_bs512,3,4,0.4475,0.952,0.9384,0.5013
Adam_lr1e-05_bs512,3,5,0.4284,0.9553,0.9416,0.5179
Adam_lr1e-05_bs512,3,6,0.4139,0.9576,0.9441,0.5246
Adam_lr1e-05_bs512,3,7,0.4024,0.9592,0.9445,0.5362
Adam_lr1e-05_bs512,3,8,0.3923,0.9606,0.9435,0.5395
Adam_lr1e-05_bs512,3,9,0.3843,0.9617,0.9474,0.5439
Adam_lr1e-05_bs512,3,10,0.3765,0.9623,0.9443,0.5334
Adam_lr1e-05_bs512,3,11,0.3711,0.963,0.9458,0.5464
Adam_lr1e-05_bs512,3,12,0.3661,0.9636,0.9446,0.5453
Adam_lr1e-05_bs512,3,13,0.3607,0.9643,0.9399,0.5302
Adam_lr1e-05_bs512,3,14,0.3559,0.9649,0.9461,0.5489
Adam_lr1e-05_bs512,3,15,0.3519,0.9654,0.9447,0.5445
Adam_lr1e-05_bs512,3,16,0.3476,0.9658,0.9452,0.5458
Adam_lr1e-05_bs512,3,17,0.3448,0.966,0.947,0.561
Adam_lr1e-05_bs512,3,18,0.3408,0.9664,0.9449,0.5474
Adam_lr1e-05_bs512,3,19,0.3389,0.9668,0.9444,0.5478
Adam_lr1e-05_bs512,3,20,0.3352,0.9671,0.9463,0.5528
Adam_lr1e-05_bs512,3,21,0.333,0.9673,0.9438,0.5455
Adam_lr1e-05_bs512,3,22,0.33,0.9676,0.9453,0.5503
Adam_lr1e-05_bs512,4,1,0.5937,0.8501,0.9265,0.458
Adam_lr1e-05_bs512,4,2,0.5114,0.9394,0.9326,0.4817
Adam_lr1e-05_bs512,4,3,0.474,0.9489,0.9395,0.5115
Adam_lr1e-05_bs512,4,4,0.4486,0.954,0.9443,0.5285
Adam_lr1e-05_bs512,4,5,0.4311,0.9567,0.9454,0.5439
Adam_lr1e-05_bs512,4,6,0.4164,0.9588,0.9471,0.5469
Adam_lr1e-05_bs512,4,7,0.4053,0.9603,0.9455,0.5517
Adam_lr1e-05_bs512,4,8,0.395,0.9615,0.9492,0.5614
Adam_lr1e-05_bs512,4,9,0.3873,0.9625,0.9484,0.5616
Adam_lr1e-05_bs512,4,10,0.3795,0.9634,0.9486,0.5671
Adam_lr1e-05_bs512,4,11,0.3742,0.9641,0.9494,0.5669
Adam_lr1e-05_bs512,4,12,0.3683,0.9646,0.949,0.5704
Adam_lr1e-05_bs512,4,13,0.3622,0.9651,0.9485,0.5697
Adam_lr1e-05_bs512,4,14,0.3576,0.9657,0.9483,0.571
Adam_lr1e-05_bs512,4,15,0.3522,0.9663,0.9496,0.5744
Adam_lr1e-05_bs512,4,16,0.3491,0.9666,0.9491,0.5709
Adam_lr1e-05_bs512,4,17,0.3463,0.9671,0.9473,0.5694
Adam_lr1e-05_bs512,4,18,0.3416,0.9674,0.9499,0.5806
Adam_lr1e-05_bs512,4,19,0.34,0.9676,0.949,0.5763
Adam_lr1e-05_bs512,4,20,0.3366,0.9679,0.9487,0.5773
Adam_lr1e-05_bs512,4,21,0.3334,0.9683,0.9484,0.577
Adam_lr1e-05_bs512,4,22,0.331,0.9686,0.9499,0.5837
Adam_lr1e-05_bs512,4,23,0.3299,0.9687,0.9475,0.5759
Adam_lr1e-05_bs512,4,24,0.3272,0.9689,0.9502,0.5836
Adam_lr1e-05_bs512,4,25,0.3256,0.9691,0.9489,0.5799
Adam_lr1e-05_bs512,4,26,0.3231,0.9694,0.9482,0.5774
Adam_lr1e-05_bs512,4,27,0.3202,0.9696,0.9484,0.5794
