config_id,fold,epoch,train_loss,train_acc,val_acc,f1_score
Dice0.7Focal0.3,0,1,0.5911,0.8445,0.9262,0.3725
Dice0.7Focal0.3,0,2,0.5096,0.9385,0.9313,0.4132
Dice0.7Focal0.3,0,3,0.472,0.9475,0.9351,0.4447
Dice0.7Focal0.3,0,4,0.4461,0.9516,0.9366,0.4557
Dice0.7Focal0.3,0,5,0.4273,0.9548,0.9413,0.4732
Dice0.7Focal0.3,0,6,0.4126,0.9568,0.9427,0.4785
Dice0.7Focal0.3,0,7,0.3987,0.9589,0.9418,0.4885
Dice0.7Focal0.3,0,8,0.3873,0.96,0.9446,0.4977
Dice0.7Focal0.3,0,9,0.3783,0.9613,0.9433,0.4893
Dice0.7Focal0.3,0,10,0.3702,0.9623,0.9447,0.4969
Dice0.7Focal0.3,0,11,0.3625,0.9632,0.9445,0.4977
Dice0.7Focal0.3,0,12,0.3572,0.9638,0.947,0.5076
Dice0.7Focal0.3,0,13,0.3507,0.9645,0.9454,0.5054
Dice0.7Focal0.3,0,14,0.3461,0.9651,0.944,0.5008
Dice0.7Focal0.3,0,15,0.3402,0.9656,0.9433,0.5008
Dice0.7Focal0.3,0,16,0.3366,0.9661,0.9433,0.5014
Dice0.7Focal0.3,0,17,0.3327,0.9664,0.945,0.5049
Dice0.7Focal0.3,1,1,0.6008,0.8438,0.9107,0.3615
Dice0.7Focal0.3,1,2,0.5199,0.9368,0.9147,0.3875
Dice0.7Focal0.3,1,3,0.4808,0.9468,0.9276,0.4158
Dice0.7Focal0.3,1,4,0.4555,0.9519,0.9255,0.4177
Dice0.7Focal0.3,1,5,0.4349,0.9552,0.9322,0.4299
Dice0.7Focal0.3,1,6,0.4207,0.9576,0.9356,0.4362
Dice0.7Focal0.3,1,7,0.408,0.9591,0.9331,0.4418
Dice0.7Focal0.3,1,8,0.3963,0.9605,0.9376,0.4555
Dice0.7Focal0.3,1,9,0.3869,0.9621,0.9409,0.4596
Dice0.7Focal0.3,1,10,0.3792,0.963,0.9413,0.4654
Dice0.7Focal0.3,1,11,0.3725,0.9639,0.9399,0.4629
Dice0.7Focal0.3,1,12,0.3649,0.9649,0.9382,0.4612
Dice0.7Focal0.3,1,13,0.3586,0.9654,0.9393,0.4656
Dice0.7Focal0.3,1,14,0.3546,0.9659,0.9387,0.4707
Dice0.7Focal0.3,1,15,0.3489,0.9664,0.9415,0.4727
Dice0.7Focal0.3,1,16,0.3448,0.9669,0.9411,0.4722
Dice0.7Focal0.3,1,17,0.3399,0.9675,0.9408,0.4777
Dice0.7Focal0.3,1,18,0.3365,0.9679,0.9409,0.4806
Dice0.7Focal0.3,1,19,0.3341,0.9682,0.9383,0.471
Dice0.7Focal0.3,1,20,0.3309,0.9686,0.9419,0.481
Dice0.7Focal0.3,1,21,0.3273,0.9691,0.9402,0.4782
Dice0.7Focal0.3,1,22,0.3228,0.9693,0.9396,0.4774
Dice0.7Focal0.3,1,23,0.322,0.9694,0.9407,0.4817
Dice0.7Focal0.3,1,24,0.3194,0.9696,0.9382,0.4764
Dice0.7Focal0.3,1,25,0.3159,0.97,0.9406,0.482
Dice0.7Focal0.3,1,26,0.3146,0.9702,0.9409,0.48
Dice0.7Focal0.3,1,27,0.3122,0.9705,0.9409,0.4857
Dice0.7Focal0.3,1,28,0.31,0.9706,0.9409,0.4847
Dice0.7Focal0.3,1,29,0.3089,0.9706,0.941,0.4876
Dice0.7Focal0.3,1,30,0.3057,0.9709,0.9435,0.4938
Dice0.7Focal0.3,1,31,0.3027,0.9713,0.9405,0.4842
Dice0.7Focal0.3,1,32,0.3026,0.9713,0.9411,0.4863
Dice0.7Focal0.3,1,33,0.2996,0.9715,0.9423,0.4944
Dice0.7Focal0.3,1,34,0.2989,0.9718,0.9415,0.493
Dice0.7Focal0.3,1,35,0.2983,0.9719,0.9405,0.4901
Dice0.7Focal0.3,1,36,0.2972,0.9718,0.9407,0.491
Dice0.7Focal0.3,1,37,0.293,0.9723,0.9414,0.491
Dice0.7Focal0.3,1,38,0.2928,0.9722,0.9424,0.4939
