config_id,fold,epoch,train_loss,train_acc,val_acc,f1_score
Dice_loss,0,1,0.6709,0.9114,0.9322,0.3014
Dice_loss,0,2,0.6016,0.9462,0.9393,0.3099
Dice_loss,0,3,0.5761,0.95,0.935,0.3176
Dice_loss,0,4,0.5603,0.9523,0.9402,0.3243
Dice_loss,0,5,0.5503,0.9536,0.9458,0.3302
Dice_loss,0,6,0.5431,0.9545,0.9445,0.3411
Dice_loss,0,7,0.5355,0.955,0.9449,0.3348
Dice_loss,0,8,0.5314,0.9557,0.943,0.3516
Dice_loss,0,9,0.5247,0.956,0.945,0.3511
Dice_loss,0,10,0.5206,0.9565,0.9439,0.3555
Dice_loss,0,11,0.5163,0.9569,0.9465,0.3541
Dice_loss,0,12,0.5118,0.9573,0.9453,0.366
Dice_loss,0,13,0.5101,0.9574,0.9466,0.3644
Dice_loss,0,14,0.5057,0.958,0.9474,0.3709
Dice_loss,0,15,0.5037,0.958,0.9492,0.382
Dice_loss,0,16,0.4997,0.9581,0.948,0.3915
Dice_loss,0,17,0.4934,0.9585,0.9481,0.3954
Dice_loss,0,18,0.4912,0.9588,0.9498,0.4004
Dice_loss,0,19,0.4841,0.9593,0.9485,0.4013
Dice_loss,0,20,0.4794,0.9596,0.9502,0.3998
Dice_loss,0,21,0.4744,0.9598,0.9488,0.404
Dice_loss,0,22,0.4708,0.9602,0.9488,0.4042
Dice_loss,0,23,0.4728,0.9602,0.9485,0.4002
Dice_loss,0,24,0.4696,0.9603,0.9498,0.4082
Dice_loss,0,25,0.4669,0.9606,0.9502,0.4071
Dice_loss,0,26,0.4631,0.9607,0.9498,0.4073
Dice_loss,0,27,0.4628,0.9608,0.9486,0.4035
Dice_loss,0,28,0.4612,0.961,0.9511,0.4117
Dice_loss,0,29,0.4559,0.9612,0.9495,0.4062
Dice_loss,0,30,0.4514,0.9613,0.9495,0.4177
Dice_loss,0,31,0.4485,0.9615,0.95,0.4174
Dice_loss,0,32,0.4452,0.9619,0.95,0.4232
Dice_loss,0,33,0.4418,0.9621,0.9509,0.4174
Dice_loss,0,34,0.4424,0.9621,0.9503,0.4196
Dice_loss,0,35,0.4417,0.9623,0.9502,0.4115
Dice_loss,0,36,0.4369,0.9623,0.9487,0.4242
Dice_loss,0,37,0.4386,0.9625,0.9495,0.415
Dice_loss,0,38,0.4352,0.9626,0.9518,0.4149
Dice_loss,0,39,0.4368,0.9626,0.9505,0.4162
Dice_loss,0,40,0.4367,0.9626,0.9489,0.4184
Dice_loss,0,41,0.4343,0.9628,0.9518,0.4216
Dice_loss,1,1,0.681,0.9205,0.9291,0.3053
Dice_loss,1,2,0.6234,0.9496,0.9373,0.3127
Dice_loss,1,3,0.6008,0.9523,0.9439,0.3028
Dice_loss,1,4,0.5855,0.954,0.9397,0.3218
Dice_loss,1,5,0.5777,0.9551,0.9432,0.3177
Dice_loss,1,6,0.5704,0.9557,0.9388,0.3304
Dice_loss,1,7,0.5652,0.9564,0.9434,0.3201
Dice_loss,1,8,0.5597,0.957,0.9413,0.3215
Dice_loss,1,9,0.5582,0.9572,0.9438,0.3312
Dice_loss,1,10,0.5539,0.9575,0.9431,0.3358
Dice_loss,1,11,0.5504,0.9576,0.9452,0.3448
Dice_loss,1,12,0.547,0.9581,0.942,0.3215
Dice_loss,1,13,0.5448,0.9583,0.9434,0.3436
Dice_loss,1,14,0.5427,0.9584,0.9415,0.3344
Dice_loss,1,15,0.5386,0.9586,0.9456,0.3476
Dice_loss,1,16,0.5366,0.9587,0.9447,0.3289
Dice_loss,1,17,0.5368,0.9588,0.9421,0.3372
Dice_loss,1,18,0.5337,0.959,0.943,0.3283
Dice_loss,1,19,0.5317,0.9591,0.9441,0.3383
Dice_loss,1,20,0.5286,0.9593,0.9435,0.3428
