config_id,fold,epoch,train_loss,train_acc,val_acc,f1_score
2d_grouped_muster_sampler_pos,0,1,0.2256,0.805,0.7592,0.3199
2d_grouped_muster_sampler_pos,0,2,0.1584,0.8759,0.778,0.3347
2d_grouped_muster_sampler_pos,0,3,0.1397,0.8927,0.796,0.3522
2d_grouped_muster_sampler_pos,0,4,0.13,0.9011,0.8303,0.3861
2d_grouped_muster_sampler_pos,0,5,0.1233,0.907,0.8196,0.3761
2d_grouped_muster_sampler_pos,0,6,0.1189,0.9108,0.8366,0.3955
2d_grouped_muster_sampler_pos,0,7,0.1158,0.9135,0.8246,0.3812
2d_grouped_muster_sampler_pos,0,8,0.1127,0.9162,0.8334,0.3932
2d_grouped_muster_sampler_pos,0,9,0.1109,0.9176,0.8297,0.3884
2d_grouped_muster_sampler_pos,0,10,0.1095,0.9188,0.8168,0.3746
2d_grouped_muster_sampler_pos,0,11,0.1078,0.9204,0.8405,0.4009
2d_grouped_muster_sampler_pos,0,12,0.1063,0.9214,0.8297,0.3893
2d_grouped_muster_sampler_pos,0,13,0.1056,0.9221,0.8371,0.3973
2d_grouped_muster_sampler_pos,0,14,0.1044,0.9231,0.8362,0.3968
2d_grouped_muster_sampler_pos,0,15,0.1038,0.9237,0.8483,0.412
2d_grouped_muster_sampler_pos,0,16,0.1026,0.9245,0.8361,0.3967
2d_grouped_muster_sampler_pos,0,17,0.1025,0.9248,0.8449,0.4084
2d_grouped_muster_sampler_pos,0,18,0.1017,0.9255,0.839,0.4
2d_grouped_muster_sampler_pos,0,19,0.1014,0.9258,0.8245,0.385
2d_grouped_muster_sampler_pos,0,20,0.1008,0.9261,0.8316,0.3933
2d_grouped_muster_sampler_pos,1,1,0.2218,0.8079,0.7831,0.2599
2d_grouped_muster_sampler_pos,1,2,0.1566,0.8777,0.8178,0.2868
2d_grouped_muster_sampler_pos,1,3,0.138,0.894,0.8314,0.3016
2d_grouped_muster_sampler_pos,1,4,0.128,0.9026,0.8325,0.304
2d_grouped_muster_sampler_pos,1,5,0.1214,0.9086,0.8465,0.3201
2d_grouped_muster_sampler_pos,1,6,0.1171,0.9122,0.85,0.325
2d_grouped_muster_sampler_pos,1,7,0.1131,0.9155,0.8413,0.3148
2d_grouped_muster_sampler_pos,1,8,0.1107,0.9177,0.8534,0.3296
2d_grouped_muster_sampler_pos,1,9,0.1087,0.9194,0.8567,0.3322
2d_grouped_muster_sampler_pos,1,10,0.1068,0.9212,0.8559,0.3323
2d_grouped_muster_sampler_pos,1,11,0.1053,0.9221,0.8489,0.3228
2d_grouped_muster_sampler_pos,1,12,0.1043,0.9232,0.8534,0.326
2d_grouped_muster_sampler_pos,1,13,0.1031,0.924,0.8556,0.3318
2d_grouped_muster_sampler_pos,1,14,0.1019,0.9252,0.8546,0.3316
2d_grouped_muster_sampler_pos,1,15,0.1014,0.9257,0.8648,0.3469
2d_grouped_muster_sampler_pos,1,16,0.1005,0.9265,0.8506,0.3278
2d_grouped_muster_sampler_pos,1,17,0.1002,0.9267,0.8577,0.3354
2d_grouped_muster_sampler_pos,1,18,0.099,0.9279,0.8502,0.3272
2d_grouped_muster_sampler_pos,1,19,0.0986,0.9279,0.8487,0.3251
2d_grouped_muster_sampler_pos,1,20,0.0989,0.9278,0.8523,0.3287
2d_grouped_muster_sampler_pos,2,1,0.2221,0.8076,0.761,0.2436
2d_grouped_muster_sampler_pos,2,2,0.1567,0.8772,0.796,0.2693
2d_grouped_muster_sampler_pos,2,3,0.1389,0.8932,0.818,0.2879
2d_grouped_muster_sampler_pos,2,4,0.1287,0.902,0.8188,0.288
2d_grouped_muster_sampler_pos,2,5,0.1222,0.9076,0.8415,0.3141
2d_grouped_muster_sampler_pos,2,6,0.1179,0.9112,0.8305,0.3013
2d_grouped_muster_sampler_pos,2,7,0.1141,0.9146,0.8399,0.3104
2d_grouped_muster_sampler_pos,2,8,0.1117,0.9165,0.8406,0.3165
2d_grouped_muster_sampler_pos,2,9,0.1095,0.9183,0.8332,0.305
2d_grouped_muster_sampler_pos,2,10,0.1079,0.9196,0.8452,0.3173
2d_grouped_muster_sampler_pos,2,11,0.1066,0.921,0.844,0.3175
2d_grouped_muster_sampler_pos,2,12,0.1052,0.9221,0.8486,0.3218
2d_grouped_muster_sampler_pos,2,13,0.1043,0.9229,0.8549,0.3316
2d_grouped_muster_sampler_pos,2,14,0.1036,0.9235,0.8389,0.311
2d_grouped_muster_sampler_pos,2,15,0.1026,0.9243,0.8512,0.3246
2d_grouped_muster_sampler_pos,2,16,0.1019,0.9249,0.8445,0.3201
2d_grouped_muster_sampler_pos,2,17,0.1015,0.9254,0.8516,0.3268
2d_grouped_muster_sampler_pos,2,18,0.1008,0.926,0.8306,0.302
2d_grouped_muster_sampler_pos,3,1,0.2218,0.8091,0.7597,0.3019
2d_grouped_muster_sampler_pos,3,2,0.1557,0.8788,0.794,0.3347
2d_grouped_muster_sampler_pos,3,3,0.1376,0.8952,0.8052,0.3457
2d_grouped_muster_sampler_pos,3,4,0.1276,0.9039,0.8123,0.3493
2d_grouped_muster_sampler_pos,3,5,0.1212,0.9092,0.8129,0.352
2d_grouped_muster_sampler_pos,3,6,0.1171,0.9127,0.8169,0.3595
2d_grouped_muster_sampler_pos,3,7,0.1135,0.9158,0.8138,0.3587
2d_grouped_muster_sampler_pos,3,8,0.1108,0.918,0.8158,0.3602
2d_grouped_muster_sampler_pos,3,9,0.1091,0.9194,0.8142,0.3563
2d_grouped_muster_sampler_pos,3,10,0.1073,0.9211,0.8107,0.3561
2d_grouped_muster_sampler_pos,3,11,0.1057,0.9223,0.8297,0.3731
2d_grouped_muster_sampler_pos,3,12,0.1047,0.9232,0.8146,0.3566
2d_grouped_muster_sampler_pos,3,13,0.1039,0.9239,0.8313,0.3803
2d_grouped_muster_sampler_pos,3,14,0.1026,0.9248,0.8273,0.3752
2d_grouped_muster_sampler_pos,3,15,0.1019,0.9254,0.8421,0.3897
2d_grouped_muster_sampler_pos,3,16,0.1015,0.9257,0.825,0.3717
2d_grouped_muster_sampler_pos,3,17,0.101,0.9263,0.8271,0.3708
2d_grouped_muster_sampler_pos,3,18,0.1006,0.9265,0.8237,0.3687
2d_grouped_muster_sampler_pos,3,19,0.0998,0.9272,0.8156,0.3575
2d_grouped_muster_sampler_pos,3,20,0.0992,0.9277,0.8394,0.3869
2d_grouped_muster_sampler_pos,4,1,0.2232,0.8078,0.7836,0.3292
2d_grouped_muster_sampler_pos,4,2,0.1555,0.8791,0.8169,0.3617
2d_grouped_muster_sampler_pos,4,3,0.1371,0.8953,0.8151,0.3599
2d_grouped_muster_sampler_pos,4,4,0.1268,0.9042,0.8336,0.3801
2d_grouped_muster_sampler_pos,4,5,0.1204,0.9099,0.8394,0.3896
2d_grouped_muster_sampler_pos,4,6,0.1164,0.9134,0.8444,0.3959
2d_grouped_muster_sampler_pos,4,7,0.1128,0.9163,0.8362,0.3894
2d_grouped_muster_sampler_pos,4,8,0.1103,0.9185,0.849,0.4053
2d_grouped_muster_sampler_pos,4,9,0.1082,0.9203,0.8442,0.4003
2d_grouped_muster_sampler_pos,4,10,0.1065,0.9218,0.8437,0.3988
2d_grouped_muster_sampler_pos,4,11,0.105,0.923,0.8486,0.4068
2d_grouped_muster_sampler_pos,4,12,0.1037,0.9242,0.8527,0.412
2d_grouped_muster_sampler_pos,4,13,0.1025,0.925,0.8581,0.419
2d_grouped_muster_sampler_pos,4,14,0.1019,0.9256,0.8551,0.4157
2d_grouped_muster_sampler_pos,4,15,0.1009,0.9264,0.8601,0.4235
2d_grouped_muster_sampler_pos,4,16,0.1004,0.9269,0.8543,0.4121
2d_grouped_muster_sampler_pos,4,17,0.0997,0.9275,0.8582,0.4176
2d_grouped_muster_sampler_pos,4,18,0.099,0.9283,0.8471,0.4066
2d_grouped_muster_sampler_pos,4,19,0.0984,0.9287,0.8556,0.4171
2d_grouped_muster_sampler_pos,4,20,0.0982,0.9289,0.8516,0.4089
