config_id,fold,epoch,train_loss,train_acc,val_acc,f1_score
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning_muster_loss_angepasst,0,1,0.5418,0.9474,0.9256,0.4454
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning_muster_loss_angepasst,0,2,0.4354,0.965,0.9268,0.4716
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning_muster_loss_angepasst,0,3,0.3854,0.9697,0.9322,0.4932
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning_muster_loss_angepasst,0,4,0.3603,0.9721,0.933,0.4947
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning_muster_loss_angepasst,0,5,0.3427,0.9734,0.9314,0.501
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning_muster_loss_angepasst,0,6,0.3278,0.9745,0.9341,0.5039
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning_muster_loss_angepasst,0,7,0.3181,0.9754,0.9336,0.503
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning_muster_loss_angepasst,0,8,0.3083,0.9763,0.9351,0.5208
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning_muster_loss_angepasst,0,9,0.3005,0.977,0.9371,0.5078
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning_muster_loss_angepasst,0,10,0.2935,0.9776,0.9374,0.5227
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning_muster_loss_angepasst,0,11,0.2881,0.9779,0.9335,0.5084
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning_muster_loss_angepasst,0,12,0.2847,0.9782,0.9369,0.5181
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning_muster_loss_angepasst,0,13,0.2777,0.9788,0.9387,0.5261
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning_muster_loss_angepasst,0,14,0.273,0.9792,0.9387,0.5222
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning_muster_loss_angepasst,0,15,0.271,0.9794,0.9387,0.5221
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning_muster_loss_angepasst,0,16,0.2657,0.9798,0.9406,0.5321
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning_muster_loss_angepasst,0,17,0.2633,0.9799,0.9372,0.5165
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning_muster_loss_angepasst,0,18,0.261,0.9802,0.9376,0.5257
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning_muster_loss_angepasst,0,19,0.2575,0.9805,0.9403,0.5251
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning_muster_loss_angepasst,0,20,0.2542,0.9807,0.9395,0.5185
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning_muster_loss_angepasst,0,21,0.2526,0.9809,0.9389,0.521
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning_muster_loss_angepasst,1,1,0.5209,0.9452,0.9474,0.4042
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning_muster_loss_angepasst,1,2,0.4134,0.963,0.9524,0.4408
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning_muster_loss_angepasst,1,3,0.3689,0.9676,0.9533,0.4649
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning_muster_loss_angepasst,1,4,0.3449,0.97,0.9561,0.4838
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning_muster_loss_angepasst,1,5,0.3267,0.9717,0.9549,0.4792
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning_muster_loss_angepasst,1,6,0.3139,0.9729,0.9567,0.4895
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning_muster_loss_angepasst,1,7,0.3044,0.9735,0.9556,0.4829
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning_muster_loss_angepasst,1,8,0.2942,0.9747,0.9555,0.5003
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning_muster_loss_angepasst,1,9,0.2868,0.9754,0.956,0.4884
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning_muster_loss_angepasst,1,10,0.2803,0.9758,0.9542,0.4986
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning_muster_loss_angepasst,1,11,0.275,0.9763,0.9586,0.5069
