config_id,fold,epoch,train_loss,train_acc,val_acc,f1_score
2d_grouped,0,1,0.5195,0.9263,0.9294,0.5112
2d_grouped,0,2,0.3941,0.9637,0.9308,0.521
2d_grouped,0,3,0.3517,0.9685,0.9364,0.5302
2d_grouped,0,4,0.3299,0.9708,0.9352,0.5304
2d_grouped,0,5,0.3139,0.9723,0.9348,0.5333
2d_grouped,0,6,0.3029,0.9733,0.9332,0.518
2d_grouped,0,7,0.2946,0.9743,0.9345,0.535
2d_grouped,0,8,0.2872,0.9748,0.9378,0.5424
2d_grouped,0,9,0.2824,0.9753,0.9378,0.5396
2d_grouped,0,10,0.2769,0.9757,0.9356,0.5399
2d_grouped,0,11,0.272,0.9763,0.9373,0.5507
2d_grouped,0,12,0.2685,0.9765,0.9381,0.5421
2d_grouped,0,13,0.2654,0.9767,0.9394,0.546
2d_grouped,0,14,0.2634,0.977,0.9374,0.5384
2d_grouped,0,15,0.2601,0.9773,0.9389,0.5469
2d_grouped,0,16,0.2575,0.9773,0.9398,0.5562
2d_grouped,0,17,0.2555,0.9776,0.94,0.562
2d_grouped,0,18,0.2535,0.978,0.941,0.5565
2d_grouped,0,19,0.2534,0.9779,0.9376,0.5453
2d_grouped,0,20,0.2508,0.9781,0.9377,0.5447
2d_grouped,0,21,0.2498,0.9781,0.9389,0.5484
2d_grouped,0,22,0.2481,0.9784,0.939,0.5512
2d_grouped,1,1,0.5006,0.9266,0.9475,0.4529
2d_grouped,1,2,0.3762,0.9618,0.9535,0.4974
2d_grouped,1,3,0.3346,0.9667,0.9526,0.5013
2d_grouped,1,4,0.3123,0.9692,0.9536,0.5166
2d_grouped,1,5,0.2971,0.9709,0.9542,0.5175
2d_grouped,1,6,0.2871,0.9719,0.9559,0.5178
2d_grouped,1,7,0.2783,0.9728,0.9553,0.5228
2d_grouped,1,8,0.2725,0.9734,0.9585,0.5357
2d_grouped,1,9,0.2656,0.9741,0.9569,0.5315
2d_grouped,1,10,0.2606,0.9746,0.9568,0.5317
2d_grouped,1,11,0.2581,0.9749,0.959,0.5429
2d_grouped,1,12,0.2534,0.9753,0.9585,0.5466
2d_grouped,1,13,0.25,0.9756,0.9565,0.5403
2d_grouped,1,14,0.2477,0.9758,0.9581,0.5423
2d_grouped,1,15,0.245,0.9761,0.9588,0.5471
2d_grouped,1,16,0.2429,0.9763,0.9578,0.5369
2d_grouped,1,17,0.2404,0.9765,0.9584,0.5447
2d_grouped,1,18,0.2387,0.9768,0.9579,0.5501
2d_grouped,1,19,0.2372,0.9769,0.9586,0.5478
2d_grouped,1,20,0.2346,0.9771,0.9589,0.5541
2d_grouped,1,21,0.2344,0.977,0.9574,0.5395
2d_grouped,1,22,0.233,0.9772,0.9587,0.5458
2d_grouped,1,23,0.2318,0.9774,0.9589,0.5476
2d_grouped,1,24,0.231,0.9775,0.9609,0.5597
2d_grouped,1,25,0.2294,0.9777,0.9597,0.5523
2d_grouped,1,26,0.2291,0.9776,0.9584,0.5511
2d_grouped,1,27,0.2282,0.9777,0.9584,0.5488
2d_grouped,1,28,0.2274,0.9778,0.9588,0.5459
2d_grouped,1,29,0.2264,0.9779,0.9594,0.5509
2d_grouped,2,1,0.5047,0.9228,0.9428,0.4729
2d_grouped,2,2,0.3772,0.9618,0.944,0.4798
2d_grouped,2,3,0.337,0.9668,0.9461,0.4887
2d_grouped,2,4,0.3143,0.9693,0.9535,0.5098
2d_grouped,2,5,0.2995,0.9709,0.9495,0.5044
2d_grouped,2,6,0.2879,0.9722,0.9517,0.5117
2d_grouped,2,7,0.2786,0.9731,0.9561,0.529
2d_grouped,2,8,0.2727,0.9736,0.9553,0.5222
2d_grouped,2,9,0.2673,0.9742,0.9556,0.5319
2d_grouped,2,10,0.2627,0.9747,0.9552,0.53
2d_grouped,2,11,0.2581,0.9752,0.9566,0.5393
2d_grouped,2,12,0.2554,0.9753,0.9546,0.5292
2d_grouped,2,13,0.2517,0.9756,0.9557,0.5319
2d_grouped,2,14,0.2495,0.9759,0.9557,0.5332
2d_grouped,2,15,0.2463,0.9764,0.9563,0.5361
2d_grouped,2,16,0.2446,0.9765,0.957,0.5363
2d_grouped,3,1,0.5099,0.9246,0.9418,0.5379
2d_grouped,3,2,0.3833,0.963,0.9466,0.5423
2d_grouped,3,3,0.3414,0.9679,0.946,0.5598
2d_grouped,3,4,0.3178,0.9704,0.9511,0.5762
2d_grouped,3,5,0.3022,0.9722,0.9454,0.5639
2d_grouped,3,6,0.2914,0.9731,0.948,0.5702
2d_grouped,3,7,0.283,0.974,0.9486,0.5738
2d_grouped,3,8,0.276,0.9746,0.9443,0.5606
2d_grouped,3,9,0.2694,0.9751,0.9501,0.5847
2d_grouped,3,10,0.2648,0.9757,0.9492,0.5872
2d_grouped,3,11,0.2621,0.976,0.9477,0.5791
2d_grouped,3,12,0.2583,0.9763,0.9471,0.5726
2d_grouped,3,13,0.2551,0.9766,0.9515,0.5854
2d_grouped,3,14,0.2519,0.9769,0.9492,0.5785
2d_grouped,3,15,0.2488,0.9772,0.951,0.5908
2d_grouped,3,16,0.247,0.9774,0.9501,0.5867
2d_grouped,3,17,0.2448,0.9778,0.95,0.5878
2d_grouped,3,18,0.242,0.9778,0.9492,0.5818
2d_grouped,3,19,0.241,0.9779,0.9505,0.5865
2d_grouped,3,20,0.24,0.978,0.9493,0.5817
2d_grouped,4,1,0.5153,0.9265,0.9436,0.5446
2d_grouped,4,2,0.3888,0.9629,0.9483,0.5827
2d_grouped,4,3,0.3448,0.9683,0.9445,0.5791
2d_grouped,4,4,0.3207,0.9706,0.9469,0.5779
2d_grouped,4,5,0.3053,0.9723,0.9499,0.5986
2d_grouped,4,6,0.2937,0.9735,0.9519,0.6096
2d_grouped,4,7,0.2848,0.9742,0.9496,0.5941
2d_grouped,4,8,0.2778,0.9749,0.948,0.5918
2d_grouped,4,9,0.2728,0.9753,0.953,0.6186
2d_grouped,4,10,0.2666,0.9759,0.9521,0.6014
2d_grouped,4,11,0.2628,0.9762,0.9536,0.6173
2d_grouped,4,12,0.2586,0.9766,0.9556,0.6289
2d_grouped,4,13,0.2561,0.9768,0.9532,0.6165
2d_grouped,4,14,0.2532,0.9771,0.9551,0.6307
2d_grouped,4,15,0.25,0.9775,0.9546,0.6213
2d_grouped,4,16,0.2491,0.9776,0.9546,0.6287
2d_grouped,4,17,0.246,0.9779,0.9543,0.6291
2d_grouped,4,18,0.2441,0.978,0.9561,0.6319
2d_grouped,4,19,0.2416,0.9783,0.956,0.6311
2d_grouped,4,20,0.2413,0.9781,0.9536,0.6162
2d_grouped,4,21,0.24,0.9783,0.9519,0.6031
2d_grouped,4,22,0.2383,0.9785,0.9531,0.6223
2d_grouped,4,23,0.2367,0.9787,0.9517,0.6009
