config_id,fold,epoch,train_loss,train_acc,val_acc,f1_score
2d_grouped_augmentation_no_sampler,0,1,0.5229,0.935,0.9243,0.4467
2d_grouped_augmentation_no_sampler,0,2,0.413,0.9644,0.9341,0.4574
2d_grouped_augmentation_no_sampler,0,3,0.372,0.9692,0.9356,0.4805
2d_grouped_augmentation_no_sampler,0,4,0.3492,0.9713,0.9386,0.49
2d_grouped_augmentation_no_sampler,0,5,0.3322,0.973,0.937,0.4912
2d_grouped_augmentation_no_sampler,0,6,0.3201,0.9742,0.9401,0.5114
2d_grouped_augmentation_no_sampler,0,7,0.3104,0.975,0.9426,0.5047
2d_grouped_augmentation_no_sampler,0,8,0.3032,0.9756,0.9404,0.5212
2d_grouped_augmentation_no_sampler,0,9,0.2965,0.9763,0.9385,0.5211
2d_grouped_augmentation_no_sampler,0,10,0.2889,0.9768,0.9385,0.5097
2d_grouped_augmentation_no_sampler,0,11,0.2856,0.9774,0.9395,0.514
2d_grouped_augmentation_no_sampler,0,12,0.2816,0.9777,0.9382,0.5197
2d_grouped_augmentation_no_sampler,0,13,0.277,0.9781,0.9395,0.5128
2d_grouped_augmentation_no_sampler,1,1,0.5044,0.9353,0.9356,0.3611
2d_grouped_augmentation_no_sampler,1,2,0.4035,0.9609,0.9502,0.4408
2d_grouped_augmentation_no_sampler,1,3,0.3614,0.9662,0.9519,0.4466
2d_grouped_augmentation_no_sampler,1,4,0.3367,0.969,0.9549,0.4627
2d_grouped_augmentation_no_sampler,1,5,0.321,0.971,0.9559,0.477
2d_grouped_augmentation_no_sampler,1,6,0.31,0.9721,0.9559,0.474
2d_grouped_augmentation_no_sampler,1,7,0.3005,0.973,0.9582,0.4856
2d_grouped_augmentation_no_sampler,1,8,0.2921,0.9739,0.9558,0.4817
2d_grouped_augmentation_no_sampler,1,9,0.287,0.9743,0.9568,0.4796
2d_grouped_augmentation_no_sampler,1,10,0.2817,0.9749,0.9577,0.4915
2d_grouped_augmentation_no_sampler,1,11,0.2759,0.9754,0.9581,0.497
2d_grouped_augmentation_no_sampler,1,12,0.2722,0.9757,0.9567,0.4896
2d_grouped_augmentation_no_sampler,1,13,0.2667,0.9764,0.9533,0.4993
2d_grouped_augmentation_no_sampler,1,14,0.2659,0.9764,0.9563,0.4853
2d_grouped_augmentation_no_sampler,1,15,0.263,0.9766,0.9583,0.5049
2d_grouped_augmentation_no_sampler,1,16,0.2604,0.977,0.9563,0.4974
2d_grouped_augmentation_no_sampler,1,17,0.2576,0.9772,0.9574,0.4962
2d_grouped_augmentation_no_sampler,1,18,0.2551,0.9776,0.9598,0.4934
2d_grouped_augmentation_no_sampler,1,19,0.2525,0.9778,0.9565,0.5043
2d_grouped_augmentation_no_sampler,1,20,0.25,0.978,0.9571,0.5048
2d_grouped_augmentation_no_sampler,2,1,0.5072,0.9336,0.9511,0.4315
2d_grouped_augmentation_no_sampler,2,2,0.4055,0.961,0.9521,0.4503
2d_grouped_augmentation_no_sampler,2,3,0.3616,0.9667,0.952,0.4672
2d_grouped_augmentation_no_sampler,2,4,0.3392,0.9691,0.9505,0.4616
2d_grouped_augmentation_no_sampler,2,5,0.3221,0.9707,0.9534,0.4801
2d_grouped_augmentation_no_sampler,2,6,0.3114,0.972,0.9549,0.4887
2d_grouped_augmentation_no_sampler,2,7,0.3016,0.9731,0.9532,0.475
2d_grouped_augmentation_no_sampler,2,8,0.2955,0.9737,0.9557,0.4952
2d_grouped_augmentation_no_sampler,2,9,0.2877,0.9743,0.9545,0.4834
2d_grouped_augmentation_no_sampler,2,10,0.2826,0.9747,0.9556,0.4876
2d_grouped_augmentation_no_sampler,2,11,0.2793,0.9751,0.9575,0.498
2d_grouped_augmentation_no_sampler,2,12,0.2747,0.9756,0.9565,0.4969
2d_grouped_augmentation_no_sampler,2,13,0.2692,0.9761,0.9561,0.4986
2d_grouped_augmentation_no_sampler,2,14,0.2663,0.9763,0.956,0.4927
2d_grouped_augmentation_no_sampler,2,15,0.2645,0.9765,0.9552,0.4984
2d_grouped_augmentation_no_sampler,2,16,0.261,0.977,0.9548,0.4926
2d_grouped_augmentation_no_sampler,2,17,0.2591,0.9771,0.9551,0.4899
2d_grouped_augmentation_no_sampler,2,18,0.2569,0.9773,0.9566,0.5016
2d_grouped_augmentation_no_sampler,2,19,0.2543,0.9776,0.9574,0.5039
2d_grouped_augmentation_no_sampler,2,20,0.2522,0.9778,0.9555,0.4965
2d_grouped_augmentation_no_sampler,2,21,0.2504,0.978,0.9573,0.5029
2d_grouped_augmentation_no_sampler,2,22,0.2485,0.9782,0.9562,0.4973
2d_grouped_augmentation_no_sampler,2,23,0.2489,0.9782,0.9569,0.5097
2d_grouped_augmentation_no_sampler,2,24,0.2464,0.9784,0.9562,0.5068
2d_grouped_augmentation_no_sampler,2,25,0.246,0.9783,0.9551,0.5055
2d_grouped_augmentation_no_sampler,2,26,0.2451,0.9785,0.954,0.4978
2d_grouped_augmentation_no_sampler,2,27,0.2417,0.9789,0.9579,0.5107
2d_grouped_augmentation_no_sampler,2,28,0.2407,0.9788,0.9582,0.5153
2d_grouped_augmentation_no_sampler,2,29,0.2397,0.979,0.9562,0.5126
2d_grouped_augmentation_no_sampler,2,30,0.2396,0.979,0.9582,0.5131
2d_grouped_augmentation_no_sampler,2,31,0.2378,0.9792,0.9563,0.5121
2d_grouped_augmentation_no_sampler,2,32,0.2376,0.9792,0.9559,0.5107
2d_grouped_augmentation_no_sampler,2,33,0.237,0.9792,0.956,0.5054
2d_grouped_augmentation_no_sampler,3,1,0.5167,0.9329,0.9316,0.4589
2d_grouped_augmentation_no_sampler,3,2,0.4112,0.962,0.9428,0.5071
2d_grouped_augmentation_no_sampler,3,3,0.3674,0.9675,0.9463,0.5145
2d_grouped_augmentation_no_sampler,3,4,0.3443,0.9701,0.9494,0.5316
2d_grouped_augmentation_no_sampler,3,5,0.3266,0.9719,0.9506,0.5565
2d_grouped_augmentation_no_sampler,3,6,0.3151,0.9731,0.9503,0.5538
2d_grouped_augmentation_no_sampler,3,7,0.3062,0.9739,0.9487,0.5491
2d_grouped_augmentation_no_sampler,3,8,0.2984,0.9746,0.9522,0.5587
2d_grouped_augmentation_no_sampler,3,9,0.2926,0.9754,0.9509,0.5542
2d_grouped_augmentation_no_sampler,3,10,0.2849,0.9761,0.9512,0.5645
2d_grouped_augmentation_no_sampler,3,11,0.2819,0.9763,0.9509,0.5701
2d_grouped_augmentation_no_sampler,3,12,0.2759,0.9768,0.9488,0.5554
2d_grouped_augmentation_no_sampler,3,13,0.2739,0.9769,0.9521,0.5582
2d_grouped_augmentation_no_sampler,3,14,0.2719,0.9773,0.9517,0.5581
2d_grouped_augmentation_no_sampler,3,15,0.2675,0.9777,0.9522,0.5712
2d_grouped_augmentation_no_sampler,3,16,0.2651,0.9779,0.9556,0.5805
2d_grouped_augmentation_no_sampler,3,17,0.262,0.978,0.954,0.5617
2d_grouped_augmentation_no_sampler,3,18,0.2598,0.9784,0.9535,0.5758
2d_grouped_augmentation_no_sampler,3,19,0.258,0.9785,0.9545,0.5796
2d_grouped_augmentation_no_sampler,3,20,0.2565,0.9786,0.9523,0.5723
2d_grouped_augmentation_no_sampler,3,21,0.2544,0.9787,0.952,0.5685
2d_grouped_augmentation_no_sampler,4,1,0.5182,0.9357,0.9385,0.4971
2d_grouped_augmentation_no_sampler,4,2,0.4102,0.9636,0.9442,0.5061
2d_grouped_augmentation_no_sampler,4,3,0.3682,0.9686,0.9488,0.5338
2d_grouped_augmentation_no_sampler,4,4,0.3449,0.9711,0.9486,0.5347
2d_grouped_augmentation_no_sampler,4,5,0.3291,0.9726,0.949,0.534
2d_grouped_augmentation_no_sampler,4,6,0.3175,0.9736,0.9493,0.5578
2d_grouped_augmentation_no_sampler,4,7,0.3091,0.9744,0.9474,0.5458
2d_grouped_augmentation_no_sampler,4,8,0.2999,0.9753,0.9503,0.5588
2d_grouped_augmentation_no_sampler,4,9,0.2957,0.9757,0.9502,0.5674
2d_grouped_augmentation_no_sampler,4,10,0.2889,0.9762,0.9529,0.5674
2d_grouped_augmentation_no_sampler,4,11,0.2836,0.9769,0.9506,0.5708
2d_grouped_augmentation_no_sampler,4,12,0.2801,0.977,0.9532,0.5611
2d_grouped_augmentation_no_sampler,4,13,0.2754,0.9775,0.9532,0.5798
2d_grouped_augmentation_no_sampler,4,14,0.2725,0.9778,0.9524,0.5777
2d_grouped_augmentation_no_sampler,4,15,0.2691,0.978,0.9518,0.5678
2d_grouped_augmentation_no_sampler,4,16,0.2664,0.9783,0.9526,0.5716
2d_grouped_augmentation_no_sampler,4,17,0.2651,0.9785,0.9523,0.572
2d_grouped_augmentation_no_sampler,4,18,0.2623,0.9786,0.9536,0.5813
