config_id,fold,epoch,train_loss,train_acc,val_acc,f1_score
2d_grouped_muster,0,1,0.5287,0.9238,0.9349,0.5061
2d_grouped_muster,0,2,0.4128,0.9609,0.9375,0.5279
2d_grouped_muster,0,3,0.3698,0.9662,0.9355,0.5363
2d_grouped_muster,0,4,0.3474,0.9688,0.9376,0.5202
2d_grouped_muster,0,5,0.331,0.9705,0.9367,0.5326
2d_grouped_muster,0,6,0.3191,0.9716,0.9351,0.5309
2d_grouped_muster,0,7,0.3091,0.9726,0.9382,0.5364
2d_grouped_muster,0,8,0.3019,0.9734,0.939,0.5409
2d_grouped_muster,0,9,0.2955,0.9739,0.9385,0.5368
2d_grouped_muster,0,10,0.2903,0.9745,0.9418,0.5498
2d_grouped_muster,0,11,0.2862,0.9748,0.9401,0.5544
2d_grouped_muster,0,12,0.2821,0.9754,0.9402,0.5504
2d_grouped_muster,0,13,0.2785,0.9756,0.9422,0.562
2d_grouped_muster,0,14,0.2763,0.9757,0.94,0.556
2d_grouped_muster,0,15,0.2725,0.9762,0.9407,0.5536
2d_grouped_muster,0,16,0.2695,0.9764,0.9425,0.5574
2d_grouped_muster,0,17,0.2679,0.9766,0.9426,0.5653
2d_grouped_muster,0,18,0.2665,0.9766,0.9438,0.5598
2d_grouped_muster,0,19,0.2641,0.9768,0.9391,0.5497
2d_grouped_muster,0,20,0.262,0.9771,0.941,0.5512
2d_grouped_muster,0,21,0.2615,0.9772,0.942,0.5583
2d_grouped_muster,0,22,0.2586,0.9773,0.9397,0.5401
2d_grouped_muster,1,1,0.5106,0.9253,0.952,0.4575
2d_grouped_muster,1,2,0.395,0.9591,0.9522,0.4821
2d_grouped_muster,1,3,0.3536,0.9644,0.9501,0.4958
2d_grouped_muster,1,4,0.3302,0.9674,0.956,0.5152
2d_grouped_muster,1,5,0.3148,0.9691,0.9521,0.5059
2d_grouped_muster,1,6,0.3027,0.9702,0.957,0.5214
2d_grouped_muster,1,7,0.295,0.9711,0.9605,0.5311
2d_grouped_muster,1,8,0.2873,0.972,0.9578,0.532
2d_grouped_muster,1,9,0.2802,0.9727,0.9624,0.5344
2d_grouped_muster,1,10,0.2755,0.9732,0.959,0.5386
2d_grouped_muster,1,11,0.2722,0.9735,0.9581,0.5299
2d_grouped_muster,1,12,0.2674,0.974,0.9572,0.5343
2d_grouped_muster,1,13,0.2648,0.9742,0.9593,0.5431
2d_grouped_muster,1,14,0.2616,0.9746,0.9612,0.5536
2d_grouped_muster,1,15,0.258,0.9749,0.9587,0.5365
2d_grouped_muster,1,16,0.2574,0.975,0.9606,0.5495
2d_grouped_muster,1,17,0.2541,0.9754,0.9604,0.5504
2d_grouped_muster,1,18,0.252,0.9756,0.9593,0.5451
2d_grouped_muster,1,19,0.2507,0.9756,0.961,0.5518
2d_grouped_muster,2,1,0.5139,0.9224,0.9451,0.4726
2d_grouped_muster,2,2,0.3985,0.9591,0.9505,0.4993
2d_grouped_muster,2,3,0.3577,0.9644,0.956,0.5238
2d_grouped_muster,2,4,0.3347,0.9668,0.9566,0.5228
2d_grouped_muster,2,5,0.3185,0.9688,0.9578,0.528
2d_grouped_muster,2,6,0.3062,0.9701,0.9577,0.5379
2d_grouped_muster,2,7,0.2971,0.971,0.9554,0.5254
2d_grouped_muster,2,8,0.2898,0.9718,0.9592,0.5459
2d_grouped_muster,2,9,0.2843,0.9724,0.9539,0.5216
2d_grouped_muster,2,10,0.2787,0.973,0.9563,0.5347
2d_grouped_muster,2,11,0.2749,0.9734,0.9582,0.5412
2d_grouped_muster,2,12,0.2706,0.9738,0.9557,0.5364
2d_grouped_muster,2,13,0.2666,0.9742,0.9589,0.547
2d_grouped_muster,2,14,0.2634,0.9746,0.954,0.5308
2d_grouped_muster,2,15,0.2609,0.9748,0.9583,0.5447
2d_grouped_muster,2,16,0.2594,0.975,0.9579,0.5443
2d_grouped_muster,2,17,0.2569,0.9751,0.9553,0.527
2d_grouped_muster,2,18,0.2551,0.9753,0.9575,0.5462
2d_grouped_muster,3,1,0.5188,0.9242,0.9508,0.5201
2d_grouped_muster,3,2,0.4048,0.9599,0.9481,0.5389
2d_grouped_muster,3,3,0.3622,0.9652,0.9454,0.5393
2d_grouped_muster,3,4,0.3388,0.968,0.9474,0.5503
2d_grouped_muster,3,5,0.3235,0.9696,0.9411,0.533
2d_grouped_muster,3,6,0.3119,0.971,0.9476,0.5618
2d_grouped_muster,3,7,0.3019,0.972,0.9479,0.5592
2d_grouped_muster,3,8,0.2948,0.9725,0.9499,0.584
2d_grouped_muster,3,9,0.2888,0.9734,0.9471,0.5651
2d_grouped_muster,3,10,0.2851,0.9737,0.9463,0.566
2d_grouped_muster,3,11,0.2803,0.974,0.9476,0.5628
2d_grouped_muster,3,12,0.2764,0.9744,0.9509,0.5667
2d_grouped_muster,3,13,0.2718,0.975,0.9514,0.5794
2d_grouped_muster,4,1,0.5213,0.9246,0.9431,0.5463
2d_grouped_muster,4,2,0.404,0.9612,0.9493,0.5764
2d_grouped_muster,4,3,0.3621,0.9663,0.9468,0.5821
2d_grouped_muster,4,4,0.3391,0.9686,0.9533,0.5947
2d_grouped_muster,4,5,0.3243,0.9702,0.9475,0.5838
2d_grouped_muster,4,6,0.3131,0.9714,0.9495,0.5992
2d_grouped_muster,4,7,0.3036,0.9724,0.9522,0.6034
2d_grouped_muster,4,8,0.2951,0.9731,0.9509,0.6034
2d_grouped_muster,4,9,0.2908,0.9735,0.9524,0.6033
2d_grouped_muster,4,10,0.2844,0.9742,0.9523,0.6144
2d_grouped_muster,4,11,0.2799,0.9745,0.9524,0.6182
2d_grouped_muster,4,12,0.2759,0.975,0.9532,0.6115
2d_grouped_muster,4,13,0.2732,0.9752,0.9546,0.6077
2d_grouped_muster,4,14,0.2697,0.9755,0.9524,0.6099
2d_grouped_muster,4,15,0.2682,0.9756,0.9519,0.6128
2d_grouped_muster,4,16,0.2659,0.9758,0.9522,0.6105
