config_id,fold,epoch,train_loss,train_acc,val_acc,f1_score
2d_grouped_muster_augmentation,0,1,0.2464,0.7828,0.7594,0.3217
2d_grouped_muster_augmentation,0,2,0.1849,0.8539,0.7559,0.3188
2d_grouped_muster_augmentation,0,3,0.165,0.8729,0.7765,0.3367
2d_grouped_muster_augmentation,0,4,0.1542,0.8824,0.8108,0.3681
2d_grouped_muster_augmentation,0,5,0.1467,0.8896,0.8134,0.3703
2d_grouped_muster_augmentation,0,6,0.1418,0.8933,0.8185,0.3759
2d_grouped_muster_augmentation,0,7,0.1378,0.8972,0.8231,0.3809
2d_grouped_muster_augmentation,0,8,0.1345,0.8998,0.8021,0.3591
2d_grouped_muster_augmentation,0,9,0.1319,0.9021,0.815,0.3734
2d_grouped_muster_augmentation,0,10,0.13,0.9037,0.8071,0.3651
2d_grouped_muster_augmentation,0,11,0.128,0.9054,0.8157,0.3747
2d_grouped_muster_augmentation,0,12,0.1268,0.9065,0.8186,0.3771
2d_grouped_muster_augmentation,1,1,0.2413,0.7889,0.7644,0.2444
2d_grouped_muster_augmentation,1,2,0.1813,0.8576,0.7632,0.2464
2d_grouped_muster_augmentation,1,3,0.1618,0.8759,0.8025,0.2752
2d_grouped_muster_augmentation,1,4,0.1515,0.8851,0.8256,0.2964
2d_grouped_muster_augmentation,1,5,0.1445,0.8913,0.8309,0.2998
2d_grouped_muster_augmentation,1,6,0.1392,0.8958,0.8128,0.2852
2d_grouped_muster_augmentation,1,7,0.1357,0.8988,0.828,0.3
2d_grouped_muster_augmentation,1,8,0.1326,0.9014,0.8224,0.2938
2d_grouped_muster_augmentation,1,9,0.1299,0.9038,0.8385,0.3089
2d_grouped_muster_augmentation,1,10,0.1281,0.9052,0.8292,0.2999
2d_grouped_muster_augmentation,1,11,0.1264,0.9069,0.8217,0.2948
2d_grouped_muster_augmentation,1,12,0.1249,0.9082,0.8391,0.3103
2d_grouped_muster_augmentation,1,13,0.1237,0.9092,0.8361,0.3079
2d_grouped_muster_augmentation,1,14,0.1224,0.9103,0.8357,0.3084
2d_grouped_muster_augmentation,1,15,0.1213,0.9112,0.8281,0.2987
2d_grouped_muster_augmentation,1,16,0.1205,0.9119,0.8397,0.3118
2d_grouped_muster_augmentation,1,17,0.12,0.9122,0.8357,0.3077
2d_grouped_muster_augmentation,1,18,0.1188,0.9133,0.8433,0.3173
2d_grouped_muster_augmentation,1,19,0.1184,0.9137,0.8317,0.3032
2d_grouped_muster_augmentation,1,20,0.1176,0.9143,0.8537,0.3278
2d_grouped_muster_augmentation,1,21,0.1171,0.9149,0.8373,0.3088
2d_grouped_muster_augmentation,1,22,0.1164,0.9153,0.8488,0.3216
2d_grouped_muster_augmentation,1,23,0.1158,0.916,0.8396,0.3133
2d_grouped_muster_augmentation,1,24,0.1152,0.9162,0.8354,0.3095
2d_grouped_muster_augmentation,1,25,0.1152,0.9166,0.8396,0.3132
2d_grouped_muster_augmentation,2,1,0.2412,0.7875,0.7658,0.2412
2d_grouped_muster_augmentation,2,2,0.1812,0.8571,0.7642,0.2432
2d_grouped_muster_augmentation,2,3,0.1623,0.8749,0.7889,0.262
2d_grouped_muster_augmentation,2,4,0.1517,0.8844,0.8086,0.2774
2d_grouped_muster_augmentation,2,5,0.1447,0.8906,0.7943,0.2654
2d_grouped_muster_augmentation,2,6,0.1401,0.8946,0.8114,0.2811
2d_grouped_muster_augmentation,2,7,0.1359,0.898,0.8102,0.2802
2d_grouped_muster_augmentation,2,8,0.1329,0.9009,0.8194,0.2861
2d_grouped_muster_augmentation,2,9,0.1309,0.9027,0.8124,0.2827
2d_grouped_muster_augmentation,2,10,0.1284,0.9048,0.8197,0.2885
2d_grouped_muster_augmentation,2,11,0.1269,0.9061,0.8225,0.2905
2d_grouped_muster_augmentation,2,12,0.1254,0.9072,0.8248,0.295
2d_grouped_muster_augmentation,2,13,0.1241,0.9086,0.8231,0.2917
2d_grouped_muster_augmentation,2,14,0.1228,0.9096,0.8342,0.304
2d_grouped_muster_augmentation,2,15,0.1219,0.9103,0.8278,0.299
2d_grouped_muster_augmentation,2,16,0.1209,0.9111,0.805,0.2778
2d_grouped_muster_augmentation,2,17,0.1199,0.9121,0.8283,0.2982
2d_grouped_muster_augmentation,2,18,0.1193,0.9127,0.8241,0.2937
2d_grouped_muster_augmentation,2,19,0.1186,0.9133,0.8299,0.2989
2d_grouped_muster_augmentation,3,1,0.2446,0.7858,0.7136,0.2742
2d_grouped_muster_augmentation,3,2,0.1839,0.8553,0.7556,0.3027
2d_grouped_muster_augmentation,3,3,0.1646,0.8733,0.781,0.3262
2d_grouped_muster_augmentation,3,4,0.1537,0.8834,0.8001,0.3424
2d_grouped_muster_augmentation,3,5,0.1468,0.8893,0.7869,0.3307
2d_grouped_muster_augmentation,3,6,0.1413,0.8941,0.7845,0.3251
