config_id,fold,epoch,train_loss,train_acc,val_acc,f1_score
AdamW_lr1e-04_bs512,0,1,0.5907,0.8638,0.9018,0.383
AdamW_lr1e-04_bs512,0,2,0.5126,0.9416,0.9139,0.4161
AdamW_lr1e-04_bs512,0,3,0.4752,0.9502,0.9212,0.4418
AdamW_lr1e-04_bs512,0,4,0.4521,0.9544,0.9269,0.4564
AdamW_lr1e-04_bs512,0,5,0.4336,0.9573,0.9243,0.4715
AdamW_lr1e-04_bs512,0,6,0.4195,0.9592,0.9297,0.4808
AdamW_lr1e-04_bs512,0,7,0.4063,0.9608,0.9314,0.4863
AdamW_lr1e-04_bs512,0,8,0.3972,0.962,0.9316,0.4964
AdamW_lr1e-04_bs512,0,9,0.3878,0.9629,0.9328,0.5019
AdamW_lr1e-04_bs512,0,10,0.3808,0.9637,0.932,0.5022
AdamW_lr1e-04_bs512,0,11,0.374,0.9645,0.9314,0.5044
AdamW_lr1e-04_bs512,0,12,0.3687,0.9652,0.9327,0.5118
AdamW_lr1e-04_bs512,0,13,0.3641,0.9656,0.934,0.5177
AdamW_lr1e-04_bs512,0,14,0.3587,0.9661,0.9352,0.5178
AdamW_lr1e-04_bs512,0,15,0.3537,0.9668,0.9345,0.5286
AdamW_lr1e-04_bs512,0,16,0.352,0.967,0.9358,0.5263
AdamW_lr1e-04_bs512,0,17,0.3469,0.9675,0.9338,0.5279
AdamW_lr1e-04_bs512,0,18,0.345,0.9676,0.9353,0.5284
AdamW_lr1e-04_bs512,0,19,0.3409,0.9681,0.9327,0.5269
AdamW_lr1e-04_bs512,0,20,0.3387,0.9683,0.9348,0.532
AdamW_lr1e-04_bs512,0,21,0.3354,0.9687,0.9351,0.5308
AdamW_lr1e-04_bs512,0,22,0.3335,0.9689,0.9346,0.5304
AdamW_lr1e-04_bs512,0,23,0.3312,0.9691,0.9357,0.5322
AdamW_lr1e-04_bs512,0,24,0.3287,0.9695,0.9339,0.5321
AdamW_lr1e-04_bs512,0,25,0.327,0.9696,0.9337,0.5303
AdamW_lr1e-04_bs512,0,26,0.3245,0.9698,0.9338,0.5317
AdamW_lr1e-04_bs512,0,27,0.3231,0.97,0.9313,0.5257
AdamW_lr1e-04_bs512,0,28,0.3225,0.9701,0.9363,0.5353
AdamW_lr1e-04_bs512,0,29,0.3204,0.9701,0.9333,0.5329
AdamW_lr1e-04_bs512,0,30,0.3177,0.9704,0.9349,0.5349
AdamW_lr1e-04_bs512,0,31,0.3166,0.9706,0.936,0.5383
AdamW_lr1e-04_bs512,0,32,0.3159,0.9707,0.9321,0.5297
AdamW_lr1e-04_bs512,0,33,0.3141,0.9709,0.9348,0.5342
AdamW_lr1e-04_bs512,0,34,0.313,0.971,0.9341,0.5339
AdamW_lr1e-04_bs512,0,35,0.3113,0.971,0.9337,0.5335
AdamW_lr1e-04_bs512,0,36,0.3109,0.9711,0.934,0.5341
AdamW_lr1e-04_bs512,1,1,0.5786,0.8645,0.9112,0.3318
AdamW_lr1e-04_bs512,1,2,0.497,0.9382,0.9369,0.4009
AdamW_lr1e-04_bs512,1,3,0.4602,0.947,0.9386,0.4269
AdamW_lr1e-04_bs512,1,4,0.4373,0.9516,0.9438,0.4447
AdamW_lr1e-04_bs512,1,5,0.4202,0.954,0.9497,0.4665
AdamW_lr1e-04_bs512,1,6,0.4052,0.9564,0.9499,0.4693
AdamW_lr1e-04_bs512,1,7,0.3941,0.9579,0.9501,0.4705
AdamW_lr1e-04_bs512,1,8,0.3844,0.9589,0.953,0.486
AdamW_lr1e-04_bs512,1,9,0.3761,0.9601,0.9518,0.4851
AdamW_lr1e-04_bs512,1,10,0.368,0.9613,0.9524,0.4919
AdamW_lr1e-04_bs512,1,11,0.362,0.962,0.953,0.5005
AdamW_lr1e-04_bs512,1,12,0.357,0.9626,0.9529,0.4982
AdamW_lr1e-04_bs512,1,13,0.3522,0.9633,0.9535,0.5019
AdamW_lr1e-04_bs512,1,14,0.3483,0.9637,0.9537,0.5064
AdamW_lr1e-04_bs512,1,15,0.3433,0.9642,0.9552,0.5124
AdamW_lr1e-04_bs512,1,16,0.3399,0.9646,0.9518,0.5059
AdamW_lr1e-04_bs512,1,17,0.337,0.9649,0.9524,0.5146
AdamW_lr1e-04_bs512,1,18,0.3331,0.9653,0.9552,0.5206
AdamW_lr1e-04_bs512,1,19,0.3299,0.9657,0.9536,0.5198
AdamW_lr1e-04_bs512,1,20,0.327,0.966,0.9552,0.5215
AdamW_lr1e-04_bs512,1,21,0.3252,0.9661,0.9541,0.5232
AdamW_lr1e-04_bs512,1,22,0.3224,0.9665,0.9528,0.5158
AdamW_lr1e-04_bs512,1,23,0.3202,0.9667,0.9556,0.533
AdamW_lr1e-04_bs512,1,24,0.3176,0.9671,0.9527,0.5236
AdamW_lr1e-04_bs512,1,25,0.3153,0.9674,0.9551,0.5295
AdamW_lr1e-04_bs512,1,26,0.3144,0.9673,0.9562,0.532
AdamW_lr1e-04_bs512,1,27,0.3115,0.9678,0.9541,0.5238
AdamW_lr1e-04_bs512,1,28,0.3102,0.9679,0.955,0.5333
AdamW_lr1e-04_bs512,1,29,0.3084,0.968,0.9541,0.5256
AdamW_lr1e-04_bs512,1,30,0.3061,0.9683,0.9544,0.5301
AdamW_lr1e-04_bs512,1,31,0.3056,0.9684,0.9538,0.5259
AdamW_lr1e-04_bs512,1,32,0.3034,0.9687,0.9539,0.5293
AdamW_lr1e-04_bs512,1,33,0.3018,0.9686,0.9543,0.5272
AdamW_lr1e-04_bs512,2,1,0.5824,0.857,0.9191,0.3493
AdamW_lr1e-04_bs512,2,2,0.5012,0.937,0.9364,0.4077
AdamW_lr1e-04_bs512,2,3,0.4646,0.9466,0.942,0.4337
AdamW_lr1e-04_bs512,2,4,0.4414,0.9511,0.9463,0.4533
AdamW_lr1e-04_bs512,2,5,0.4224,0.9542,0.9475,0.4611
AdamW_lr1e-04_bs512,2,6,0.4088,0.9561,0.9512,0.4764
AdamW_lr1e-04_bs512,2,7,0.3963,0.9581,0.9537,0.4896
AdamW_lr1e-04_bs512,2,8,0.3855,0.9594,0.9536,0.4919
AdamW_lr1e-04_bs512,2,9,0.3777,0.9603,0.9512,0.4884
AdamW_lr1e-04_bs512,2,10,0.3706,0.9614,0.9538,0.5
AdamW_lr1e-04_bs512,2,11,0.3636,0.9621,0.9526,0.4992
AdamW_lr1e-04_bs512,2,12,0.3579,0.9628,0.9542,0.5067
AdamW_lr1e-04_bs512,2,13,0.3529,0.9634,0.952,0.5007
AdamW_lr1e-04_bs512,2,14,0.3489,0.9639,0.9511,0.4988
AdamW_lr1e-04_bs512,2,15,0.3444,0.9643,0.9526,0.5059
AdamW_lr1e-04_bs512,2,16,0.3407,0.9649,0.954,0.5083
AdamW_lr1e-04_bs512,2,17,0.3358,0.9653,0.9559,0.5164
AdamW_lr1e-04_bs512,2,18,0.333,0.9657,0.9522,0.5064
AdamW_lr1e-04_bs512,2,19,0.3317,0.9657,0.9541,0.5145
AdamW_lr1e-04_bs512,2,20,0.329,0.966,0.9534,0.514
AdamW_lr1e-04_bs512,2,21,0.3256,0.9666,0.9535,0.5098
AdamW_lr1e-04_bs512,2,22,0.3226,0.9668,0.9534,0.5097
AdamW_lr1e-04_bs512,3,1,0.5888,0.8485,0.9173,0.4351
AdamW_lr1e-04_bs512,3,2,0.5059,0.9381,0.9357,0.5037
AdamW_lr1e-04_bs512,3,3,0.468,0.9482,0.9376,0.5117
AdamW_lr1e-04_bs512,3,4,0.4427,0.9532,0.9434,0.5297
AdamW_lr1e-04_bs512,3,5,0.4254,0.9562,0.9438,0.5295
AdamW_lr1e-04_bs512,3,6,0.4112,0.958,0.9456,0.5323
AdamW_lr1e-04_bs512,3,7,0.4003,0.9595,0.9462,0.5453
AdamW_lr1e-04_bs512,3,8,0.3902,0.9608,0.9482,0.5486
AdamW_lr1e-04_bs512,3,9,0.382,0.9618,0.9462,0.5506
AdamW_lr1e-04_bs512,3,10,0.3745,0.9627,0.9475,0.5525
AdamW_lr1e-04_bs512,3,11,0.3685,0.9634,0.9443,0.5463
AdamW_lr1e-04_bs512,3,12,0.3616,0.9639,0.9472,0.5561
AdamW_lr1e-04_bs512,3,13,0.3574,0.9647,0.9459,0.5489
AdamW_lr1e-04_bs512,3,14,0.3514,0.9652,0.9461,0.5569
AdamW_lr1e-04_bs512,3,15,0.3482,0.9655,0.9465,0.5559
AdamW_lr1e-04_bs512,3,16,0.3443,0.9661,0.9448,0.5544
AdamW_lr1e-04_bs512,3,17,0.3403,0.9664,0.9481,0.5694
AdamW_lr1e-04_bs512,3,18,0.3369,0.9668,0.947,0.5653
AdamW_lr1e-04_bs512,3,19,0.3348,0.967,0.9468,0.5588
AdamW_lr1e-04_bs512,3,20,0.3311,0.9674,0.9468,0.569
AdamW_lr1e-04_bs512,3,21,0.3282,0.9677,0.9466,0.5652
AdamW_lr1e-04_bs512,3,22,0.3266,0.9677,0.9454,0.5646
AdamW_lr1e-04_bs512,4,1,0.5912,0.8581,0.9144,0.4381
AdamW_lr1e-04_bs512,4,2,0.5108,0.9398,0.9304,0.4876
AdamW_lr1e-04_bs512,4,3,0.4735,0.9493,0.9372,0.5154
AdamW_lr1e-04_bs512,4,4,0.4486,0.9539,0.9444,0.5394
AdamW_lr1e-04_bs512,4,5,0.4301,0.9569,0.9469,0.5526
AdamW_lr1e-04_bs512,4,6,0.4162,0.9592,0.9467,0.5505
AdamW_lr1e-04_bs512,4,7,0.4053,0.9605,0.948,0.5625
AdamW_lr1e-04_bs512,4,8,0.3958,0.9617,0.9448,0.5561
AdamW_lr1e-04_bs512,4,9,0.3867,0.963,0.9483,0.5664
AdamW_lr1e-04_bs512,4,10,0.3812,0.9635,0.9506,0.5759
AdamW_lr1e-04_bs512,4,11,0.3739,0.9642,0.9467,0.5662
AdamW_lr1e-04_bs512,4,12,0.3688,0.9649,0.951,0.5748
AdamW_lr1e-04_bs512,4,13,0.3627,0.9654,0.9493,0.5765
AdamW_lr1e-04_bs512,4,14,0.3589,0.9658,0.9497,0.5743
AdamW_lr1e-04_bs512,4,15,0.3533,0.9665,0.949,0.5758
AdamW_lr1e-04_bs512,4,16,0.3488,0.9668,0.948,0.574
AdamW_lr1e-04_bs512,4,17,0.3459,0.9671,0.9478,0.5733
AdamW_lr1e-04_bs512,4,18,0.3436,0.9674,0.9484,0.5755
