config_id,fold,epoch,train_loss,train_acc,val_acc,f1_score
Adam_lr1e-03_bs512,0,1,0.5956,0.8613,0.9091,0.3883
Adam_lr1e-03_bs512,0,2,0.5173,0.9397,0.9205,0.4239
Adam_lr1e-03_bs512,0,3,0.4798,0.9492,0.9234,0.4503
Adam_lr1e-03_bs512,0,4,0.4555,0.9536,0.9273,0.462
Adam_lr1e-03_bs512,0,5,0.4371,0.9565,0.9308,0.4779
Adam_lr1e-03_bs512,0,6,0.4225,0.9586,0.9309,0.4873
Adam_lr1e-03_bs512,0,7,0.4104,0.9603,0.9319,0.4898
Adam_lr1e-03_bs512,0,8,0.4009,0.9616,0.9333,0.5001
Adam_lr1e-03_bs512,0,9,0.3925,0.9626,0.9336,0.5043
Adam_lr1e-03_bs512,0,10,0.3846,0.9635,0.933,0.5065
Adam_lr1e-03_bs512,0,11,0.3785,0.9642,0.9331,0.5135
Adam_lr1e-03_bs512,0,12,0.3734,0.9648,0.932,0.5112
Adam_lr1e-03_bs512,0,13,0.3676,0.9655,0.9342,0.5165
Adam_lr1e-03_bs512,0,14,0.3629,0.966,0.9339,0.5173
Adam_lr1e-03_bs512,0,15,0.3583,0.9665,0.9343,0.5208
Adam_lr1e-03_bs512,0,16,0.3548,0.9668,0.9349,0.5211
Adam_lr1e-03_bs512,0,17,0.3506,0.9672,0.9353,0.524
Adam_lr1e-03_bs512,0,18,0.3477,0.9674,0.9351,0.5213
Adam_lr1e-03_bs512,0,19,0.3453,0.9678,0.9341,0.5222
Adam_lr1e-03_bs512,0,20,0.3422,0.968,0.9331,0.5203
Adam_lr1e-03_bs512,0,21,0.3392,0.9685,0.9343,0.5229
Adam_lr1e-03_bs512,0,22,0.336,0.9687,0.9337,0.525
Adam_lr1e-03_bs512,0,23,0.3343,0.9689,0.9342,0.5282
Adam_lr1e-03_bs512,0,24,0.3316,0.9691,0.9346,0.5243
Adam_lr1e-03_bs512,0,25,0.3292,0.9694,0.9338,0.5255
Adam_lr1e-03_bs512,0,26,0.3275,0.9696,0.933,0.5254
Adam_lr1e-03_bs512,0,27,0.3257,0.9697,0.9351,0.535
Adam_lr1e-03_bs512,0,28,0.3236,0.9698,0.9347,0.527
Adam_lr1e-03_bs512,0,29,0.3232,0.9699,0.9348,0.5333
Adam_lr1e-03_bs512,0,30,0.3219,0.9701,0.9346,0.5266
Adam_lr1e-03_bs512,0,31,0.3201,0.9702,0.9341,0.5317
Adam_lr1e-03_bs512,0,32,0.3178,0.9704,0.9339,0.5341
Adam_lr1e-03_bs512,1,1,0.5812,0.8602,0.9147,0.3315
Adam_lr1e-03_bs512,1,2,0.4971,0.9378,0.9337,0.4075
Adam_lr1e-03_bs512,1,3,0.4609,0.9471,0.9457,0.4319
Adam_lr1e-03_bs512,1,4,0.4374,0.9517,0.9478,0.4517
Adam_lr1e-03_bs512,1,5,0.4199,0.9548,0.9475,0.4611
Adam_lr1e-03_bs512,1,6,0.4065,0.9568,0.9506,0.4763
Adam_lr1e-03_bs512,1,7,0.3951,0.9583,0.948,0.4806
Adam_lr1e-03_bs512,1,8,0.3854,0.9595,0.9499,0.485
Adam_lr1e-03_bs512,1,9,0.3788,0.9603,0.9525,0.4958
Adam_lr1e-03_bs512,1,10,0.3714,0.9614,0.9552,0.5076
Adam_lr1e-03_bs512,1,11,0.3661,0.9622,0.9527,0.5089
Adam_lr1e-03_bs512,1,12,0.3601,0.9627,0.9543,0.514
Adam_lr1e-03_bs512,1,13,0.3544,0.9633,0.9509,0.5001
Adam_lr1e-03_bs512,1,14,0.3498,0.9638,0.9545,0.5147
Adam_lr1e-03_bs512,1,15,0.3459,0.9643,0.955,0.5193
Adam_lr1e-03_bs512,1,16,0.3422,0.9646,0.9529,0.517
Adam_lr1e-03_bs512,1,17,0.3382,0.9652,0.9545,0.5216
Adam_lr1e-03_bs512,1,18,0.3349,0.9654,0.954,0.5236
Adam_lr1e-03_bs512,1,19,0.3318,0.9655,0.9526,0.5153
Adam_lr1e-03_bs512,1,20,0.3285,0.966,0.9555,0.5262
Adam_lr1e-03_bs512,1,21,0.3258,0.9663,0.9553,0.5269
Adam_lr1e-03_bs512,1,22,0.3231,0.9668,0.9544,0.5253
Adam_lr1e-03_bs512,1,23,0.3209,0.9669,0.9527,0.519
Adam_lr1e-03_bs512,1,24,0.3184,0.9671,0.9549,0.5303
Adam_lr1e-03_bs512,1,25,0.3158,0.9673,0.9536,0.5247
Adam_lr1e-03_bs512,1,26,0.3148,0.9675,0.9529,0.522
Adam_lr1e-03_bs512,1,27,0.312,0.9678,0.9544,0.5256
Adam_lr1e-03_bs512,1,28,0.3122,0.9676,0.9557,0.5318
Adam_lr1e-03_bs512,1,29,0.3091,0.9681,0.954,0.5283
Adam_lr1e-03_bs512,1,30,0.3072,0.9683,0.954,0.5276
Adam_lr1e-03_bs512,1,31,0.3072,0.9683,0.9557,0.5328
Adam_lr1e-03_bs512,1,32,0.3047,0.9686,0.9543,0.5266
Adam_lr1e-03_bs512,1,33,0.3035,0.9687,0.9541,0.5257
Adam_lr1e-03_bs512,1,34,0.3022,0.9689,0.9541,0.5327
Adam_lr1e-03_bs512,1,35,0.3015,0.9688,0.9541,0.5307
Adam_lr1e-03_bs512,1,36,0.2992,0.9692,0.9542,0.5286
Adam_lr1e-03_bs512,2,1,0.5867,0.8448,0.9216,0.3664
Adam_lr1e-03_bs512,2,2,0.504,0.9354,0.9331,0.4033
Adam_lr1e-03_bs512,2,3,0.466,0.9461,0.9391,0.4298
Adam_lr1e-03_bs512,2,4,0.4413,0.9505,0.9457,0.4577
Adam_lr1e-03_bs512,2,5,0.4226,0.9539,0.9498,0.4725
Adam_lr1e-03_bs512,2,6,0.4081,0.9561,0.9498,0.4781
Adam_lr1e-03_bs512,2,7,0.3963,0.9578,0.9496,0.4824
Adam_lr1e-03_bs512,2,8,0.3874,0.959,0.9525,0.4938
Adam_lr1e-03_bs512,2,9,0.3791,0.9601,0.953,0.4941
Adam_lr1e-03_bs512,2,10,0.3713,0.9612,0.9524,0.4952
Adam_lr1e-03_bs512,2,11,0.3659,0.9617,0.953,0.4989
Adam_lr1e-03_bs512,2,12,0.3602,0.9624,0.9551,0.5059
Adam_lr1e-03_bs512,2,13,0.3557,0.9632,0.9538,0.5058
Adam_lr1e-03_bs512,2,14,0.3513,0.9636,0.9529,0.5021
Adam_lr1e-03_bs512,2,15,0.346,0.9641,0.9556,0.5139
Adam_lr1e-03_bs512,2,16,0.3426,0.9647,0.9547,0.5116
Adam_lr1e-03_bs512,2,17,0.3386,0.9649,0.9539,0.5091
Adam_lr1e-03_bs512,2,18,0.3364,0.9653,0.9538,0.5123
Adam_lr1e-03_bs512,2,19,0.3325,0.9659,0.9545,0.5145
Adam_lr1e-03_bs512,2,20,0.3303,0.9657,0.9546,0.512
Adam_lr1e-03_bs512,2,21,0.3284,0.9661,0.9527,0.5108
Adam_lr1e-03_bs512,2,22,0.3253,0.9664,0.9532,0.5135
Adam_lr1e-03_bs512,2,23,0.3232,0.9666,0.9538,0.5163
Adam_lr1e-03_bs512,2,24,0.3208,0.967,0.9537,0.5184
Adam_lr1e-03_bs512,2,25,0.3187,0.9672,0.9534,0.5134
Adam_lr1e-03_bs512,2,26,0.3178,0.9673,0.9545,0.5176
Adam_lr1e-03_bs512,2,27,0.3157,0.9675,0.9549,0.5186
Adam_lr1e-03_bs512,2,28,0.314,0.9676,0.9556,0.5207
Adam_lr1e-03_bs512,2,29,0.3122,0.9678,0.9535,0.5141
Adam_lr1e-03_bs512,2,30,0.3106,0.9681,0.9541,0.519
Adam_lr1e-03_bs512,2,31,0.31,0.9682,0.955,0.5205
Adam_lr1e-03_bs512,2,32,0.3085,0.9683,0.9532,0.5149
Adam_lr1e-03_bs512,2,33,0.3059,0.9686,0.9524,0.5134
Adam_lr1e-03_bs512,3,1,0.5893,0.8468,0.9175,0.4294
Adam_lr1e-03_bs512,3,2,0.5061,0.9374,0.9213,0.4574
Adam_lr1e-03_bs512,3,3,0.4688,0.9476,0.9326,0.4832
Adam_lr1e-03_bs512,3,4,0.4439,0.9527,0.941,0.5096
Adam_lr1e-03_bs512,3,5,0.4257,0.9556,0.9424,0.5146
Adam_lr1e-03_bs512,3,6,0.412,0.9577,0.9423,0.5242
Adam_lr1e-03_bs512,3,7,0.4008,0.9592,0.9429,0.5209
Adam_lr1e-03_bs512,3,8,0.3916,0.9604,0.9454,0.5366
Adam_lr1e-03_bs512,3,9,0.3821,0.9618,0.9467,0.5479
Adam_lr1e-03_bs512,3,10,0.3757,0.9625,0.9424,0.539
Adam_lr1e-03_bs512,3,11,0.3689,0.9632,0.9454,0.5322
Adam_lr1e-03_bs512,3,12,0.3642,0.9636,0.9444,0.5445
Adam_lr1e-03_bs512,3,13,0.3584,0.9645,0.9432,0.5367
Adam_lr1e-03_bs512,3,14,0.3542,0.9648,0.9445,0.5464
Adam_lr1e-03_bs512,4,1,0.5943,0.8537,0.9273,0.4531
Adam_lr1e-03_bs512,4,2,0.5144,0.9387,0.9325,0.4847
Adam_lr1e-03_bs512,4,3,0.4778,0.9486,0.9348,0.4999
Adam_lr1e-03_bs512,4,4,0.4528,0.9534,0.941,0.5235
Adam_lr1e-03_bs512,4,5,0.435,0.9563,0.9429,0.5358
Adam_lr1e-03_bs512,4,6,0.4211,0.9581,0.9422,0.5348
Adam_lr1e-03_bs512,4,7,0.4089,0.9598,0.9491,0.5562
Adam_lr1e-03_bs512,4,8,0.3993,0.9611,0.947,0.5578
Adam_lr1e-03_bs512,4,9,0.3907,0.9622,0.9494,0.5609
Adam_lr1e-03_bs512,4,10,0.3834,0.9633,0.9471,0.5667
Adam_lr1e-03_bs512,4,11,0.3773,0.9637,0.9485,0.5703
Adam_lr1e-03_bs512,4,12,0.3724,0.9646,0.9487,0.5715
Adam_lr1e-03_bs512,4,13,0.3671,0.9651,0.9497,0.5765
Adam_lr1e-03_bs512,4,14,0.3619,0.9656,0.9476,0.5695
Adam_lr1e-03_bs512,4,15,0.357,0.966,0.9487,0.5738
Adam_lr1e-03_bs512,4,16,0.3539,0.9664,0.949,0.5818
Adam_lr1e-03_bs512,4,17,0.3492,0.9669,0.9465,0.5733
Adam_lr1e-03_bs512,4,18,0.3464,0.9672,0.9503,0.5858
Adam_lr1e-03_bs512,4,19,0.3438,0.9675,0.9476,0.5757
Adam_lr1e-03_bs512,4,20,0.3409,0.9676,0.9495,0.5814
Adam_lr1e-03_bs512,4,21,0.3368,0.9681,0.9492,0.5805
Adam_lr1e-03_bs512,4,22,0.3342,0.9682,0.9489,0.5799
Adam_lr1e-03_bs512,4,23,0.3317,0.9685,0.949,0.5801
