config_id,fold,epoch,train_loss,train_acc,val_acc,f1_score
Adam_lr1e-04_bs256,0,1,0.5824,0.8828,0.8969,0.3887
Adam_lr1e-04_bs256,0,2,0.5032,0.9463,0.9258,0.431
Adam_lr1e-04_bs256,0,3,0.4666,0.954,0.9257,0.4596
Adam_lr1e-04_bs256,0,4,0.443,0.9576,0.9309,0.4698
Adam_lr1e-04_bs256,0,5,0.4254,0.9601,0.9324,0.4825
Adam_lr1e-04_bs256,0,6,0.4116,0.9619,0.9335,0.4899
Adam_lr1e-04_bs256,0,7,0.3997,0.9633,0.9333,0.4965
Adam_lr1e-04_bs256,0,8,0.391,0.9644,0.9324,0.4972
Adam_lr1e-04_bs256,0,9,0.3835,0.9653,0.9349,0.5044
Adam_lr1e-04_bs256,0,10,0.3774,0.9658,0.9356,0.5133
Adam_lr1e-04_bs256,0,11,0.3706,0.9666,0.9341,0.5087
Adam_lr1e-04_bs256,0,12,0.366,0.9669,0.9319,0.5072
Adam_lr1e-04_bs256,0,13,0.3611,0.9675,0.9354,0.519
Adam_lr1e-04_bs256,0,14,0.3569,0.968,0.9329,0.5104
Adam_lr1e-04_bs256,0,15,0.353,0.9683,0.9348,0.5239
Adam_lr1e-04_bs256,0,16,0.3499,0.9687,0.9335,0.5201
Adam_lr1e-04_bs256,0,17,0.3466,0.9689,0.9339,0.5234
Adam_lr1e-04_bs256,0,18,0.3442,0.9693,0.9341,0.5229
Adam_lr1e-04_bs256,0,19,0.3413,0.9695,0.9348,0.5308
Adam_lr1e-04_bs256,0,20,0.34,0.9698,0.9367,0.535
Adam_lr1e-04_bs256,0,21,0.3372,0.9701,0.9352,0.5277
Adam_lr1e-04_bs256,0,22,0.3357,0.9701,0.9348,0.531
Adam_lr1e-04_bs256,0,23,0.3338,0.9703,0.9337,0.5281
Adam_lr1e-04_bs256,0,24,0.3311,0.9705,0.936,0.5339
Adam_lr1e-04_bs256,0,25,0.3284,0.9708,0.9356,0.5308
Adam_lr1e-04_bs256,1,1,0.5714,0.8768,0.9271,0.3518
Adam_lr1e-04_bs256,1,2,0.4852,0.9438,0.9387,0.412
Adam_lr1e-04_bs256,1,3,0.4473,0.9516,0.9486,0.4489
Adam_lr1e-04_bs256,1,4,0.4237,0.9557,0.9529,0.4727
Adam_lr1e-04_bs256,1,5,0.4067,0.9582,0.952,0.4729
Adam_lr1e-04_bs256,1,6,0.394,0.9599,0.9517,0.4846
Adam_lr1e-04_bs256,1,7,0.3842,0.961,0.9537,0.489
Adam_lr1e-04_bs256,1,8,0.374,0.9624,0.9514,0.4967
Adam_lr1e-04_bs256,1,9,0.3669,0.9632,0.9542,0.5109
Adam_lr1e-04_bs256,1,10,0.3608,0.9638,0.9566,0.5104
Adam_lr1e-04_bs256,1,11,0.355,0.9644,0.9535,0.5128
Adam_lr1e-04_bs256,1,12,0.3503,0.965,0.954,0.5186
Adam_lr1e-04_bs256,1,13,0.3444,0.9655,0.9551,0.5238
Adam_lr1e-04_bs256,1,14,0.3412,0.9658,0.9554,0.5259
Adam_lr1e-04_bs256,1,15,0.3371,0.9664,0.9552,0.5284
Adam_lr1e-04_bs256,1,16,0.3342,0.9665,0.9556,0.529
Adam_lr1e-04_bs256,1,17,0.3308,0.9668,0.956,0.5319
Adam_lr1e-04_bs256,1,18,0.3283,0.9672,0.9549,0.5263
Adam_lr1e-04_bs256,1,19,0.3246,0.9676,0.9539,0.5279
Adam_lr1e-04_bs256,1,20,0.324,0.9676,0.9537,0.5275
Adam_lr1e-04_bs256,1,21,0.3204,0.968,0.954,0.5275
Adam_lr1e-04_bs256,1,22,0.3195,0.9681,0.9524,0.5235
Adam_lr1e-04_bs256,2,1,0.5737,0.8712,0.9317,0.3819
Adam_lr1e-04_bs256,2,2,0.4901,0.9429,0.9448,0.4409
Adam_lr1e-04_bs256,2,3,0.4517,0.9508,0.9479,0.4603
Adam_lr1e-04_bs256,2,4,0.4269,0.9552,0.9529,0.4844
Adam_lr1e-04_bs256,2,5,0.4089,0.9579,0.9529,0.4865
Adam_lr1e-04_bs256,2,6,0.3949,0.9598,0.9511,0.4849
Adam_lr1e-04_bs256,2,7,0.3838,0.9613,0.955,0.4981
