config_id,fold,epoch,train_loss,train_acc,val_acc,f1_score
GELU,0,1,0.5934,0.8569,0.9302,0.4537
GELU,0,2,0.5149,0.9374,0.9433,0.508
GELU,0,3,0.4804,0.9465,0.9495,0.5321
GELU,0,4,0.4584,0.9508,0.9516,0.5395
GELU,0,5,0.441,0.9538,0.9529,0.5592
GELU,0,6,0.4276,0.956,0.9518,0.5676
GELU,0,7,0.417,0.9573,0.9537,0.5719
GELU,0,8,0.4085,0.9586,0.955,0.5826
GELU,0,9,0.3999,0.9596,0.954,0.5779
GELU,0,10,0.3934,0.9604,0.9552,0.5855
GELU,0,11,0.3876,0.961,0.9537,0.5814
GELU,0,12,0.3829,0.9616,0.9548,0.5916
GELU,0,13,0.3765,0.9623,0.9537,0.5881
GELU,0,14,0.3717,0.9628,0.9563,0.6007
GELU,0,15,0.3684,0.9635,0.9558,0.6039
GELU,0,16,0.3639,0.9638,0.9554,0.6003
GELU,0,17,0.3602,0.9642,0.9566,0.6078
GELU,0,18,0.3575,0.9645,0.957,0.6064
GELU,0,19,0.3542,0.9649,0.9569,0.61
GELU,0,20,0.3502,0.9653,0.9565,0.6081
GELU,0,21,0.3485,0.9655,0.9571,0.6086
GELU,0,22,0.3451,0.9659,0.9586,0.6251
GELU,0,23,0.3439,0.966,0.9581,0.6186
GELU,0,24,0.3424,0.9661,0.9587,0.6201
GELU,0,25,0.3394,0.9664,0.9571,0.6154
GELU,0,26,0.3379,0.9666,0.9573,0.6248
GELU,0,27,0.3362,0.9667,0.9569,0.6217
GELU,1,1,0.5805,0.8685,0.9232,0.3291
GELU,1,2,0.4987,0.9423,0.9324,0.3611
GELU,1,3,0.464,0.95,0.9363,0.3885
GELU,1,4,0.4413,0.9541,0.9398,0.3914
GELU,1,5,0.4257,0.9566,0.9388,0.4043
GELU,1,6,0.413,0.9584,0.9434,0.4036
GELU,1,7,0.4022,0.96,0.9425,0.4161
GELU,1,8,0.3944,0.9611,0.9417,0.4239
GELU,1,9,0.3865,0.9619,0.9442,0.4329
GELU,1,10,0.3804,0.9626,0.9438,0.4339
GELU,1,11,0.3741,0.9633,0.9439,0.4419
GELU,1,12,0.3679,0.964,0.9441,0.4434
GELU,1,13,0.3645,0.9643,0.9448,0.4426
GELU,1,14,0.3595,0.9649,0.9448,0.4556
GELU,1,15,0.3564,0.9651,0.9452,0.4549
GELU,1,16,0.3518,0.9657,0.9467,0.4559
GELU,1,17,0.3482,0.966,0.9456,0.4556
GELU,1,18,0.3454,0.9662,0.9451,0.4594
GELU,1,19,0.3414,0.9666,0.9456,0.4571
GELU,1,20,0.3382,0.967,0.9451,0.4645
GELU,1,21,0.336,0.9673,0.9468,0.4688
GELU,1,22,0.3327,0.9676,0.9461,0.4652
GELU,1,23,0.3314,0.9676,0.9462,0.4672
GELU,1,24,0.329,0.9679,0.9463,0.4706
GELU,1,25,0.326,0.9682,0.9456,0.4694
GELU,1,26,0.3245,0.9683,0.9465,0.4723
GELU,1,27,0.323,0.9685,0.9456,0.4702
GELU,1,28,0.3211,0.9686,0.9461,0.4744
GELU,1,29,0.3187,0.9689,0.9469,0.4748
GELU,1,30,0.3168,0.9691,0.9466,0.4734
GELU,1,31,0.3166,0.9692,0.9466,0.4762
GELU,1,32,0.3144,0.9693,0.9469,0.4765
GELU,1,33,0.3128,0.9695,0.9464,0.4807
GELU,1,34,0.3119,0.9696,0.9461,0.4758
GELU,1,35,0.31,0.9699,0.9463,0.4753
GELU,1,36,0.3088,0.9699,0.9462,0.4797
GELU,1,37,0.3085,0.97,0.9457,0.4783
GELU,1,38,0.3063,0.9701,0.9465,0.4782
GELU,2,1,0.5848,0.8601,0.9324,0.4019
GELU,2,2,0.5049,0.9378,0.9377,0.4154
GELU,2,3,0.4684,0.947,0.9453,0.4521
GELU,2,4,0.4458,0.9511,0.9443,0.4585
GELU,2,5,0.4276,0.9542,0.9471,0.4635
GELU,2,6,0.4142,0.9563,0.9498,0.4707
GELU,2,7,0.4039,0.9577,0.9498,0.4791
GELU,2,8,0.3952,0.9588,0.951,0.4916
GELU,2,9,0.3869,0.9601,0.9497,0.4893
GELU,2,10,0.38,0.9609,0.9522,0.4917
GELU,2,11,0.374,0.9618,0.9529,0.5007
GELU,2,12,0.3684,0.9625,0.9515,0.5031
GELU,2,13,0.3633,0.9628,0.9531,0.5117
GELU,2,14,0.3583,0.9636,0.952,0.5077
GELU,2,15,0.3544,0.9641,0.9536,0.5166
GELU,2,16,0.3513,0.9645,0.9538,0.518
GELU,2,17,0.3484,0.9647,0.9531,0.517
GELU,2,18,0.3444,0.9651,0.953,0.5157
GELU,2,19,0.3418,0.9654,0.9542,0.5153
GELU,2,20,0.3394,0.9657,0.9545,0.5188
GELU,2,21,0.3365,0.9659,0.9524,0.5191
GELU,2,22,0.335,0.9662,0.9539,0.522
GELU,2,23,0.3317,0.9666,0.953,0.5211
GELU,2,24,0.3297,0.9668,0.9541,0.5254
GELU,2,25,0.3274,0.9669,0.9539,0.522
GELU,2,26,0.3253,0.9673,0.9531,0.5224
GELU,2,27,0.3236,0.9674,0.953,0.5205
GELU,2,28,0.3223,0.9676,0.9529,0.5236
GELU,2,29,0.3204,0.9677,0.9528,0.5232
GELU,3,1,0.5868,0.8545,0.9013,0.3812
GELU,3,2,0.5046,0.9386,0.9234,0.4089
GELU,3,3,0.4679,0.9477,0.9254,0.4283
GELU,3,4,0.4438,0.9522,0.9287,0.4373
GELU,3,5,0.4263,0.955,0.9323,0.4472
GELU,3,6,0.4146,0.9572,0.9356,0.455
GELU,3,7,0.4037,0.9588,0.935,0.4481
GELU,3,8,0.3945,0.9598,0.9332,0.4631
GELU,3,9,0.3865,0.9609,0.9346,0.4493
GELU,3,10,0.3799,0.9618,0.9367,0.4862
GELU,3,11,0.3736,0.9626,0.9357,0.4882
GELU,3,12,0.369,0.9631,0.9379,0.4806
GELU,3,13,0.3646,0.9635,0.9384,0.4858
GELU,3,14,0.3601,0.9643,0.9358,0.4638
GELU,3,15,0.3556,0.9645,0.9362,0.4736
GELU,3,16,0.3521,0.965,0.9362,0.4758
GELU,4,1,0.5853,0.8634,0.9428,0.3954
GELU,4,2,0.5057,0.9368,0.9481,0.417
GELU,4,3,0.4668,0.9467,0.9491,0.4501
GELU,4,4,0.4408,0.9518,0.9533,0.4521
GELU,4,5,0.4242,0.9545,0.9531,0.462
GELU,4,6,0.4097,0.9568,0.9545,0.4706
GELU,4,7,0.3998,0.9582,0.9554,0.4844
GELU,4,8,0.3906,0.9595,0.9547,0.4844
GELU,4,9,0.3823,0.9605,0.957,0.4905
GELU,4,10,0.3761,0.9613,0.9564,0.4999
GELU,4,11,0.3697,0.9623,0.9576,0.4994
GELU,4,12,0.3635,0.9629,0.9573,0.5022
GELU,4,13,0.3594,0.9633,0.9575,0.5079
GELU,4,14,0.354,0.9639,0.9571,0.5074
GELU,4,15,0.3501,0.9644,0.9564,0.5151
GELU,4,16,0.3468,0.9648,0.9574,0.5145
GELU,4,17,0.3423,0.9652,0.9566,0.5113
GELU,4,18,0.3399,0.9654,0.9572,0.5326
GELU,4,19,0.3362,0.9658,0.9585,0.5345
GELU,4,20,0.3337,0.9661,0.9573,0.5249
GELU,4,21,0.331,0.9664,0.9573,0.5192
GELU,4,22,0.3274,0.9668,0.9578,0.53
GELU,4,23,0.3252,0.9671,0.9573,0.5294
GELU,4,24,0.3232,0.9673,0.9572,0.5293
