config_id,fold,epoch,train_loss,train_acc,val_acc,f1_score
LeakyReLU,0,1,0.5997,0.8441,0.9119,0.4235
LeakyReLU,0,2,0.5246,0.9349,0.9219,0.4657
LeakyReLU,0,3,0.4876,0.9454,0.9378,0.5102
LeakyReLU,0,4,0.4632,0.9503,0.9476,0.5345
LeakyReLU,0,5,0.4454,0.9535,0.9449,0.5397
LeakyReLU,0,6,0.433,0.9554,0.9463,0.5533
LeakyReLU,0,7,0.4218,0.9571,0.942,0.5452
LeakyReLU,0,8,0.4115,0.9583,0.9478,0.5612
LeakyReLU,0,9,0.4048,0.9593,0.9468,0.5628
LeakyReLU,0,10,0.3983,0.9601,0.947,0.564
LeakyReLU,0,11,0.3912,0.9609,0.9477,0.5653
LeakyReLU,0,12,0.3865,0.9616,0.9495,0.5752
LeakyReLU,0,13,0.3814,0.9621,0.9479,0.5739
LeakyReLU,0,14,0.3755,0.9629,0.9499,0.5802
LeakyReLU,0,15,0.3725,0.9631,0.9491,0.5788
LeakyReLU,0,16,0.369,0.9635,0.9493,0.5829
LeakyReLU,0,17,0.3646,0.964,0.9508,0.5883
LeakyReLU,0,18,0.3616,0.9642,0.9517,0.5901
LeakyReLU,0,19,0.3584,0.9645,0.9506,0.5904
LeakyReLU,0,20,0.3553,0.965,0.9503,0.5874
LeakyReLU,0,21,0.3531,0.9651,0.9514,0.5936
LeakyReLU,0,22,0.3508,0.9654,0.9497,0.5872
LeakyReLU,0,23,0.348,0.9656,0.9499,0.5862
LeakyReLU,0,24,0.3455,0.966,0.9486,0.5859
LeakyReLU,0,25,0.3439,0.9659,0.9488,0.5894
LeakyReLU,0,26,0.3424,0.9661,0.9516,0.5935
LeakyReLU,1,1,0.5854,0.863,0.9131,0.336
LeakyReLU,1,2,0.5068,0.9403,0.9281,0.376
LeakyReLU,1,3,0.4693,0.9486,0.9352,0.3974
LeakyReLU,1,4,0.447,0.9531,0.9325,0.4094
LeakyReLU,1,5,0.4304,0.9558,0.9346,0.4034
LeakyReLU,1,6,0.4168,0.9576,0.9366,0.4189
LeakyReLU,1,7,0.4069,0.9592,0.9364,0.4157
LeakyReLU,1,8,0.3985,0.9601,0.9374,0.4266
LeakyReLU,1,9,0.3916,0.9612,0.9376,0.4255
LeakyReLU,1,10,0.3855,0.9619,0.9372,0.4327
LeakyReLU,1,11,0.3789,0.9627,0.938,0.4439
LeakyReLU,1,12,0.3744,0.9632,0.9381,0.4466
LeakyReLU,1,13,0.3692,0.9639,0.9387,0.4425
LeakyReLU,1,14,0.3655,0.9643,0.9373,0.448
LeakyReLU,1,15,0.3603,0.965,0.9414,0.448
LeakyReLU,1,16,0.3571,0.9651,0.9398,0.4492
LeakyReLU,1,17,0.3543,0.9654,0.9393,0.4503
LeakyReLU,1,18,0.3511,0.966,0.9363,0.4534
LeakyReLU,1,19,0.3476,0.9662,0.9394,0.4553
LeakyReLU,1,20,0.3449,0.9665,0.9407,0.4649
LeakyReLU,1,21,0.3418,0.9667,0.9406,0.4721
LeakyReLU,1,22,0.3395,0.9669,0.9403,0.463
LeakyReLU,1,23,0.3372,0.9673,0.9409,0.4722
LeakyReLU,1,24,0.335,0.9673,0.94,0.4751
LeakyReLU,1,25,0.3322,0.9677,0.9423,0.4737
LeakyReLU,1,26,0.3304,0.9679,0.9413,0.4798
LeakyReLU,1,27,0.3297,0.968,0.9405,0.475
LeakyReLU,1,28,0.327,0.9684,0.9414,0.4815
LeakyReLU,1,29,0.3259,0.9683,0.9412,0.4813
LeakyReLU,1,30,0.3249,0.9685,0.9408,0.4757
LeakyReLU,1,31,0.3232,0.9687,0.9437,0.4867
LeakyReLU,1,32,0.3212,0.9689,0.9422,0.4876
LeakyReLU,1,33,0.3196,0.9691,0.9429,0.4883
LeakyReLU,1,34,0.3183,0.9692,0.9419,0.4857
LeakyReLU,1,35,0.3168,0.9693,0.9418,0.4863
LeakyReLU,1,36,0.3165,0.9693,0.9417,0.4876
LeakyReLU,1,37,0.3142,0.9696,0.9434,0.4937
LeakyReLU,1,38,0.3135,0.9696,0.9424,0.4882
LeakyReLU,1,39,0.3122,0.9698,0.9426,0.491
LeakyReLU,1,40,0.3115,0.97,0.9444,0.4948
LeakyReLU,1,41,0.3112,0.97,0.9438,0.4945
LeakyReLU,1,42,0.3103,0.9699,0.9449,0.4964
LeakyReLU,1,43,0.3089,0.9701,0.9435,0.4947
LeakyReLU,1,44,0.3065,0.9704,0.9427,0.4927
