config_id,fold,epoch,train_loss,train_acc,val_acc,f1_score
BCELoss,0,1,0.1771,0.9467,0.9471,0.2724
BCELoss,0,2,0.1449,0.9554,0.9494,0.3503
BCELoss,0,3,0.1325,0.9588,0.9512,0.3716
BCELoss,0,4,0.1248,0.9609,0.9517,0.4374
BCELoss,0,5,0.1192,0.9624,0.9538,0.4494
BCELoss,0,6,0.1148,0.9637,0.9534,0.4718
BCELoss,0,7,0.1113,0.9646,0.954,0.4775
BCELoss,0,8,0.1082,0.9654,0.9534,0.4863
BCELoss,0,9,0.1059,0.9661,0.9534,0.4959
BCELoss,0,10,0.1037,0.9666,0.9548,0.4992
BCELoss,0,11,0.1014,0.9671,0.9536,0.5041
BCELoss,0,12,0.0996,0.9677,0.9539,0.5093
BCELoss,0,13,0.0979,0.9682,0.9513,0.5048
BCELoss,0,14,0.097,0.9684,0.9552,0.5118
BCELoss,0,15,0.0953,0.9689,0.9534,0.5142
BCELoss,0,16,0.0943,0.9692,0.9534,0.5157
BCELoss,0,17,0.093,0.9695,0.9535,0.5158
BCELoss,0,18,0.0919,0.9697,0.9524,0.5156
BCELoss,0,19,0.0911,0.9702,0.9511,0.5147
BCELoss,0,20,0.0904,0.9702,0.9534,0.5147
BCELoss,0,21,0.0893,0.9705,0.9525,0.5188
BCELoss,0,22,0.089,0.9706,0.9526,0.5232
BCELoss,0,23,0.0878,0.9709,0.9527,0.5208
BCELoss,0,24,0.0871,0.9711,0.9537,0.5277
BCELoss,0,25,0.0868,0.9713,0.9529,0.5218
BCELoss,0,26,0.086,0.9714,0.9513,0.5187
BCELoss,0,27,0.0855,0.9717,0.9529,0.5224
BCELoss,0,28,0.0849,0.9717,0.9524,0.5203
BCELoss,0,29,0.0843,0.972,0.951,0.5202
BCELoss,1,1,0.1705,0.9495,0.9434,0.3417
BCELoss,1,2,0.1406,0.957,0.9452,0.3802
BCELoss,1,3,0.1292,0.9603,0.9479,0.406
BCELoss,1,4,0.122,0.9623,0.9461,0.4136
BCELoss,1,5,0.1168,0.9636,0.9467,0.417
BCELoss,1,6,0.1124,0.9648,0.9473,0.4305
BCELoss,1,7,0.109,0.9657,0.946,0.4353
BCELoss,1,8,0.1063,0.9665,0.9471,0.4443
BCELoss,1,9,0.104,0.9671,0.9471,0.4561
BCELoss,1,10,0.1016,0.9677,0.9474,0.4585
BCELoss,1,11,0.0997,0.9683,0.947,0.4635
BCELoss,1,12,0.098,0.9689,0.9488,0.4682
BCELoss,1,13,0.0966,0.9692,0.947,0.4695
BCELoss,1,14,0.0953,0.9695,0.9491,0.47
BCELoss,1,15,0.0942,0.9697,0.9489,0.4726
BCELoss,1,16,0.0929,0.9704,0.9484,0.4789
BCELoss,1,17,0.0918,0.9704,0.9486,0.4782
BCELoss,1,18,0.0908,0.9707,0.9477,0.4759
BCELoss,1,19,0.0897,0.971,0.9489,0.4848
BCELoss,1,20,0.089,0.9713,0.9475,0.4819
BCELoss,1,21,0.0881,0.9715,0.9474,0.4885
BCELoss,1,22,0.0872,0.9716,0.9492,0.4883
BCELoss,1,23,0.0867,0.9718,0.9481,0.4845
BCELoss,1,24,0.0862,0.9719,0.9481,0.4885
BCELoss,1,25,0.0853,0.9723,0.949,0.4872
BCELoss,1,26,0.0847,0.9725,0.9492,0.4898
BCELoss,1,27,0.0843,0.9725,0.9483,0.4885
BCELoss,1,28,0.0836,0.9726,0.9486,0.4882
BCELoss,1,29,0.0833,0.9728,0.9486,0.4897
BCELoss,1,30,0.0827,0.9728,0.949,0.4907
BCELoss,1,31,0.0822,0.973,0.9485,0.4897
BCELoss,1,32,0.082,0.9732,0.9485,0.4931
BCELoss,1,33,0.0814,0.9732,0.9478,0.488
BCELoss,1,34,0.0808,0.9734,0.9482,0.4918
BCELoss,1,35,0.0804,0.9735,0.9473,0.4907
BCELoss,1,36,0.08,0.9737,0.9488,0.4957
BCELoss,1,37,0.08,0.9737,0.9489,0.4935
BCELoss,1,38,0.0793,0.9739,0.9486,0.4905
BCELoss,1,39,0.0791,0.9738,0.948,0.4935
BCELoss,1,40,0.079,0.9738,0.9478,0.4893
BCELoss,1,41,0.0787,0.974,0.9485,0.4954
