config_id,fold,epoch,train_loss,train_acc,val_acc,f1_score
Adam_lr1e-04_bs2048,0,1,0.6198,0.8136,0.8953,0.3608
Adam_lr1e-04_bs2048,0,2,0.5456,0.9274,0.9087,0.3997
Adam_lr1e-04_bs2048,0,3,0.5101,0.9405,0.9154,0.4212
Adam_lr1e-04_bs2048,0,4,0.4866,0.9462,0.9195,0.4398
Adam_lr1e-04_bs2048,0,5,0.4694,0.95,0.9214,0.4491
Adam_lr1e-04_bs2048,0,6,0.4555,0.9525,0.9277,0.4635
Adam_lr1e-04_bs2048,0,7,0.4437,0.9545,0.9246,0.4671
Adam_lr1e-04_bs2048,0,8,0.4326,0.9561,0.9295,0.4806
Adam_lr1e-04_bs2048,0,9,0.4251,0.9572,0.9289,0.4844
Adam_lr1e-04_bs2048,0,10,0.4167,0.9584,0.9313,0.4844
Adam_lr1e-04_bs2048,0,11,0.4102,0.9592,0.9323,0.4914
Adam_lr1e-04_bs2048,0,12,0.403,0.9603,0.932,0.4927
Adam_lr1e-04_bs2048,0,13,0.3972,0.9609,0.9339,0.4988
Adam_lr1e-04_bs2048,0,14,0.3919,0.9616,0.9342,0.4996
Adam_lr1e-04_bs2048,0,15,0.3876,0.9622,0.9333,0.502
Adam_lr1e-04_bs2048,0,16,0.3833,0.9628,0.9321,0.4982
Adam_lr1e-04_bs2048,0,17,0.3783,0.9631,0.9336,0.5016
Adam_lr1e-04_bs2048,0,18,0.3751,0.9638,0.9352,0.5066
Adam_lr1e-04_bs2048,0,19,0.3715,0.9641,0.9345,0.5058
Adam_lr1e-04_bs2048,0,20,0.3675,0.9645,0.9348,0.5089
Adam_lr1e-04_bs2048,0,21,0.3649,0.9647,0.9338,0.5073
Adam_lr1e-04_bs2048,0,22,0.3621,0.965,0.9365,0.5125
Adam_lr1e-04_bs2048,0,23,0.3587,0.9654,0.9351,0.5115
Adam_lr1e-04_bs2048,0,24,0.3556,0.9658,0.9333,0.5076
Adam_lr1e-04_bs2048,0,25,0.354,0.966,0.9334,0.5092
Adam_lr1e-04_bs2048,0,26,0.3511,0.9662,0.9347,0.5131
Adam_lr1e-04_bs2048,0,27,0.3482,0.9666,0.935,0.5108
Adam_lr1e-04_bs2048,0,28,0.3469,0.9666,0.9347,0.5126
Adam_lr1e-04_bs2048,0,29,0.3448,0.9668,0.933,0.5097
Adam_lr1e-04_bs2048,0,30,0.3421,0.967,0.935,0.5127
Adam_lr1e-04_bs2048,0,31,0.3403,0.9675,0.9346,0.5122
Adam_lr1e-04_bs2048,1,1,0.6112,0.8017,0.8946,0.2917
Adam_lr1e-04_bs2048,1,2,0.5347,0.921,0.9302,0.3678
Adam_lr1e-04_bs2048,1,3,0.4958,0.9352,0.929,0.3939
Adam_lr1e-04_bs2048,1,4,0.4708,0.9422,0.9367,0.4186
Adam_lr1e-04_bs2048,1,5,0.4529,0.9461,0.9378,0.4223
Adam_lr1e-04_bs2048,1,6,0.4391,0.9491,0.9442,0.4432
Adam_lr1e-04_bs2048,1,7,0.427,0.9513,0.9447,0.4531
Adam_lr1e-04_bs2048,1,8,0.4164,0.953,0.9464,0.456
Adam_lr1e-04_bs2048,1,9,0.4078,0.9544,0.9475,0.4585
Adam_lr1e-04_bs2048,1,10,0.4019,0.9555,0.9509,0.4756
Adam_lr1e-04_bs2048,1,11,0.3938,0.9567,0.9512,0.4806
Adam_lr1e-04_bs2048,1,12,0.3879,0.9575,0.9484,0.4793
Adam_lr1e-04_bs2048,1,13,0.3825,0.9584,0.9528,0.4927
Adam_lr1e-04_bs2048,1,14,0.377,0.9592,0.9521,0.496
Adam_lr1e-04_bs2048,1,15,0.3717,0.9598,0.9524,0.4945
Adam_lr1e-04_bs2048,1,16,0.368,0.9604,0.9531,0.498
Adam_lr1e-04_bs2048,1,17,0.3638,0.9609,0.9532,0.5001
Adam_lr1e-04_bs2048,1,18,0.3613,0.9612,0.9526,0.5017
Adam_lr1e-04_bs2048,1,19,0.3576,0.9616,0.9536,0.5043
Adam_lr1e-04_bs2048,1,20,0.3536,0.962,0.9529,0.4998
Adam_lr1e-04_bs2048,1,21,0.3508,0.9623,0.9525,0.5054
Adam_lr1e-04_bs2048,1,22,0.3482,0.9627,0.953,0.5118
Adam_lr1e-04_bs2048,1,23,0.3449,0.9631,0.9527,0.5113
Adam_lr1e-04_bs2048,1,24,0.3427,0.9633,0.9532,0.5107
Adam_lr1e-04_bs2048,1,25,0.3409,0.9635,0.954,0.5164
Adam_lr1e-04_bs2048,1,26,0.3383,0.964,0.9538,0.5184
Adam_lr1e-04_bs2048,1,27,0.3358,0.9641,0.955,0.5164
Adam_lr1e-04_bs2048,1,28,0.3343,0.9644,0.955,0.5222
Adam_lr1e-04_bs2048,1,29,0.3316,0.9647,0.9548,0.5184
Adam_lr1e-04_bs2048,1,30,0.3294,0.9649,0.9552,0.5199
Adam_lr1e-04_bs2048,1,31,0.3276,0.9653,0.9547,0.5178
Adam_lr1e-04_bs2048,1,32,0.3258,0.9653,0.955,0.5226
Adam_lr1e-04_bs2048,1,33,0.3246,0.9654,0.9548,0.5205
Adam_lr1e-04_bs2048,1,34,0.3219,0.9658,0.9557,0.5244
Adam_lr1e-04_bs2048,1,35,0.3207,0.966,0.9562,0.5286
Adam_lr1e-04_bs2048,1,36,0.3192,0.9662,0.9556,0.5258
Adam_lr1e-04_bs2048,1,37,0.318,0.9663,0.956,0.5299
Adam_lr1e-04_bs2048,1,38,0.3163,0.9663,0.9558,0.5257
Adam_lr1e-04_bs2048,1,39,0.3149,0.9665,0.955,0.5254
Adam_lr1e-04_bs2048,1,40,0.3135,0.9666,0.9547,0.5265
Adam_lr1e-04_bs2048,1,41,0.3131,0.9667,0.9553,0.5243
Adam_lr1e-04_bs2048,1,42,0.3105,0.9671,0.9541,0.5199
