config_id,fold,epoch,train_loss,train_acc,val_acc,f1_score
CombinedDiceBCELoss,0,1,0.4394,0.9441,0.9389,0.3532
CombinedDiceBCELoss,0,2,0.3577,0.9551,0.9449,0.4005
CombinedDiceBCELoss,0,3,0.331,0.9585,0.9459,0.4255
CombinedDiceBCELoss,0,4,0.3142,0.9606,0.9472,0.4284
CombinedDiceBCELoss,0,5,0.302,0.9619,0.9469,0.4487
CombinedDiceBCELoss,0,6,0.2917,0.963,0.9499,0.462
CombinedDiceBCELoss,0,7,0.2831,0.964,0.9506,0.4745
CombinedDiceBCELoss,0,8,0.2746,0.965,0.9497,0.476
CombinedDiceBCELoss,0,9,0.2684,0.9656,0.9498,0.4852
CombinedDiceBCELoss,0,10,0.2625,0.9662,0.9511,0.4887
CombinedDiceBCELoss,0,11,0.2573,0.9668,0.9517,0.4937
CombinedDiceBCELoss,0,12,0.2523,0.9674,0.9516,0.5016
CombinedDiceBCELoss,0,13,0.2489,0.9678,0.9521,0.5073
CombinedDiceBCELoss,0,14,0.2439,0.9684,0.9517,0.5038
CombinedDiceBCELoss,0,15,0.2406,0.9687,0.952,0.5087
CombinedDiceBCELoss,0,16,0.2375,0.969,0.9508,0.5073
CombinedDiceBCELoss,0,17,0.2346,0.9694,0.952,0.5132
CombinedDiceBCELoss,0,18,0.2314,0.9698,0.9531,0.5157
CombinedDiceBCELoss,0,19,0.2292,0.97,0.9511,0.514
CombinedDiceBCELoss,0,20,0.2264,0.9704,0.952,0.5155
CombinedDiceBCELoss,0,21,0.2248,0.9705,0.9519,0.511
CombinedDiceBCELoss,0,22,0.2214,0.9709,0.9531,0.5236
CombinedDiceBCELoss,0,23,0.2202,0.971,0.9502,0.5162
CombinedDiceBCELoss,0,24,0.2183,0.9713,0.9506,0.5147
CombinedDiceBCELoss,0,25,0.2161,0.9715,0.9503,0.5152
CombinedDiceBCELoss,0,26,0.2144,0.9717,0.9518,0.5176
CombinedDiceBCELoss,0,27,0.2134,0.9719,0.9508,0.5142
CombinedDiceBCELoss,1,1,0.4467,0.9461,0.9325,0.3436
CombinedDiceBCELoss,1,2,0.3732,0.9551,0.9344,0.3744
CombinedDiceBCELoss,1,3,0.3448,0.9583,0.9379,0.3869
CombinedDiceBCELoss,1,4,0.3245,0.9607,0.9428,0.4119
CombinedDiceBCELoss,1,5,0.3087,0.9623,0.9416,0.4221
CombinedDiceBCELoss,1,6,0.2958,0.9637,0.9427,0.4252
CombinedDiceBCELoss,1,7,0.2847,0.965,0.9427,0.4416
CombinedDiceBCELoss,1,8,0.2757,0.9659,0.9441,0.4451
CombinedDiceBCELoss,1,9,0.2685,0.9668,0.9427,0.4501
CombinedDiceBCELoss,1,10,0.2622,0.9675,0.9425,0.4514
CombinedDiceBCELoss,1,11,0.2567,0.968,0.9439,0.4517
CombinedDiceBCELoss,1,12,0.2527,0.9685,0.9451,0.4628
CombinedDiceBCELoss,1,13,0.2474,0.9691,0.9452,0.4602
CombinedDiceBCELoss,1,14,0.2431,0.9697,0.9466,0.4633
CombinedDiceBCELoss,1,15,0.2395,0.9701,0.9477,0.4717
CombinedDiceBCELoss,1,16,0.237,0.9704,0.9455,0.4647
CombinedDiceBCELoss,1,17,0.2343,0.9707,0.9455,0.4683
CombinedDiceBCELoss,1,18,0.2311,0.9711,0.9448,0.4676
CombinedDiceBCELoss,1,19,0.2293,0.9712,0.9472,0.4756
CombinedDiceBCELoss,1,20,0.227,0.9715,0.9456,0.4758
CombinedDiceBCELoss,1,21,0.2251,0.9718,0.9441,0.4752
CombinedDiceBCELoss,1,22,0.223,0.9721,0.9473,0.4794
CombinedDiceBCELoss,1,23,0.2211,0.9723,0.9469,0.4781
CombinedDiceBCELoss,1,24,0.2197,0.9724,0.947,0.484
CombinedDiceBCELoss,1,25,0.2175,0.9727,0.9471,0.4836
CombinedDiceBCELoss,1,26,0.2156,0.9729,0.9479,0.4858
CombinedDiceBCELoss,1,27,0.2153,0.9729,0.9467,0.4826
CombinedDiceBCELoss,1,28,0.213,0.9732,0.9456,0.4815
CombinedDiceBCELoss,1,29,0.2118,0.9733,0.9486,0.4869
CombinedDiceBCELoss,1,30,0.211,0.9734,0.9479,0.4856
CombinedDiceBCELoss,1,31,0.2096,0.9735,0.9462,0.4841
CombinedDiceBCELoss,1,32,0.2076,0.9738,0.948,0.4896
CombinedDiceBCELoss,1,33,0.2063,0.974,0.9468,0.4842
CombinedDiceBCELoss,1,34,0.2055,0.9741,0.9471,0.4871
CombinedDiceBCELoss,1,35,0.2043,0.9742,0.9476,0.4902
CombinedDiceBCELoss,1,36,0.2036,0.9741,0.9475,0.4882
CombinedDiceBCELoss,1,37,0.2029,0.9742,0.9466,0.4876
CombinedDiceBCELoss,1,38,0.2026,0.9744,0.9484,0.4935
CombinedDiceBCELoss,1,39,0.2011,0.9745,0.9485,0.4936
CombinedDiceBCELoss,1,40,0.2005,0.9746,0.9483,0.4909
CombinedDiceBCELoss,1,41,0.1992,0.9747,0.9468,0.4917
CombinedDiceBCELoss,1,42,0.1984,0.9748,0.9478,0.4934
CombinedDiceBCELoss,1,43,0.197,0.975,0.9484,0.4947
CombinedDiceBCELoss,1,44,0.1967,0.975,0.9473,0.4942
CombinedDiceBCELoss,1,45,0.1962,0.9751,0.9474,0.4921
CombinedDiceBCELoss,1,46,0.1952,0.9752,0.9477,0.4929
CombinedDiceBCELoss,1,47,0.1945,0.9753,0.9482,0.4968
CombinedDiceBCELoss,1,48,0.1943,0.9752,0.947,0.4948
CombinedDiceBCELoss,1,49,0.1929,0.9755,0.9472,0.4958
CombinedDiceBCELoss,1,50,0.1925,0.9756,0.9486,0.4974
