config_id,fold,epoch,train_loss,train_acc,val_acc,f1_score
all_flat,0,1,0.679,0.7695,0.4426,0.179
all_flat,0,2,0.675,0.7828,0.4483,0.1767
all_flat,0,3,0.6733,0.793,0.4795,0.185
all_flat,0,4,0.6722,0.7967,0.5323,0.1996
all_flat,0,5,0.6712,0.7984,0.5906,0.2085
all_flat,0,6,0.6704,0.8033,0.5646,0.207
all_flat,0,7,0.6698,0.8054,0.5926,0.2137
all_flat,0,8,0.6692,0.8106,0.5915,0.2147
all_flat,0,9,0.6687,0.8102,0.6225,0.224
all_flat,0,10,0.6682,0.8164,0.6247,0.2208
all_flat,0,11,0.668,0.8167,0.6341,0.2236
all_flat,0,12,0.6676,0.8205,0.6518,0.2318
all_flat,0,13,0.6673,0.8218,0.6561,0.2329
all_flat,0,14,0.6671,0.8219,0.6572,0.2349
all_flat,0,15,0.6668,0.8228,0.6583,0.2366
all_flat,0,16,0.6666,0.8249,0.6852,0.2445
all_flat,0,17,0.6663,0.8248,0.6816,0.2446
all_flat,0,18,0.6662,0.8265,0.6855,0.2476
all_flat,0,19,0.666,0.8268,0.6848,0.2484
all_flat,0,20,0.6657,0.8288,0.6882,0.2484
all_flat,0,21,0.6655,0.8302,0.7003,0.2551
all_flat,0,22,0.6655,0.8301,0.697,0.2518
all_flat,0,23,0.6653,0.8315,0.7017,0.2562
all_flat,0,24,0.6653,0.8326,0.7007,0.2542
all_flat,0,25,0.6651,0.8323,0.7062,0.2568
all_flat,0,26,0.665,0.8323,0.7035,0.2561
all_flat,0,27,0.6649,0.8339,0.7169,0.2618
all_flat,0,28,0.6648,0.8352,0.7215,0.2653
all_flat,0,29,0.6647,0.8364,0.7107,0.2605
all_flat,0,30,0.6646,0.8379,0.7218,0.2664
all_flat,0,31,0.6645,0.8372,0.7164,0.2641
all_flat,0,32,0.6645,0.8388,0.7215,0.2663
all_flat,0,33,0.6645,0.8387,0.7291,0.2678
all_flat,0,34,0.6644,0.8397,0.7217,0.2677
all_flat,0,35,0.6642,0.8394,0.7215,0.2658
all_flat,0,36,0.6642,0.841,0.723,0.2691
all_flat,0,37,0.6642,0.8405,0.723,0.2665
all_flat,0,38,0.6641,0.8416,0.7274,0.2724
all_flat,0,39,0.6641,0.8426,0.7318,0.271
all_flat,0,40,0.6641,0.8401,0.7247,0.2683
all_flat,0,41,0.664,0.8412,0.7341,0.2733
all_flat,0,42,0.6639,0.8428,0.7335,0.2717
all_flat,0,43,0.6639,0.843,0.7331,0.2724
all_flat,0,44,0.6638,0.8422,0.742,0.2788
all_flat,0,45,0.6638,0.8418,0.7429,0.2782
all_flat,0,46,0.6638,0.8433,0.7384,0.2777
all_flat,0,47,0.6637,0.8418,0.7354,0.2769
all_flat,0,48,0.6637,0.8443,0.7404,0.2771
all_flat,0,49,0.6637,0.8445,0.7495,0.2832
all_flat,0,50,0.6636,0.8425,0.7541,0.2831
all_flat,1,1,0.6713,0.7722,0.4808,0.1238
all_flat,1,2,0.6671,0.7806,0.5308,0.1313
all_flat,1,3,0.6656,0.7882,0.5567,0.1363
all_flat,1,4,0.6644,0.7944,0.5638,0.1398
all_flat,1,5,0.6636,0.7984,0.6262,0.155
all_flat,1,6,0.6627,0.801,0.6293,0.158
all_flat,1,7,0.662,0.8056,0.681,0.1725
all_flat,1,8,0.6614,0.8073,0.6712,0.1721
all_flat,1,9,0.6608,0.8101,0.6531,0.1695
all_flat,1,10,0.6603,0.8124,0.6796,0.1803
all_flat,1,11,0.6598,0.8146,0.6785,0.1797
all_flat,1,12,0.6593,0.8154,0.7172,0.1941
all_flat,1,13,0.6589,0.8173,0.6922,0.1856
all_flat,1,14,0.6585,0.8195,0.6921,0.187
all_flat,1,15,0.6582,0.8218,0.7177,0.1958
all_flat,1,16,0.6579,0.8228,0.7141,0.1968
all_flat,1,17,0.6577,0.8253,0.7033,0.1939
all_flat,1,18,0.6574,0.8255,0.7269,0.203
all_flat,1,19,0.6572,0.8276,0.7234,0.2
all_flat,1,20,0.6571,0.8289,0.7218,0.2009
all_flat,1,21,0.6569,0.8304,0.7237,0.2015
all_flat,1,22,0.6568,0.8297,0.7192,0.1987
all_flat,1,23,0.6567,0.8332,0.7222,0.2033
all_flat,1,24,0.6566,0.8323,0.7263,0.2033
all_flat,1,25,0.6565,0.8344,0.7257,0.2027
all_flat,1,26,0.6562,0.8349,0.7359,0.2069
all_flat,1,27,0.6562,0.8336,0.7371,0.2068
all_flat,1,28,0.6561,0.836,0.7393,0.2085
all_flat,1,29,0.6561,0.8363,0.74,0.2092
all_flat,1,30,0.656,0.8366,0.7468,0.2126
all_flat,1,31,0.6559,0.8382,0.7342,0.2085
all_flat,1,32,0.6558,0.8387,0.746,0.212
all_flat,1,33,0.6557,0.8387,0.7514,0.2152
all_flat,1,34,0.6556,0.8393,0.7508,0.2152
all_flat,1,35,0.6555,0.8399,0.7452,0.2126
all_flat,1,36,0.6555,0.8394,0.7502,0.215
all_flat,1,37,0.6554,0.84,0.7378,0.2104
all_flat,1,38,0.6553,0.8407,0.7477,0.214
all_flat,2,1,0.6721,0.7524,0.4255,0.124
all_flat,2,2,0.6678,0.7678,0.4866,0.1334
all_flat,2,3,0.6663,0.7758,0.5005,0.1358
all_flat,2,4,0.6651,0.7807,0.5317,0.1422
all_flat,2,5,0.6641,0.7857,0.5711,0.1479
all_flat,2,6,0.6633,0.7925,0.5785,0.1513
all_flat,2,7,0.6625,0.7955,0.6041,0.1569
all_flat,2,8,0.662,0.7974,0.6043,0.1583
all_flat,2,9,0.6615,0.8016,0.6303,0.1657
all_flat,2,10,0.661,0.8055,0.6314,0.1668
all_flat,2,11,0.6605,0.8091,0.6561,0.1759
all_flat,2,12,0.66,0.8117,0.6495,0.1739
all_flat,2,13,0.6596,0.8153,0.6564,0.1773
all_flat,2,14,0.6593,0.8137,0.6403,0.1736
all_flat,2,15,0.659,0.8164,0.6781,0.1859
all_flat,2,16,0.6587,0.8192,0.6668,0.1823
all_flat,2,17,0.6584,0.8185,0.6842,0.1888
all_flat,2,18,0.6582,0.8219,0.6965,0.1933
all_flat,2,19,0.658,0.8237,0.687,0.1906
all_flat,2,20,0.6579,0.8229,0.687,0.1905
all_flat,2,21,0.6576,0.8258,0.6973,0.1946
all_flat,2,22,0.6575,0.8269,0.6947,0.1946
all_flat,2,23,0.6574,0.8267,0.686,0.1923
all_flat,2,24,0.6573,0.8277,0.6949,0.1956
all_flat,2,25,0.6571,0.8302,0.6942,0.1949
all_flat,2,26,0.657,0.8291,0.6942,0.1947
all_flat,2,27,0.657,0.8314,0.7009,0.1984
all_flat,2,28,0.6569,0.8312,0.7053,0.1983
all_flat,2,29,0.6568,0.8306,0.692,0.1947
all_flat,2,30,0.6567,0.8324,0.6955,0.1972
all_flat,2,31,0.6566,0.8332,0.696,0.1974
all_flat,2,32,0.6565,0.8322,0.6925,0.1955
all_flat,3,1,0.6764,0.7452,0.4437,0.1579
all_flat,3,2,0.6721,0.7619,0.4946,0.1702
all_flat,3,3,0.6704,0.7725,0.5024,0.1731
all_flat,3,4,0.6692,0.7805,0.5254,0.18
all_flat,3,5,0.6682,0.7872,0.5569,0.1881
all_flat,3,6,0.6673,0.7921,0.5734,0.1929
all_flat,3,7,0.6667,0.7946,0.5809,0.1955
all_flat,3,8,0.6661,0.7981,0.5836,0.1967
all_flat,3,9,0.6656,0.8022,0.5961,0.2024
all_flat,3,10,0.6651,0.8036,0.5912,0.1994
all_flat,3,11,0.6647,0.8065,0.5839,0.198
all_flat,3,12,0.6643,0.8075,0.605,0.2052
all_flat,3,13,0.664,0.8113,0.6092,0.2061
all_flat,3,14,0.6637,0.813,0.6318,0.2146
all_flat,3,15,0.6635,0.8146,0.6239,0.2119
all_flat,3,16,0.6633,0.8163,0.6293,0.2143
all_flat,3,17,0.663,0.8183,0.6482,0.2225
all_flat,3,18,0.6629,0.8189,0.6468,0.2219
all_flat,3,19,0.6627,0.8198,0.6544,0.2247
all_flat,3,20,0.6624,0.8219,0.6574,0.2266
all_flat,3,21,0.6624,0.821,0.6619,0.2274
all_flat,3,22,0.6622,0.8242,0.6554,0.2254
all_flat,3,23,0.662,0.8237,0.672,0.2333
all_flat,3,24,0.662,0.8258,0.6772,0.2351
all_flat,3,25,0.6618,0.8262,0.691,0.2416
all_flat,3,26,0.6617,0.8275,0.664,0.2298
all_flat,3,27,0.6616,0.8284,0.6672,0.231
all_flat,3,28,0.6615,0.8287,0.678,0.2346
all_flat,3,29,0.6614,0.8283,0.6747,0.2344
all_flat,3,30,0.6613,0.8309,0.6922,0.2422
all_flat,3,31,0.6613,0.8299,0.674,0.2333
all_flat,3,32,0.6612,0.8308,0.6867,0.2403
all_flat,3,33,0.6611,0.8328,0.6907,0.2423
all_flat,3,34,0.6611,0.8317,0.6933,0.2432
all_flat,3,35,0.661,0.832,0.6902,0.2408
all_flat,3,36,0.6609,0.8353,0.6881,0.2393
all_flat,3,37,0.6609,0.8339,0.699,0.2457
all_flat,3,38,0.6609,0.8323,0.6985,0.2444
all_flat,3,39,0.6608,0.8373,0.6921,0.2426
all_flat,3,40,0.6606,0.8351,0.7047,0.2477
all_flat,3,41,0.6607,0.8344,0.6945,0.2445
all_flat,3,42,0.6606,0.8357,0.6926,0.2426
all_flat,3,43,0.6606,0.8351,0.7026,0.2471
all_flat,3,44,0.6606,0.8364,0.6882,0.2412
all_flat,3,45,0.6605,0.8372,0.7107,0.2503
all_flat,3,46,0.6604,0.8373,0.7054,0.2478
all_flat,3,47,0.6605,0.8355,0.7064,0.2502
all_flat,3,48,0.6604,0.8385,0.7187,0.2551
all_flat,3,49,0.6604,0.8391,0.7045,0.2478
all_flat,3,50,0.6604,0.8382,0.7112,0.2522
all_flat,4,1,0.6776,0.7803,0.5823,0.1829
all_flat,4,2,0.6738,0.788,0.6406,0.2025
all_flat,4,3,0.672,0.7913,0.6668,0.2146
all_flat,4,4,0.6708,0.7953,0.6588,0.2174
all_flat,4,5,0.6699,0.7968,0.6685,0.223
all_flat,4,6,0.669,0.7974,0.6776,0.2299
all_flat,4,7,0.6684,0.7993,0.6882,0.2354
all_flat,4,8,0.6676,0.8045,0.6942,0.2407
all_flat,4,9,0.6671,0.8078,0.6808,0.2365
all_flat,4,10,0.6666,0.8084,0.6934,0.244
all_flat,4,11,0.6661,0.8131,0.723,0.2597
all_flat,4,12,0.6657,0.8124,0.7191,0.2587
all_flat,4,13,0.6652,0.8177,0.7163,0.2591
all_flat,4,14,0.6651,0.8175,0.7171,0.2587
all_flat,4,15,0.6647,0.8191,0.7041,0.2562
all_flat,4,16,0.6644,0.8215,0.7334,0.2691
all_flat,4,17,0.6643,0.8236,0.7431,0.2765
all_flat,4,18,0.664,0.8236,0.7168,0.2634
all_flat,4,19,0.6638,0.8242,0.7354,0.2721
all_flat,4,20,0.6637,0.8266,0.7356,0.2732
all_flat,4,21,0.6636,0.8258,0.7271,0.2701
all_flat,4,22,0.6635,0.828,0.7443,0.28
all_flat,4,23,0.6633,0.8284,0.7446,0.28
all_flat,4,24,0.6632,0.8287,0.7327,0.2739
all_flat,4,25,0.6631,0.8305,0.743,0.2796
all_flat,4,26,0.663,0.831,0.7381,0.2766
all_flat,4,27,0.6628,0.8315,0.7313,0.2747
all_flat,4,28,0.6627,0.8342,0.7303,0.2742
