config_id,fold,epoch,train_loss,train_acc,val_acc,f1_score
Adam_lr1e-02_bs512,0,1,0.5922,0.8687,0.9113,0.3955
Adam_lr1e-02_bs512,0,2,0.512,0.9421,0.9223,0.4281
Adam_lr1e-02_bs512,0,3,0.475,0.9507,0.9242,0.4493
Adam_lr1e-02_bs512,0,4,0.4521,0.9545,0.9274,0.4591
Adam_lr1e-02_bs512,0,5,0.4334,0.9574,0.9302,0.4711
Adam_lr1e-02_bs512,0,6,0.4191,0.9594,0.9304,0.4749
Adam_lr1e-02_bs512,0,7,0.4078,0.9608,0.9327,0.4875
Adam_lr1e-02_bs512,0,8,0.3981,0.9619,0.9329,0.4947
Adam_lr1e-02_bs512,0,9,0.3898,0.963,0.9344,0.4958
Adam_lr1e-02_bs512,0,10,0.3826,0.9639,0.9323,0.4989
Adam_lr1e-02_bs512,0,11,0.376,0.9646,0.9348,0.5034
Adam_lr1e-02_bs512,0,12,0.3709,0.9651,0.9336,0.5052
Adam_lr1e-02_bs512,0,13,0.3659,0.9657,0.9331,0.5086
Adam_lr1e-02_bs512,0,14,0.3613,0.9662,0.9326,0.5089
Adam_lr1e-02_bs512,0,15,0.3571,0.9666,0.9351,0.5155
Adam_lr1e-02_bs512,0,16,0.3533,0.9671,0.9355,0.5188
Adam_lr1e-02_bs512,0,17,0.3498,0.9674,0.9358,0.5212
Adam_lr1e-02_bs512,0,18,0.3452,0.9679,0.9358,0.5231
Adam_lr1e-02_bs512,0,19,0.3427,0.9682,0.9372,0.5271
Adam_lr1e-02_bs512,0,20,0.3399,0.9684,0.9348,0.523
Adam_lr1e-02_bs512,0,21,0.3377,0.9686,0.9359,0.5297
Adam_lr1e-02_bs512,0,22,0.3359,0.969,0.934,0.5261
Adam_lr1e-02_bs512,0,23,0.332,0.9691,0.9351,0.5312
Adam_lr1e-02_bs512,0,24,0.3291,0.9695,0.9367,0.528
Adam_lr1e-02_bs512,0,25,0.3274,0.9697,0.9373,0.5388
Adam_lr1e-02_bs512,0,26,0.3262,0.9696,0.9371,0.5359
Adam_lr1e-02_bs512,0,27,0.3238,0.9699,0.9349,0.5325
Adam_lr1e-02_bs512,0,28,0.3224,0.9701,0.9364,0.5365
Adam_lr1e-02_bs512,0,29,0.3202,0.9704,0.9359,0.5369
Adam_lr1e-02_bs512,0,30,0.3191,0.9704,0.9361,0.5328
Adam_lr1e-02_bs512,1,1,0.58,0.8646,0.9085,0.3264
Adam_lr1e-02_bs512,1,2,0.4969,0.9383,0.9331,0.3915
Adam_lr1e-02_bs512,1,3,0.4611,0.9471,0.9372,0.4209
Adam_lr1e-02_bs512,1,4,0.4381,0.9511,0.9469,0.4548
Adam_lr1e-02_bs512,1,5,0.4198,0.9548,0.9478,0.46
Adam_lr1e-02_bs512,1,6,0.4052,0.9569,0.9461,0.4666
