config_id,fold,epoch,train_loss,train_acc,val_acc,f1_score
Dice0.3_Focal0.7,0,1,0.3563,0.6697,0.7656,0.2489
Dice0.3_Focal0.7,0,2,0.3233,0.8039,0.7912,0.2812
Dice0.3_Focal0.7,0,3,0.3075,0.8433,0.8307,0.3156
Dice0.3_Focal0.7,0,4,0.2958,0.8675,0.8311,0.3195
Dice0.3_Focal0.7,0,5,0.287,0.8844,0.8556,0.3448
Dice0.3_Focal0.7,0,6,0.2793,0.8959,0.8688,0.3627
Dice0.3_Focal0.7,0,7,0.2722,0.9048,0.8843,0.3844
Dice0.3_Focal0.7,0,8,0.2663,0.9117,0.9006,0.4139
Dice0.3_Focal0.7,0,9,0.2607,0.9181,0.889,0.3982
Dice0.3_Focal0.7,0,10,0.2564,0.9217,0.8979,0.4099
Dice0.3_Focal0.7,0,11,0.2519,0.9255,0.8953,0.4071
Dice0.3_Focal0.7,0,12,0.2469,0.9288,0.8977,0.4112
Dice0.3_Focal0.7,0,13,0.2448,0.9308,0.912,0.4386
Dice0.3_Focal0.7,0,14,0.2412,0.9337,0.9061,0.4286
Dice0.3_Focal0.7,0,15,0.2379,0.9352,0.9109,0.4425
Dice0.3_Focal0.7,0,16,0.2355,0.9373,0.9137,0.4456
Dice0.3_Focal0.7,0,17,0.2327,0.9386,0.9054,0.4316
Dice0.3_Focal0.7,0,18,0.2298,0.94,0.903,0.426
Dice0.3_Focal0.7,0,19,0.2277,0.9414,0.9085,0.4377
Dice0.3_Focal0.7,0,20,0.2256,0.9426,0.9126,0.4464
Dice0.3_Focal0.7,0,21,0.2235,0.9429,0.9115,0.4443
Dice0.3_Focal0.7,0,22,0.2222,0.9442,0.9058,0.433
Dice0.3_Focal0.7,0,23,0.2197,0.9451,0.9158,0.4551
Dice0.3_Focal0.7,0,24,0.2176,0.9465,0.9156,0.4527
Dice0.3_Focal0.7,0,25,0.2173,0.9466,0.9154,0.4536
Dice0.3_Focal0.7,0,26,0.2147,0.948,0.9156,0.4542
Dice0.3_Focal0.7,0,27,0.2136,0.9481,0.9092,0.441
Dice0.3_Focal0.7,0,28,0.2123,0.9488,0.9141,0.4516
Dice0.3_Focal0.7,1,1,0.3603,0.6562,0.7186,0.2337
Dice0.3_Focal0.7,1,2,0.329,0.7947,0.7921,0.2823
Dice0.3_Focal0.7,1,3,0.3143,0.8361,0.8188,0.3059
Dice0.3_Focal0.7,1,4,0.3032,0.8602,0.8484,0.3354
Dice0.3_Focal0.7,1,5,0.2944,0.8782,0.8596,0.3467
Dice0.3_Focal0.7,1,6,0.2869,0.8915,0.8653,0.3583
Dice0.3_Focal0.7,1,7,0.2805,0.901,0.8806,0.3772
Dice0.3_Focal0.7,1,8,0.2742,0.9096,0.8835,0.3843
Dice0.3_Focal0.7,1,9,0.269,0.9155,0.8935,0.397
Dice0.3_Focal0.7,1,10,0.2645,0.921,0.8965,0.4003
Dice0.3_Focal0.7,1,11,0.2601,0.9251,0.8896,0.3951
Dice0.3_Focal0.7,1,12,0.256,0.9282,0.9013,0.4133
Dice0.3_Focal0.7,1,13,0.2526,0.9309,0.9046,0.4172
Dice0.3_Focal0.7,1,14,0.249,0.9332,0.9014,0.4097
Dice0.3_Focal0.7,1,15,0.2454,0.9362,0.9009,0.4135
Dice0.3_Focal0.7,1,16,0.2431,0.9382,0.9084,0.4256
Dice0.3_Focal0.7,1,17,0.2401,0.9398,0.9069,0.4231
Dice0.3_Focal0.7,1,18,0.2384,0.9408,0.9114,0.432
Dice0.3_Focal0.7,1,19,0.2347,0.9424,0.9061,0.4229
Dice0.3_Focal0.7,1,20,0.2327,0.9426,0.909,0.428
Dice0.3_Focal0.7,1,21,0.2308,0.9442,0.9126,0.434
Dice0.3_Focal0.7,1,22,0.2289,0.9452,0.9099,0.4293
Dice0.3_Focal0.7,1,23,0.2266,0.9462,0.9118,0.4324
Dice0.3_Focal0.7,1,24,0.2253,0.9467,0.9176,0.4447
Dice0.3_Focal0.7,1,25,0.2239,0.9473,0.9126,0.436
Dice0.3_Focal0.7,1,26,0.222,0.9481,0.9089,0.4295
Dice0.3_Focal0.7,1,27,0.2208,0.9485,0.913,0.4347
Dice0.3_Focal0.7,1,28,0.2191,0.9496,0.9132,0.4371
Dice0.3_Focal0.7,1,29,0.2173,0.9507,0.9137,0.4394
