config_id,fold,epoch,train_loss,train_acc,val_acc,f1_score
FocalLoss,0,1,0.0123,0.9458,0.9451,0.2792
FocalLoss,0,2,0.0101,0.9546,0.9493,0.3597
FocalLoss,0,3,0.0092,0.9582,0.9511,0.4058
FocalLoss,0,4,0.0087,0.9602,0.9512,0.4212
FocalLoss,0,5,0.0083,0.9615,0.9519,0.4317
FocalLoss,0,6,0.008,0.9629,0.9516,0.4507
FocalLoss,0,7,0.0077,0.9637,0.9534,0.4625
FocalLoss,0,8,0.0075,0.9649,0.9534,0.4715
FocalLoss,0,9,0.0073,0.9653,0.9528,0.4809
FocalLoss,0,10,0.0072,0.966,0.9538,0.4871
FocalLoss,0,11,0.007,0.9666,0.9534,0.4965
FocalLoss,0,12,0.0069,0.9671,0.9534,0.5024
FocalLoss,0,13,0.0068,0.9674,0.9527,0.5038
FocalLoss,0,14,0.0067,0.968,0.9539,0.5088
FocalLoss,0,15,0.0066,0.9682,0.9538,0.5105
FocalLoss,0,16,0.0065,0.9686,0.9535,0.5154
FocalLoss,0,17,0.0064,0.969,0.9544,0.5125
FocalLoss,0,18,0.0063,0.9693,0.9542,0.5124
FocalLoss,0,19,0.0063,0.9695,0.9535,0.5218
FocalLoss,0,20,0.0062,0.9697,0.9542,0.5211
FocalLoss,0,21,0.0062,0.9699,0.9537,0.5209
FocalLoss,0,22,0.0061,0.9703,0.9534,0.518
FocalLoss,0,23,0.0061,0.9703,0.9539,0.5187
FocalLoss,0,24,0.006,0.9705,0.9539,0.5271
FocalLoss,0,25,0.006,0.9707,0.9532,0.5229
FocalLoss,0,26,0.0059,0.9708,0.9543,0.5234
FocalLoss,0,27,0.0059,0.971,0.953,0.5224
FocalLoss,0,28,0.0059,0.9712,0.9545,0.5258
FocalLoss,0,29,0.0058,0.9713,0.9536,0.5206
FocalLoss,1,1,0.0119,0.9487,0.9447,0.3114
FocalLoss,1,2,0.0099,0.9561,0.9445,0.3697
FocalLoss,1,3,0.009,0.9595,0.9464,0.3823
FocalLoss,1,4,0.0085,0.9617,0.9473,0.4102
FocalLoss,1,5,0.0081,0.9632,0.9468,0.4235
FocalLoss,1,6,0.0078,0.9644,0.9487,0.4272
FocalLoss,1,7,0.0076,0.9652,0.9496,0.4356
FocalLoss,1,8,0.0073,0.9662,0.9488,0.4549
FocalLoss,1,9,0.0072,0.9669,0.9481,0.453
FocalLoss,1,10,0.007,0.9674,0.9489,0.4623
FocalLoss,1,11,0.0069,0.9681,0.9477,0.4643
FocalLoss,1,12,0.0068,0.9684,0.9485,0.468
FocalLoss,1,13,0.0066,0.9688,0.9483,0.4693
FocalLoss,1,14,0.0066,0.969,0.9491,0.47
FocalLoss,1,15,0.0065,0.9695,0.9473,0.4726
FocalLoss,1,16,0.0064,0.9698,0.947,0.4753
FocalLoss,1,17,0.0063,0.9701,0.9475,0.4793
FocalLoss,1,18,0.0062,0.9704,0.948,0.4777
FocalLoss,1,19,0.0062,0.9708,0.9484,0.479
FocalLoss,1,20,0.0061,0.9708,0.9494,0.4765
FocalLoss,1,21,0.0061,0.971,0.9481,0.4813
FocalLoss,1,22,0.006,0.9712,0.9485,0.4798
FocalLoss,1,23,0.006,0.9715,0.9495,0.4868
FocalLoss,1,24,0.0059,0.9717,0.9489,0.4848
FocalLoss,1,25,0.0059,0.9719,0.9485,0.4846
FocalLoss,1,26,0.0058,0.9719,0.9472,0.4838
FocalLoss,1,27,0.0058,0.9721,0.9488,0.491
FocalLoss,1,28,0.0058,0.9722,0.9487,0.4896
FocalLoss,1,29,0.0057,0.9724,0.9493,0.4929
FocalLoss,1,30,0.0057,0.9724,0.9492,0.4903
FocalLoss,1,31,0.0057,0.9727,0.9486,0.485
FocalLoss,1,32,0.0056,0.9728,0.9495,0.4904
FocalLoss,1,33,0.0056,0.9728,0.9497,0.4933
FocalLoss,1,34,0.0056,0.9729,0.949,0.4888
FocalLoss,1,35,0.0055,0.9731,0.9488,0.4862
FocalLoss,1,36,0.0055,0.9731,0.9494,0.493
FocalLoss,1,37,0.0055,0.9732,0.9486,0.4925
FocalLoss,1,38,0.0055,0.9733,0.9501,0.4943
FocalLoss,1,39,0.0055,0.9733,0.9491,0.4904
FocalLoss,1,40,0.0054,0.9735,0.9497,0.4911
FocalLoss,1,41,0.0054,0.9736,0.9497,0.489
FocalLoss,1,42,0.0054,0.9737,0.9484,0.4887
FocalLoss,1,43,0.0054,0.9738,0.9494,0.4923
