config_id,fold,epoch,train_loss,train_acc,val_acc,f1_score
RMSprop_lr1e-04_bs512,0,1,0.608,0.8533,0.8672,0.3438
RMSprop_lr1e-04_bs512,0,2,0.5423,0.9374,0.8506,0.3386
RMSprop_lr1e-04_bs512,0,3,0.5169,0.9452,0.8648,0.3672
RMSprop_lr1e-04_bs512,0,4,0.501,0.9493,0.8723,0.3787
RMSprop_lr1e-04_bs512,0,5,0.4919,0.9514,0.8502,0.357
RMSprop_lr1e-04_bs512,0,6,0.4857,0.9527,0.841,0.3433
RMSprop_lr1e-04_bs512,0,7,0.4831,0.9534,0.8409,0.3448
RMSprop_lr1e-04_bs512,0,8,0.4794,0.9544,0.8414,0.3453
RMSprop_lr1e-04_bs512,0,9,0.4771,0.9548,0.8172,0.3222
RMSprop_lr1e-04_bs512,1,1,0.5976,0.849,0.8874,0.2895
RMSprop_lr1e-04_bs512,1,2,0.5253,0.9337,0.8749,0.2988
RMSprop_lr1e-04_bs512,1,3,0.4971,0.9421,0.8843,0.3172
RMSprop_lr1e-04_bs512,1,4,0.4818,0.9458,0.8796,0.3153
RMSprop_lr1e-04_bs512,1,5,0.4704,0.9484,0.8581,0.2914
RMSprop_lr1e-04_bs512,1,6,0.4628,0.9501,0.8565,0.2886
RMSprop_lr1e-04_bs512,1,7,0.4597,0.9511,0.861,0.2943
RMSprop_lr1e-04_bs512,1,8,0.456,0.9519,0.8722,0.3072
RMSprop_lr1e-04_bs512,2,1,0.5995,0.8435,0.8733,0.2963
RMSprop_lr1e-04_bs512,2,2,0.5297,0.9315,0.8623,0.2889
RMSprop_lr1e-04_bs512,2,3,0.5026,0.9406,0.8336,0.2642
RMSprop_lr1e-04_bs512,2,4,0.4861,0.9443,0.8469,0.2772
RMSprop_lr1e-04_bs512,2,5,0.4768,0.9469,0.8208,0.2545
RMSprop_lr1e-04_bs512,2,6,0.4708,0.9485,0.8329,0.2668
RMSprop_lr1e-04_bs512,3,1,0.6051,0.8377,0.8571,0.3516
RMSprop_lr1e-04_bs512,3,2,0.5339,0.9327,0.8505,0.346
RMSprop_lr1e-04_bs512,3,3,0.509,0.942,0.8448,0.3464
RMSprop_lr1e-04_bs512,3,4,0.4963,0.9456,0.814,0.3169
RMSprop_lr1e-04_bs512,3,5,0.4867,0.9482,0.8363,0.3408
RMSprop_lr1e-04_bs512,3,6,0.4802,0.9497,0.8122,0.3165
RMSprop_lr1e-04_bs512,4,1,0.6111,0.8394,0.858,0.3544
RMSprop_lr1e-04_bs512,4,2,0.5426,0.9341,0.869,0.375
RMSprop_lr1e-04_bs512,4,3,0.5171,0.9437,0.8684,0.3778
RMSprop_lr1e-04_bs512,4,4,0.5014,0.9479,0.8623,0.3725
RMSprop_lr1e-04_bs512,4,5,0.4911,0.9501,0.8454,0.3552
RMSprop_lr1e-04_bs512,4,6,0.4846,0.9515,0.8437,0.3553
RMSprop_lr1e-04_bs512,4,7,0.4804,0.9526,0.8405,0.3522
RMSprop_lr1e-04_bs512,4,8,0.4767,0.9535,0.8257,0.3348
