config_id,fold,epoch,train_loss,train_acc,val_acc,f1_score
2d_grouped_muster_bslract,0,1,0.5373,0.9174,0.9287,0.4912
2d_grouped_muster_bslract,0,2,0.421,0.9588,0.9367,0.5285
2d_grouped_muster_bslract,0,3,0.3743,0.965,0.9378,0.5326
2d_grouped_muster_bslract,0,4,0.3491,0.9682,0.9387,0.5335
2d_grouped_muster_bslract,0,5,0.3305,0.97,0.9385,0.544
2d_grouped_muster_bslract,0,6,0.3177,0.9713,0.9383,0.5452
2d_grouped_muster_bslract,0,7,0.3074,0.9723,0.9378,0.5472
2d_grouped_muster_bslract,0,8,0.2999,0.9729,0.9378,0.5472
2d_grouped_muster_bslract,0,9,0.2918,0.9737,0.9402,0.5473
2d_grouped_muster_bslract,0,10,0.2864,0.9743,0.938,0.5355
2d_grouped_muster_bslract,0,11,0.2809,0.9748,0.9395,0.5346
2d_grouped_muster_bslract,0,12,0.2759,0.9752,0.94,0.5498
2d_grouped_muster_bslract,0,13,0.2722,0.9756,0.9385,0.5435
2d_grouped_muster_bslract,0,14,0.2681,0.976,0.94,0.5399
2d_grouped_muster_bslract,0,15,0.2662,0.9761,0.9392,0.5555
2d_grouped_muster_bslract,0,16,0.263,0.9764,0.9403,0.5441
2d_grouped_muster_bslract,0,17,0.2592,0.9768,0.9386,0.5471
2d_grouped_muster_bslract,0,18,0.2581,0.9768,0.9402,0.5499
2d_grouped_muster_bslract,0,19,0.2554,0.9772,0.9389,0.55
2d_grouped_muster_bslract,0,20,0.254,0.9773,0.9409,0.5441
2d_grouped_muster_bslract,1,1,0.5161,0.92,0.9499,0.4421
2d_grouped_muster_bslract,1,2,0.4035,0.9568,0.954,0.4918
2d_grouped_muster_bslract,1,3,0.3591,0.9632,0.9543,0.5065
2d_grouped_muster_bslract,1,4,0.3327,0.9664,0.9561,0.5077
2d_grouped_muster_bslract,1,5,0.3156,0.9683,0.956,0.5293
2d_grouped_muster_bslract,1,6,0.303,0.9699,0.9537,0.5204
2d_grouped_muster_bslract,1,7,0.2927,0.9708,0.957,0.5233
2d_grouped_muster_bslract,1,8,0.2844,0.9717,0.9561,0.5261
2d_grouped_muster_bslract,1,9,0.2788,0.9724,0.9575,0.5391
2d_grouped_muster_bslract,1,10,0.2732,0.9728,0.9576,0.5283
2d_grouped_muster_bslract,1,11,0.267,0.9735,0.9586,0.5369
2d_grouped_muster_bslract,1,12,0.2641,0.9738,0.9582,0.537
2d_grouped_muster_bslract,1,13,0.2594,0.9743,0.9578,0.5308
2d_grouped_muster_bslract,1,14,0.2558,0.9747,0.9582,0.5394
2d_grouped_muster_bslract,1,15,0.2523,0.9749,0.9578,0.5407
2d_grouped_muster_bslract,1,16,0.2502,0.9753,0.9606,0.5459
2d_grouped_muster_bslract,1,17,0.2472,0.9755,0.9602,0.5433
2d_grouped_muster_bslract,1,18,0.2453,0.9758,0.9594,0.5395
2d_grouped_muster_bslract,1,19,0.2436,0.9759,0.9582,0.5353
2d_grouped_muster_bslract,1,20,0.2418,0.9761,0.9586,0.5374
2d_grouped_muster_bslract,1,21,0.24,0.9763,0.9611,0.5519
2d_grouped_muster_bslract,1,22,0.2373,0.9766,0.9593,0.542
2d_grouped_muster_bslract,1,23,0.2367,0.9766,0.9595,0.548
2d_grouped_muster_bslract,1,24,0.2349,0.9769,0.9586,0.541
2d_grouped_muster_bslract,1,25,0.2327,0.9771,0.9596,0.5446
2d_grouped_muster_bslract,1,26,0.232,0.977,0.9571,0.5359
2d_grouped_muster_bslract,2,1,0.5227,0.9156,0.9473,0.4886
2d_grouped_muster_bslract,2,2,0.4077,0.9559,0.9569,0.5156
2d_grouped_muster_bslract,2,3,0.3622,0.9627,0.9522,0.5023
2d_grouped_muster_bslract,2,4,0.3358,0.966,0.9496,0.5068
2d_grouped_muster_bslract,2,5,0.3191,0.968,0.954,0.5143
2d_grouped_muster_bslract,2,6,0.3056,0.9697,0.9562,0.5277
2d_grouped_muster_bslract,2,7,0.296,0.9708,0.9573,0.5289
2d_grouped_muster_bslract,2,8,0.288,0.9713,0.954,0.5286
2d_grouped_muster_bslract,2,9,0.2805,0.9723,0.9562,0.5397
2d_grouped_muster_bslract,2,10,0.2758,0.9728,0.956,0.5383
