config_id,fold,epoch,train_loss,train_acc,val_acc,f1_score
2d_grouped_muster_sampler_nopos,0,1,0.1104,0.9006,0.9088,0.502
2d_grouped_muster_sampler_nopos,0,2,0.0746,0.9356,0.9128,0.5094
2d_grouped_muster_sampler_nopos,0,3,0.0657,0.9438,0.9174,0.5221
2d_grouped_muster_sampler_nopos,0,4,0.0609,0.9479,0.9207,0.5223
2d_grouped_muster_sampler_nopos,0,5,0.058,0.9506,0.9161,0.5151
2d_grouped_muster_sampler_nopos,0,6,0.0561,0.9523,0.9174,0.5115
2d_grouped_muster_sampler_nopos,0,7,0.0544,0.9539,0.9174,0.518
2d_grouped_muster_sampler_nopos,0,8,0.0533,0.9548,0.9222,0.5271
2d_grouped_muster_sampler_nopos,0,9,0.0525,0.9555,0.9197,0.5223
2d_grouped_muster_sampler_nopos,0,10,0.0515,0.9563,0.9204,0.5209
2d_grouped_muster_sampler_nopos,0,11,0.0509,0.9569,0.9216,0.5233
2d_grouped_muster_sampler_nopos,0,12,0.0504,0.9573,0.9145,0.5142
2d_grouped_muster_sampler_nopos,0,13,0.0499,0.9578,0.9189,0.5206
2d_grouped_muster_sampler_nopos,1,1,0.1128,0.8984,0.927,0.4522
2d_grouped_muster_sampler_nopos,1,2,0.0768,0.9337,0.9313,0.4696
2d_grouped_muster_sampler_nopos,1,3,0.0674,0.9422,0.9379,0.4892
2d_grouped_muster_sampler_nopos,1,4,0.0625,0.9466,0.933,0.4739
2d_grouped_muster_sampler_nopos,1,5,0.0596,0.9491,0.9349,0.4801
2d_grouped_muster_sampler_nopos,1,6,0.0573,0.9511,0.934,0.4773
2d_grouped_muster_sampler_nopos,1,7,0.0556,0.9529,0.9394,0.4918
2d_grouped_muster_sampler_nopos,1,8,0.0546,0.9536,0.9381,0.4889
2d_grouped_muster_sampler_nopos,1,9,0.0536,0.9545,0.9364,0.4826
2d_grouped_muster_sampler_nopos,1,10,0.0527,0.9554,0.9408,0.4978
2d_grouped_muster_sampler_nopos,1,11,0.052,0.956,0.9401,0.4986
2d_grouped_muster_sampler_nopos,1,12,0.0516,0.9564,0.9389,0.4966
2d_grouped_muster_sampler_nopos,1,13,0.0507,0.9572,0.9413,0.4976
2d_grouped_muster_sampler_nopos,1,14,0.0504,0.9575,0.9421,0.5027
2d_grouped_muster_sampler_nopos,1,15,0.0502,0.9576,0.9373,0.4851
2d_grouped_muster_sampler_nopos,1,16,0.0496,0.9582,0.9428,0.5047
2d_grouped_muster_sampler_nopos,1,17,0.0494,0.9583,0.94,0.4966
2d_grouped_muster_sampler_nopos,1,18,0.049,0.9587,0.9431,0.5042
2d_grouped_muster_sampler_nopos,1,19,0.0489,0.9588,0.9431,0.5058
2d_grouped_muster_sampler_nopos,1,20,0.0488,0.9588,0.9398,0.4967
2d_grouped_muster_sampler_nopos,1,21,0.0483,0.9593,0.942,0.5047
2d_grouped_muster_sampler_nopos,1,22,0.0483,0.9592,0.9386,0.4913
2d_grouped_muster_sampler_nopos,1,23,0.0483,0.9594,0.9396,0.4954
2d_grouped_muster_sampler_nopos,1,24,0.048,0.9595,0.9404,0.502
