config_id,fold,epoch,train_loss,train_acc,val_acc,f1_score
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning,0,1,0.5339,0.9286,0.9264,0.467
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning,0,2,0.4288,0.9615,0.9314,0.5054
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning,0,3,0.3846,0.9669,0.9333,0.5122
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning,0,4,0.3582,0.9696,0.9368,0.5267
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning,0,5,0.3412,0.9715,0.935,0.5247
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning,0,6,0.3285,0.9727,0.933,0.5186
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning,0,7,0.3176,0.9736,0.935,0.5334
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning,0,8,0.3092,0.9745,0.937,0.5279
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning,0,9,0.3014,0.9753,0.9349,0.5329
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning,0,10,0.2971,0.9759,0.937,0.5393
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning,0,11,0.2895,0.9765,0.9385,0.5442
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning,0,12,0.2859,0.9769,0.9345,0.5383
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning,0,13,0.2812,0.9772,0.9366,0.5366
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning,0,14,0.2777,0.9776,0.9359,0.5445
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning,0,15,0.2733,0.978,0.9394,0.5482
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning,0,16,0.2698,0.9782,0.9385,0.5514
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning,0,17,0.2664,0.9786,0.9401,0.5477
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning,0,18,0.2636,0.9789,0.9372,0.5452
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning,0,19,0.2606,0.9793,0.9387,0.5488
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning,0,20,0.2583,0.9794,0.9372,0.5454
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning,0,21,0.2565,0.9797,0.937,0.5406
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning,1,1,0.5166,0.9275,0.9455,0.4099
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning,1,2,0.4108,0.959,0.9528,0.45
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning,1,3,0.3685,0.9649,0.9541,0.4641
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning,1,4,0.344,0.9677,0.9562,0.464
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning,1,5,0.3257,0.9697,0.9578,0.4847
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning,1,6,0.3125,0.9711,0.9562,0.4893
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning,1,7,0.304,0.9722,0.9556,0.4929
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning,1,8,0.2972,0.9728,0.9564,0.5094
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning,1,9,0.2878,0.9739,0.9559,0.49
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning,1,10,0.2833,0.9742,0.9584,0.5044
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning,1,11,0.2771,0.9749,0.9567,0.4963
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning,1,12,0.2727,0.9754,0.9562,0.5056
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning,1,13,0.2683,0.9759,0.9559,0.4952
2d_grouped_strong_augmentation_no_sampler_treshhold_tuning,2,1,0.5171,0.9258,0.9549,0.4529
