config_id,fold,epoch,train_loss,train_acc,val_acc,f1_score
grouped_features,0,1,0.6315,0.8511,0.9006,0.4224
grouped_features,0,2,0.5389,0.9394,0.9174,0.476
grouped_features,0,3,0.485,0.9523,0.925,0.4976
grouped_features,0,4,0.4487,0.9579,0.9313,0.5159
grouped_features,0,5,0.4206,0.9618,0.9323,0.5237
grouped_features,0,6,0.3989,0.9645,0.9329,0.5385
grouped_features,0,7,0.3813,0.9665,0.9355,0.5322
grouped_features,0,8,0.3664,0.9679,0.9391,0.537
grouped_features,0,9,0.3548,0.9692,0.9367,0.5429
grouped_features,0,10,0.3437,0.9703,0.9369,0.5493
grouped_features,0,11,0.3336,0.9712,0.9393,0.5479
grouped_features,0,12,0.325,0.972,0.9367,0.5495
grouped_features,0,13,0.3186,0.9726,0.9365,0.5462
grouped_features,0,14,0.3121,0.9733,0.939,0.5456
grouped_features,0,15,0.3066,0.9737,0.9372,0.5547
grouped_features,0,16,0.3013,0.9741,0.9391,0.5548
grouped_features,0,17,0.2967,0.9746,0.9392,0.5535
grouped_features,0,18,0.2933,0.9748,0.9389,0.5496
grouped_features,0,19,0.2889,0.9752,0.9387,0.549
grouped_features,0,20,0.2842,0.9757,0.9396,0.5518
grouped_features,0,21,0.2819,0.9758,0.9392,0.5523
grouped_features,1,1,0.6134,0.8561,0.9162,0.3463
grouped_features,1,2,0.5213,0.9387,0.9316,0.405
grouped_features,1,3,0.468,0.9504,0.9421,0.4424
grouped_features,1,4,0.4306,0.9562,0.9448,0.4657
grouped_features,1,5,0.4045,0.9597,0.948,0.4787
grouped_features,1,6,0.3836,0.9623,0.948,0.4917
grouped_features,1,7,0.3657,0.9644,0.9453,0.4868
grouped_features,1,8,0.3518,0.9661,0.9533,0.5136
grouped_features,1,9,0.3395,0.9674,0.9553,0.5227
grouped_features,1,10,0.3295,0.9684,0.9567,0.5325
grouped_features,1,11,0.319,0.9696,0.9564,0.5318
grouped_features,1,12,0.311,0.9704,0.9586,0.5321
grouped_features,1,13,0.305,0.9711,0.9556,0.53
grouped_features,1,14,0.2981,0.9718,0.9574,0.5352
grouped_features,1,15,0.2938,0.9721,0.9575,0.5453
grouped_features,1,16,0.2887,0.9728,0.9591,0.5471
grouped_features,1,17,0.2839,0.9732,0.959,0.5444
grouped_features,1,18,0.2797,0.9736,0.9597,0.549
grouped_features,1,19,0.2766,0.9739,0.9592,0.5466
grouped_features,1,20,0.272,0.9743,0.9601,0.5541
grouped_features,1,21,0.27,0.9744,0.9601,0.55
grouped_features,1,22,0.2671,0.9745,0.959,0.549
grouped_features,1,23,0.2654,0.9748,0.9599,0.5506
