config_id,fold,epoch,train_loss,train_acc,val_acc,f1_score
temporal_flat,0,1,0.6818,0.747,0.7684,0.2149
temporal_flat,0,2,0.6772,0.7641,0.7686,0.2278
temporal_flat,0,3,0.6754,0.7751,0.7751,0.2348
temporal_flat,0,4,0.6745,0.781,0.7753,0.2416
temporal_flat,0,5,0.6736,0.7866,0.7883,0.2509
temporal_flat,0,6,0.6731,0.7865,0.7822,0.253
temporal_flat,0,7,0.6726,0.7901,0.7824,0.2536
temporal_flat,0,8,0.6722,0.793,0.7846,0.2575
temporal_flat,0,9,0.6718,0.7939,0.7927,0.2631
temporal_flat,0,10,0.6716,0.7969,0.7932,0.2679
temporal_flat,0,11,0.6714,0.7968,0.7944,0.2663
temporal_flat,0,12,0.6711,0.7987,0.791,0.2654
temporal_flat,0,13,0.671,0.7997,0.7888,0.2671
temporal_flat,0,14,0.6707,0.8025,0.8059,0.2762
temporal_flat,0,15,0.6706,0.8006,0.8005,0.2745
temporal_flat,0,16,0.6704,0.8023,0.8031,0.2779
temporal_flat,0,17,0.6703,0.8023,0.8015,0.2781
temporal_flat,0,18,0.6701,0.8036,0.8073,0.2804
temporal_flat,0,19,0.6701,0.8052,0.8006,0.2768
temporal_flat,0,20,0.6699,0.8051,0.8065,0.278
temporal_flat,0,21,0.6698,0.8059,0.7997,0.2766
temporal_flat,0,22,0.6698,0.8055,0.7998,0.2776
temporal_flat,0,23,0.6697,0.8064,0.7965,0.2762
temporal_flat,1,1,0.674,0.743,0.7614,0.1595
temporal_flat,1,2,0.6695,0.7604,0.7627,0.1726
temporal_flat,1,3,0.6677,0.7683,0.7776,0.184
temporal_flat,1,4,0.6666,0.7744,0.7821,0.1897
temporal_flat,1,5,0.6659,0.7806,0.7905,0.1954
temporal_flat,1,6,0.6652,0.7845,0.7926,0.2
temporal_flat,1,7,0.6648,0.7853,0.7966,0.2041
temporal_flat,1,8,0.6643,0.7921,0.7997,0.2089
temporal_flat,1,9,0.6639,0.7939,0.8105,0.2123
temporal_flat,1,10,0.6637,0.7944,0.8036,0.2108
temporal_flat,1,11,0.6635,0.7965,0.7979,0.2081
temporal_flat,1,12,0.6632,0.7971,0.8127,0.2154
temporal_flat,1,13,0.663,0.8015,0.8064,0.2153
temporal_flat,1,14,0.6628,0.8004,0.8097,0.2162
temporal_flat,1,15,0.6626,0.8014,0.8145,0.2213
temporal_flat,1,16,0.6625,0.8017,0.8208,0.2242
temporal_flat,1,17,0.6623,0.8039,0.8068,0.2191
temporal_flat,1,18,0.6622,0.806,0.812,0.2222
temporal_flat,1,19,0.6621,0.8034,0.8183,0.2254
temporal_flat,1,20,0.662,0.807,0.815,0.2232
temporal_flat,1,21,0.6618,0.8061,0.8143,0.2232
temporal_flat,1,22,0.6618,0.8063,0.814,0.2232
temporal_flat,1,23,0.6616,0.8058,0.8109,0.2206
temporal_flat,1,24,0.6616,0.8074,0.8165,0.2253
temporal_flat,2,1,0.6743,0.7348,0.7275,0.1716
temporal_flat,2,2,0.6697,0.7489,0.7439,0.1784
temporal_flat,2,3,0.668,0.7649,0.757,0.1845
temporal_flat,2,4,0.6667,0.7711,0.7579,0.1872
temporal_flat,2,5,0.6659,0.7775,0.7651,0.1914
temporal_flat,2,6,0.6653,0.7841,0.7734,0.1943
temporal_flat,2,7,0.6648,0.7862,0.7836,0.2011
temporal_flat,2,8,0.6644,0.7912,0.7903,0.2044
temporal_flat,2,9,0.6641,0.793,0.788,0.2056
