Bezeichnung                      |  Fold 1 |  Fold 2 |  Fold 3 |  Fold 4 |  Fold 5 |     Avg
------------------------------------------------------------------------------------------
Zeitfenster                      |         |         |         |         |         |        
win1_step0.5                     |  0.4637 |  0.4638 |  0.4946 |  0.4689 |  0.4446 |  0.4671
win1_step1                       |  0.4121 |  0.4334 |  0.4751 |  0.3986 |  0.5466 |  0.4532
win2_step2                       |  0.4677 |  0.4718 |  0.5421 |  0.4660 |  0.4953 |  0.4886
win3_step1                       |  0.4974 |  0.4897 |  0.5248 |  0.5710 |  0.5195 |  0.5205
win3_step3                       |  0.4989 |  0.4956 |  0.4645 |  0.4366 |  0.4696 |  0.4730
win4_step1                       |  0.5950 |  0.4837 |  0.5394 |  0.4944 |  0.5482 |  0.5321
win4_step2                       |  0.5000 |  0.5279 |  0.5198 |  0.5406 |  0.5157 |  0.5208
win4_step4                       |  0.4660 |  0.5118 |  0.5033 |  0.4678 |  0.5220 |  0.4942
win8_step4                       |  0.4461 |  0.4870 |  0.4609 |  0.5567 |  0.4495 |  0.4800
win8_step8                       |  0.4534 |  0.4162 |  0.5067 |  0.4592 |  0.4764 |  0.4624
win10_step5                      |  0.4820 |  0.4832 |  0.5334 |  0.4720 |  0.4999 |  0.4941
win10_step10                     |  0.4847 |  0.4531 |  0.4840 |  0.4071 |  0.4467 |  0.4551
win20_step10                     |  0.4116 |  0.4724 |  0.4691 |  0.4663 |  0.4500 |  0.4539
win20_step20                     |  0.4448 |  0.3850 |  0.3618 |  0.4295 |  0.4134 |  0.4069
win30_step15                     |  0.4490 |  0.4944 |  0.4645 |  0.4068 |  0.3903 |  0.4410
win30_step30                     |  0.4110 |  0.3238 |  0.3478 |  0.3889 |  0.4105 |  0.3764
                                 |         |         |         |         |         |        
batch_sizes                      |         |         |         |         |         |        
bs_256                           |  0.5956 |  0.4843 |  0.5133 |  0.5085 |  0.5344 |  0.5272
bs_512                           |  0.5857 |  0.4792 |  0.5222 |  0.5095 |  0.5370 |  0.5267
bs_1024                          |  0.6105 |  0.4657 |  0.5167 |  0.5005 |  0.5505 |  0.5288
bs_2048                          |  0.5885 |  0.4811 |  0.5176 |  0.5025 |  0.5278 |  0.5235
bs_4096                          |  0.5770 |  0.4637 |  0.5231 |  0.4909 |  0.5066 |  0.5123
                                 |         |         |         |         |         |        
learning rates                   |         |         |         |         |         |        
lr_e-02                          |  0.5908 |  0.4708 |  0.5206 |  0.5080 |  0.5333 |  0.5247
lr_e-03                          |  0.5998 |  0.4791 |  0.5350 |  0.4791 |  0.5379 |  0.5262
lr_e-04                          |  0.5857 |  0.4792 |  0.5222 |  0.5095 |  0.5370 |  0.5267
lr_e-05                          |  0.5766 |  0.4765 |  0.5205 |  0.4985 |  0.5195 |  0.5183
                                 |         |         |         |         |         |        
Optimierer                       |         |         |         |         |         |        
Adam                             |  0.5857 |  0.4792 |  0.5222 |  0.5095 |  0.5370 |  0.5267
AdamW                            |  0.5742 |  0.4728 |  0.5269 |  0.5224 |  0.5405 |  0.5274
RMSprop                          |  0.4738 |  0.3642 |  0.4307 |  0.4104 |  0.4275 |  0.4213
SGD                              |  0.3836 |  0.3002 |  0.3567 |  0.3453 |  0.3594 |  0.3490
                                 |         |         |         |         |         |        
Aktivierung                      |         |         |         |         |         |        
ReLU                             |  0.5857 |  0.4792 |  0.5222 |  0.5095 |  0.5370 |  0.5267
LeakyReLU                        |  0.6108 |  0.4774 |  0.5262 |  0.4961 |  0.5324 |  0.5286
GELU                             |  0.6248 |  0.4788 |  0.5134 |  0.5038 |  0.5317 |  0.5305
ELU                              |  0.5744 |  0.4410 |  0.4966 |  0.4839 |  0.5021 |  0.4996
Tanh                             |  0.5594 |  0.4327 |  0.5001 |  0.4764 |  0.4930 |  0.4923
